unix_ts,event,seq,workload_id,policy
1786006963.728896874,warmup_start,1,input512_r2_o128,fixed_uranus_ganymede_tp2_auto
1786006973.744462477,warmup_end,1,input512_r2_o128,fixed_uranus_ganymede_tp2_auto
1786006973.757032233,workload_start,1,input512_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007005.694706361,workload_end,1,input512_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007005.923889409,warmup_start,2,input2048_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007015.935727603,warmup_end,2,input2048_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007015.947148096,workload_start,2,input2048_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007040.781228680,workload_end,2,input2048_r2_o128,fixed_uranus_ganymede_tp2_auto
1786007041.071390987,warmup_start,3,input4096_r1_o256,fixed_uranus_ganymede_tp2_auto
1786007051.084313855,warmup_end,3,input4096_r1_o256,fixed_uranus_ganymede_tp2_auto
1786007051.095051618,workload_start,3,input4096_r1_o256,fixed_uranus_ganymede_tp2_auto
1786007084.667476976,workload_end,3,input4096_r1_o256,fixed_uranus_ganymede_tp2_auto
1786007084.901806525,warmup_start,4,input8192_r1_o128,fixed_uranus_ganymede_tp2_auto
1786007094.913937545,warmup_end,4,input8192_r1_o128,fixed_uranus_ganymede_tp2_auto
1786007094.925804497,workload_start,4,input8192_r1_o128,fixed_uranus_ganymede_tp2_auto
1786007121.650249657,workload_end,4,input8192_r1_o128,fixed_uranus_ganymede_tp2_auto
