proxy_start hostname=ganymede http=0.0.0.0:30224 registry=0.0.0.0:31224
registry_add role=decode http=10.1.0.3:33224 zmq=10.1.0.3:34224 tp_size=2
registry_add role=prefill http=10.1.0.5:32224 zmq=10.1.0.5:34224 tp_size=2
route count=0 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_34f0b59e9f0d4406a7e82d040693d2e1 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=1 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_64f210bfa56d4d17b51f8a5f333854e6 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=2 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_e13496da952b4ff4a81002ee2c0890cb prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=3 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_8455427132b545fc8a94f02aa429caa0 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=4 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_b8250d457e2740b2b508fd28fe155789 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=5 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_0f5d668d55e947698f62b41133648fd2 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=6 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_be78b219ae2c4258a8fd0d4918aa37d1 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=7 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_5358e05eb76f413ebf161e7623989c86 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=8 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_f4ad7298a7484db7be1255bf21ca93be prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=9 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_044c4475255f4986b0542f138e445d3c prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=10 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_7b772beb515d48609b91e8c79fb400ab prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=11 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_630d44e39e984120a7cb7bd7066725b2 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=12 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_c24c529bdcb54e69b2bff24b76570c1e prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=13 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_a3b8f328177b47c99c09636206b89238 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=14 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_516e643cb46a4af4aa7f06d0cae4bf13 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=15 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_6b8eaa035d3f453a9b700cb83490db30 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=16 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_db82c830762c401f8ce037110e0f2db2 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=17 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_51e56e4765e24a94bb7ad2ec2b315b60 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=18 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_7122d514eb5142379d3e0c70d588294e prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=19 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_89e3953b7a384e0e865dd124e6f48277 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=20 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_19f5813ff57849c49386d9d072fc8ec9 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=21 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_ad0dc54c735544b4b487fc742646de2f prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=22 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_017be0d7c76e4dc09ff700e2adc9f62b prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=23 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_1ece62436db541329751afb9c6b2cee9 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=24 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_ceee5fca7ddc433b9a871651a7dd2414 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=25 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_ace7591dd5e2406da8a998917d2cd779 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=26 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_1b42868eeb0f49cb919a63d632a04729 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
route count=27 request_id=___prefill_addr_10.1.0.5:34224___decode_addr_10.1.0.3:34224_7a3c9bd0558947f7a0970aadc1083413 prefill_http=10.1.0.5:32224 decode_http=10.1.0.3:33224
