unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1786046137.669804500,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389818111,199289827795,0, 27.64, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046137.669804500,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389818111,199289827795,0, 27.15, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046138.572274553,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389904301,199289913871,0, 27.73, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046138.572274553,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389904301,199289913871,0, 27.15, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046139.464883671,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389906639,199289922621,0, 27.78, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046139.464883671,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389906639,199289922621,0, 27.15, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046140.345364664,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389906639,199289922621,0, 27.77, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046140.345364664,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389906639,199289922621,0, 27.34, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046141.230852841,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389909751,199289930761,0, 27.77, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046141.230852841,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389909751,199289930761,0, 27.39, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046142.119007512,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389913565,199289954713,0, 28.02, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046142.119007512,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389913565,199289954713,0, 27.39, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046143.010019255,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389915667,199289962143,0, 28.07, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046143.010019255,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389915667,199289962143,0, 27.44, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046143.891321765,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389925065,199289980805,0, 27.97, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046143.891321765,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389925065,199289980805,0, 27.30, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046144.788826126,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389927799,199289992749,0, 27.97, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
1786046144.788826126,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389927799,199289992749,0, 27.20, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046145.672856169,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389930335,199290005821,0, 28.02, 2040, 18793, 0, 72.00, 6251, 43, 23034, P0
1786046145.672856169,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389930335,199290005821,0, 27.34, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046146.565200902,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389930335,199290005821,0, 28.07, 2040, 18793, 0, 72.00, 6251, 43, 23034, P0
1786046146.565200902,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389930335,199290005821,0, 27.34, 2040, 18793, 0, 72.00, 6251, 41, 23034, P0
1786046147.462321942,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4895389934133,199290028131,0, 28.11, 2040, 18793, 0, 72.00, 6251, 43, 23034, P0
1786046147.462321942,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4895389934133,199290028131,0, 27.39, 2040, 18793, 0, 72.00, 6251, 42, 23034, P0
