unix_ts,event,seq,workload_id,policy
1786046256.853141157,warmup_start,1,short_low,uranus_ganymede_tp2_predictive_dvfs
1786046261.866312357,warmup_end,1,short_low,uranus_ganymede_tp2_predictive_dvfs
1786046261.880341863,workload_start,1,short_low,uranus_ganymede_tp2_predictive_dvfs
1786046291.754910840,workload_end,1,short_low,uranus_ganymede_tp2_predictive_dvfs
1786046294.486097948,warmup_start,2,prefill_128,uranus_ganymede_tp2_predictive_dvfs
1786046299.500090302,warmup_end,2,prefill_128,uranus_ganymede_tp2_predictive_dvfs
1786046299.513815939,workload_start,2,prefill_128,uranus_ganymede_tp2_predictive_dvfs
1786046323.614097423,workload_end,2,prefill_128,uranus_ganymede_tp2_predictive_dvfs
1786046326.307195370,warmup_start,3,mixed_512,uranus_ganymede_tp2_predictive_dvfs
1786046331.323174865,warmup_end,3,mixed_512,uranus_ganymede_tp2_predictive_dvfs
1786046331.336768006,workload_start,3,mixed_512,uranus_ganymede_tp2_predictive_dvfs
1786046360.239305543,workload_end,3,mixed_512,uranus_ganymede_tp2_predictive_dvfs
1786046362.865519826,warmup_start,4,prefill_1024,uranus_ganymede_tp2_predictive_dvfs
