unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1786109685.579533305,uranus,prefill,primary,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,0,210,824119174364,146400755126,0, 79.12, 2520, 37893, 0, 350.00, 9001, 31, 46068, P0
1786109685.579533305,uranus,prefill,primary,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,0,210,824119174364,146400755126,0, 79.90, 2520, 37893, 0, 350.00, 9001, 33, 46068, P0
1786109685.579533305,uranus,prefill,primary,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,210,824119174364,146400755126,1, 79.19, 2520, 37949, 0, 350.00, 9001, 32, 46068, P0
1786109685.579533305,uranus,prefill,primary,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,210,824119174364,146400755126,4, 81.93, 2520, 37967, 0, 350.00, 9001, 33, 46068, P0
1786109686.558581382,uranus,prefill,primary,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,0,210,824132699763,146401692521,0, 80.77, 2520, 37963, 0, 350.00, 9001, 32, 46068, P0
1786109686.558581382,uranus,prefill,primary,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,0,210,824132699763,146401692521,0, 80.78, 2520, 37911, 0, 350.00, 9001, 33, 46068, P0
1786109686.558581382,uranus,prefill,primary,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,210,824132699763,146401692521,0, 80.06, 2520, 37967, 0, 350.00, 9001, 32, 46068, P0
1786109686.558581382,uranus,prefill,primary,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,210,824132699763,146401692521,0, 82.46, 2520, 37967, 0, 350.00, 9001, 32, 46068, P0
1786109687.535866119,uranus,prefill,primary,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,0,210,824132705505,146401723501,0, 80.43, 2520, 37963, 0, 350.00, 9001, 32, 46068, P0
1786109687.535866119,uranus,prefill,primary,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,0,210,824132705505,146401723501,0, 81.00, 2520, 37911, 0, 350.00, 9001, 33, 46068, P0
