unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139769.178015,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,32.25,210.0,0.0
1786139769.178015,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,79.51,2520.0,0.0
1786139769.178015,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.62,210.0,0.0
1786139769.178015,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.95,210.0,0.0
1786139769.678494,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.77,210.0,0.0
1786139769.678494,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,56.42,345.0,0.0
1786139769.678494,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.62,210.0,0.0
1786139769.678494,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.95,210.0,0.0
1786139770.178984,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.77,210.0,0.0
1786139770.178984,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,56.42,345.0,0.0
1786139770.178984,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139770.178984,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.95,210.0,0.0
1786139770.679483,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.75,210.0,0.0
1786139770.679483,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.97,225.0,0.0
1786139770.679483,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139770.679483,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,33.07,210.0,0.0
1786139771.179981,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.75,210.0,0.0
1786139771.179981,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.97,225.0,0.0
1786139771.179981,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139771.179981,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,33.07,210.0,0.0
1786139771.680482,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.75,210.0,0.0
1786139771.680482,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.6,210.0,0.0
1786139771.680482,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139771.680482,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,33.32,210.0,0.0
1786139772.180981,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.75,210.0,0.0
