[NVGPUFREQ][INFO] The spank nvgpufreq plugin has been loaded!
[NVGPUFREQ][ERROR] Failed to retrive the job ID from slurmctld! Exit!
custom_proxy_start hostname=ganymede http=0.0.0.0:30176 registry=0.0.0.0:31176 kv_connector=NixlConnector default_route=random allow_asymmetric_tp=true predictive_dvfs=true dvfs_slo_ttft_ms=500 dvfs_slo_tpot_ms=200 dvfs_settle_seconds=20.0 routes=all_pairs
registry_add source=http role=decode http=10.1.0.3:33176 kv=10.1.0.3:34176 tp_size=1 reported_tp_size=1 instance=Decode_0 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33177 kv=10.1.0.3:34177 tp_size=1 reported_tp_size=1 instance=Decode_1 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33178 kv=10.1.0.3:34178 tp_size=2 reported_tp_size=2 instance=Decode_2 node=ganymede gpu_type=l4
registry_add source=http role=prefill http=10.1.0.5:32176 kv=10.1.0.5:34176 tp_size=1 reported_tp_size=1 instance=Prefill_0 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32177 kv=10.1.0.5:34177 tp_size=1 reported_tp_size=1 instance=Prefill_1 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32178 kv=10.1.0.5:34178 tp_size=2 reported_tp_size=2 instance=Prefill_2 node=uranus gpu_type=l40s
route count=0 policy_route=P2-D0 request_id=fefb7336e24440e4abf07dacd016014a prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=0 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.007 settle_seconds=20.0
route count=1 policy_route=P1-D2 request_id=3d706d24e6be4cb3a7a5aba4278c127e prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=1 route=P1-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=497.8 predicted_tpot_ms=72.9 predicted_power_w=218.0 clock_lock_wait_ms=0.003 settle_seconds=20.0
route count=2 policy_route=P2-D0 request_id=477712f3f5b74d769e4b0528d7f0fc07 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=2 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=3 policy_route=P0-D1 request_id=f1a4ccb260624d5794e3af418c57a9d7 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=3 route=P0-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.002 settle_seconds=20.0
route count=4 policy_route=P0-D0 request_id=cb8b218fa41d4fe18b25ebe9a3b10c34 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=4 route=P0-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=5 policy_route=P0-D0 request_id=7e899c8d57184a26a6048c8753c5892c prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=5 route=P0-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=497.8 predicted_tpot_ms=125.6 predicted_power_w=173.9 clock_lock_wait_ms=0.002 settle_seconds=20.0
route count=6 policy_route=P2-D1 request_id=95f64739eceb4d768c2c96f5862a1ec4 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=6 route=P2-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=176.9 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.002 settle_seconds=20.0
route count=7 policy_route=P2-D2 request_id=ed0eacc3488541fc9289c4a0ca0e7c4a prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=7 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=176.9 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.005 settle_seconds=20.0
