request_index,request_id,route,prefill_tp,decode_tp,input_tokens,output_tokens,prefill_mhz,decode_mhz,predicted_p99_ttft_ms,forwarding_ttft_ms,forwarding_ttft_slo_met,wait_excluded_ttft_ms,raw_ttft_ms,pre_forward_overhead_ms,prefill_http_ms,prefill_to_decode_dispatch_ms,decode_to_first_chunk_ms,actual_minus_predicted_ms
9,6da704ef2f634b5d8c320f02aea8d4ea,P1-D2,1,2,512,128,480,360,440.2,399.098,True,995.234,20995.234,596.136,167.733,0.176,231.185,-41.102
14,d23c95283d924badbcbec683575f4178,P2-D1,2,1,512,128,210,570,279.3,388.974,True,786.36,20786.36,397.386,207.491,0.154,181.323,109.674
11,27fe2a71fb8e4306923fb84a30e49c18,P1-D0,1,1,512,128,480,570,440.2,371.149,True,25470.614,45470.614,25099.465,162.4,0.157,208.588,-69.051
10,8b948786749b4782bf2e89be1bc086cf,P2-D2,2,2,512,128,210,360,279.3,327.007,True,30698.765,50698.765,30371.758,203.941,0.074,122.989,47.707
26,85d16845bb94406c884006979f749470,P1-D1,1,1,512,128,480,570,440.2,368.203,True,24342.329,44342.329,23974.126,165.894,0.167,202.124,-71.997
16,61a1b9b2b5ac425cb8cb1edd9c9b0921,P1-D0,1,1,512,128,480,570,440.2,363.652,True,79796.467,99796.467,79432.815,161.762,0.16,201.728,-76.548
29,2b1c36e794904c4ea44eada86b912de0,P2-D1,2,1,512,128,210,570,279.3,389.166,True,822.693,20822.693,433.527,202.496,0.178,186.487,109.866
12,bdc20818547e4ef0bf09595bd452af54,P1-D2,1,2,512,128,480,360,440.2,385.586,True,110330.59,130330.59,109945.004,159.649,0.182,225.746,-54.614
17,3c5126632caf4f63afcc621288db95ef,P2-D0,2,1,512,128,210,570,279.3,375.32,True,106837.854,126837.854,106462.534,203.864,0.154,171.298,96.02
13,24b0771a37a14117a3a8939b4484c51d,P0-D2,1,2,512,128,480,360,440.2,391.138,True,135808.758,155808.758,135417.62,167.656,0.172,223.306,-49.062
18,e821bdcdea884d59bdd10f0129fb9b90,P0-D0,1,1,512,128,480,570,440.2,366.392,True,158038.162,178038.162,157671.77,162.218,0.178,203.993,-73.808
15,e54ffd3d150a489ca7224d99d15e4687,P0-D2,1,2,512,128,480,360,440.2,381.745,True,189249.253,209249.253,188867.508,159.751,0.185,221.806,-58.455
20,4042bec1b4b14b8ea4663c1f0f7f3aed,P1-D0,1,1,512,128,480,570,440.2,360.837,True,185368.516,205368.516,185007.679,161.339,0.181,199.312,-79.363
19,8793761ae07c4b54b00dcde6ed748b7c,P2-D2,2,2,512,128,210,360,279.3,322.883,True,211559.054,231559.054,211236.171,203.403,0.164,119.313,43.583
24,5f70185a34314e7683ef4f65bfc9f042,P0-D0,1,1,512,128,480,570,440.2,364.625,True,212207.155,232207.155,211842.53,162.762,0.15,201.708,-75.575
21,8db30fc8fbe84e9786431669a4de8c38,P2-D2,2,2,512,128,210,360,279.3,326.963,True,236529.636,256529.636,236202.673,203.175,0.158,123.626,47.663
38,616e32644fe9434e87555fd99461ad97,P0-D1,1,1,512,128,480,570,440.2,366.704,True,6317.856,26317.856,5951.152,163.552,0.142,203.007,-73.496
25,5535844327bb43edb541bd4b19695324,P2-D0,2,1,512,128,210,570,279.3,385.315,True,242657.588,262657.588,242272.273,202.687,0.153,182.471,106.015
22,096782844c304b1389776b466f956994,P0-D2,1,2,512,128,480,360,440.2,389.289,True,269460.573,289460.573,269071.284,163.566,0.166,225.553,-50.911
28,445409025d9140b89188983629b1ec3b,P2-D0,2,1,512,128,210,570,279.3,374.522,True,240892.977,260892.977,240518.455,201.339,0.156,173.024,95.222
23,4e13bc9c1d624b7297b551cc7a57c774,P1-D2,1,2,512,128,480,360,440.2,384.058,True,295402.419,315402.419,295018.361,158.746,0.062,225.247,-56.142
41,9896ef5f1ceb498bbe3dd9356c225784,P0-D1,1,1,512,128,480,570,440.2,365.085,True,26688.265,46688.265,26323.18,160.732,0.066,204.284,-75.115
27,9834c06974214e7c8ee2f18a61c2e95a,P1-D2,1,2,512,128,480,360,440.2,385.889,True,274571.519,294571.519,274185.63,161.782,0.14,223.963,-54.311
