request_index,request_id,route,prefill_tp,decode_tp,input_tokens,output_tokens,prefill_mhz,decode_mhz,predicted_p99_ttft_ms,forwarding_ttft_ms,forwarding_ttft_slo_met,wait_excluded_ttft_ms,raw_ttft_ms,pre_forward_overhead_ms,prefill_http_ms,prefill_to_decode_dispatch_ms,decode_to_first_chunk_ms,actual_minus_predicted_ms
9,8cc412a23f9f45519630b83b33fc5455,P0-D2,1,2,512,128,480,360,440.2,412.74,True,1182.528,21182.528,769.788,163.527,0.16,249.05,-27.46
11,99fadb5f34974e47ac945070d3aafd4a,P2-D1,2,1,512,128,210,570,279.3,390.908,True,899.768,20899.768,508.86,210.352,0.143,180.407,111.608
21,af9913102fac4e64bec9d71bb8fc2641,P1-D0,1,1,512,128,480,570,440.2,374.223,True,743.021,20743.021,368.798,164.777,0.148,209.296,-65.977
10,f3bbb185a27d4f4580502ce8fb6628b2,P2-D2,2,2,512,128,210,360,279.3,327.53,True,30030.37,50030.37,29702.84,205.738,0.187,121.592,48.23
22,a4b61718a16d43ca8ba25b6d65afe08b,P0-D0,1,1,512,128,480,570,440.2,360.937,True,27930.172,47930.172,27569.235,161.305,0.14,199.485,-79.263
13,11a0714973ff47ea8023af354d0e84b9,P2-D1,2,1,512,128,210,570,279.3,379.344,True,54553.63,74553.63,54174.286,203.828,0.163,175.35,100.044
27,df3b38dac035491aa5567ae5fec7227d,P1-D0,1,1,512,128,480,570,440.2,375.201,True,29128.688,49128.688,28753.487,162.472,0.193,212.531,-64.999
12,e6cf3f7b77dc43b69549d8bad92294cf,P2-D2,2,2,512,128,210,360,279.3,328.967,True,83522.198,103522.198,83193.231,204.282,0.187,124.495,49.667
28,5455de5e18cf404eb2e26a27fa65e8d9,P1-D0,1,1,512,128,480,570,440.2,359.642,True,36926.679,56926.679,36567.037,159.593,0.155,199.891,-80.558
14,d9e6c595658a4c4a8ce8290531dff57c,P2-D1,2,1,512,128,210,570,279.3,375.405,True,108306.956,128306.956,107931.551,201.403,0.153,173.845,96.105
15,45d2e1cc450749b9be31deddbc211680,P1-D2,1,2,512,128,480,360,440.2,383.345,True,118718.637,138718.637,118335.292,163.535,0.166,219.641,-56.855
17,b8514eea03b34dc9a30e5926d1be0af8,P1-D1,1,1,512,128,480,570,440.2,363.342,True,141740.353,161740.353,141377.011,161.877,0.179,201.283,-76.858
16,3f1c729f609140509a204c6c013b7690,P1-D2,1,2,512,128,480,360,440.2,384.848,True,171779.072,191779.072,171394.224,160.011,0.191,224.641,-55.352
36,0417aff872b0465391f1de68127be56d,P2-D0,2,1,512,128,210,570,279.3,375.771,True,871.639,20871.639,495.868,203.299,0.145,172.324,96.471
