[NVGPUFREQ][INFO] The spank nvgpufreq plugin has been loaded!
[NVGPUFREQ][ERROR] Failed to retrive the job ID from slurmctld! Exit!
custom_proxy_start hostname=ganymede http=0.0.0.0:30176 registry=0.0.0.0:31176 kv_connector=NixlConnector default_route=random allow_asymmetric_tp=true predictive_dvfs=true dvfs_slo_ttft_ms=500 dvfs_slo_tpot_ms=200 dvfs_settle_seconds=20.0 routes=all_pairs
registry_add source=http role=decode http=10.1.0.3:33176 kv=10.1.0.3:34176 tp_size=1 reported_tp_size=1 instance=Decode_0 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33177 kv=10.1.0.3:34177 tp_size=1 reported_tp_size=1 instance=Decode_1 node=ganymede gpu_type=l4
registry_add source=http role=decode http=10.1.0.3:33178 kv=10.1.0.3:34178 tp_size=2 reported_tp_size=2 instance=Decode_2 node=ganymede gpu_type=l4
registry_add source=http role=prefill http=10.1.0.5:32176 kv=10.1.0.5:34176 tp_size=1 reported_tp_size=1 instance=Prefill_0 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32177 kv=10.1.0.5:34177 tp_size=1 reported_tp_size=1 instance=Prefill_1 node=uranus gpu_type=l40s
registry_add source=http role=prefill http=10.1.0.5:32178 kv=10.1.0.5:34178 tp_size=2 reported_tp_size=2 instance=Prefill_2 node=uranus gpu_type=l40s
route count=0 policy_route=P0-D0 request_id=f447667af3b842a3b4e255dd0a062d29 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=0 route=P0-D0 status=OK prefill_mhz=480 decode_mhz=570 predicted_ttft_ms=440.2 predicted_tpot_ms=125.6 predicted_power_w=203.0 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=1 policy_route=P0-D1 request_id=627b52d0a57d4f398e771aa559305535 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=1 route=P0-D1 status=OK prefill_mhz=480 decode_mhz=570 predicted_ttft_ms=440.2 predicted_tpot_ms=125.6 predicted_power_w=203.0 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=2 policy_route=P0-D2 request_id=2cd991557a9b455085599fd62adee78f prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=2 route=P0-D2 status=OK prefill_mhz=480 decode_mhz=360 predicted_ttft_ms=440.2 predicted_tpot_ms=72.9 predicted_power_w=247.1 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=3 policy_route=P1-D0 request_id=0eb471a4dfea4c70a48c34df1de90587 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=3 route=P1-D0 status=OK prefill_mhz=480 decode_mhz=570 predicted_ttft_ms=440.2 predicted_tpot_ms=125.6 predicted_power_w=203.0 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=4 policy_route=P1-D1 request_id=20e73352cfae4ac596409f3e1abf7574 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=4 route=P1-D1 status=OK prefill_mhz=480 decode_mhz=570 predicted_ttft_ms=440.2 predicted_tpot_ms=125.6 predicted_power_w=203.0 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=5 policy_route=P1-D2 request_id=8014d73f9af943ba8ad7d56c4faa215e prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=5 route=P1-D2 status=OK prefill_mhz=480 decode_mhz=360 predicted_ttft_ms=440.2 predicted_tpot_ms=72.9 predicted_power_w=247.1 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=6 policy_route=P2-D0 request_id=6449855f939d48c598a85df0dea99211 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=6 route=P2-D0 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=279.3 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=7 policy_route=P2-D1 request_id=4c1f5f1e601a47f3a150e65b33cf1637 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=7 route=P2-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=279.3 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.005 settle_seconds=20.0
route count=8 policy_route=P2-D2 request_id=bb7e64dc5510468993b5efdf7f12a3d3 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=8 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=279.3 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=9 policy_route=P0-D2 request_id=8cc412a23f9f45519630b83b33fc5455 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=10 policy_route=P2-D2 request_id=f3bbb185a27d4f4580502ce8fb6628b2 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=11 policy_route=P2-D1 request_id=99fadb5f34974e47ac945070d3aafd4a prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=12 policy_route=P2-D2 request_id=e6cf3f7b77dc43b69549d8bad92294cf prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=13 policy_route=P2-D1 request_id=11a0714973ff47ea8023af354d0e84b9 prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=14 policy_route=P2-D1 request_id=d9e6c595658a4c4a8ce8290531dff57c prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=15 policy_route=P1-D2 request_id=45d2e1cc450749b9be31deddbc211680 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=16 policy_route=P1-D2 request_id=3f1c729f609140509a204c6c013b7690 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=17 policy_route=P1-D1 request_id=b8514eea03b34dc9a30e5926d1be0af8 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=18 policy_route=P1-D1 request_id=686a5b8a3c5d4f62a4745d01540add2c prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=19 policy_route=P0-D2 request_id=2daae6b0690c45e8a4bab10f8dc46db1 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=20 policy_route=P0-D2 request_id=b0128806ec3a44a6a95ed0cdf8908868 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
route count=21 policy_route=P1-D0 request_id=af9913102fac4e64bec9d71bb8fc2641 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
route count=22 policy_route=P0-D0 request_id=a4b61718a16d43ca8ba25b6d65afe08b prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
route count=23 policy_route=P0-D1 request_id=07da5abf6b8e4082b6d7bf1a6c548555 prefill_instance=Prefill_0 prefill_http=10.1.0.5:32176 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=24 policy_route=P2-D2 request_id=9c7365c68439492b8dd1adc887427e1a prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_2 decode_http=10.1.0.3:33178 decode_tp=2 predictive_dvfs=True
dvfs count=9 route=P0-D2 status=OK prefill_mhz=480 decode_mhz=360 predicted_ttft_ms=440.2 predicted_tpot_ms=72.9 predicted_power_w=247.1 clock_lock_wait_ms=0.006 settle_seconds=20.0
dvfs count=11 route=P2-D1 status=OK prefill_mhz=210 decode_mhz=570 predicted_ttft_ms=279.3 predicted_tpot_ms=125.6 predicted_power_w=234.6 clock_lock_wait_ms=0.007 settle_seconds=20.0
route count=25 policy_route=P2-D1 request_id=f628daa247ab4460ace706ef6e9820ba prefill_instance=Prefill_2 prefill_http=10.1.0.5:32178 prefill_tp=2 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
dvfs count=21 route=P1-D0 status=OK prefill_mhz=480 decode_mhz=570 predicted_ttft_ms=440.2 predicted_tpot_ms=125.6 predicted_power_w=203.0 clock_lock_wait_ms=0.006 settle_seconds=20.0
route count=26 policy_route=P1-D1 request_id=482d8c9b4c264986858c27279d85ecb5 prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_1 decode_http=10.1.0.3:33177 decode_tp=1 predictive_dvfs=True
route count=27 policy_route=P1-D0 request_id=df3b38dac035491aa5567ae5fec7227d prefill_instance=Prefill_1 prefill_http=10.1.0.5:32177 prefill_tp=1 decode_instance=Decode_0 decode_http=10.1.0.3:33176 decode_tp=1 predictive_dvfs=True
dvfs count=10 route=P2-D2 status=OK prefill_mhz=210 decode_mhz=360 predicted_ttft_ms=279.3 predicted_tpot_ms=72.9 predicted_power_w=278.7 clock_lock_wait_ms=28893.669 settle_seconds=20.0
