Synthetic Trace Replay Summary
Trace CSV:                               /data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260826-205617-luqia-xpyd-minimal-2p2d-repro-smoke-r2/results/255143/xpyd_phase3c_substrate/xpyd_phase3c_repro_255143/client/trace.csv
Requests total:                          8
Successful requests:                     8
Failed requests:                         0
Mean TTFT (ms):                          563.389
P99 TTFT (ms):                           813.790
Mean TPOT (ms):                          56.950
P99 TPOT (ms):                           58.049
Mean ITL (ms):                           56.948
P99 ITL (ms):                            58.048
Mean E2E latency (ms):                   7796.022
P99 E2E latency (ms):                    8178.551
Replay trace duration (s):               14.000
