step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L40S,2520,9001,1,32,32,1,1,500,500.66,1.00,31.96,62.92,52.88,44.59,78.16,20.22,20.24,20.72,20.22,20.09,23.14,165.7,77.60,266.52,0,46.0,0.0,9489
step2a,L40S,2520,9001,1,32,32,1,2,500,500.67,1.00,31.96,62.92,51.94,47.63,76.79,20.20,20.22,20.64,20.20,20.10,22.23,165.1,82.10,265.68,0,45.3,0.0,9558
step2a,L40S,2520,9001,1,32,32,1,3,500,500.66,1.00,31.96,62.92,51.63,45.98,76.96,20.20,20.21,20.63,20.20,20.09,22.21,165.43,81.86,266.29,0,45.7,0.0,9544
step2a,L40S,2520,9001,1,32,32,10,1,500,50.71,9.86,315.50,621.13,65.95,65.67,78.29,20.99,20.97,21.45,20.99,20.77,23.96,212.58,82.21,273.27,0,72.1,0.0,1233
step2a,L40S,2520,9001,1,32,32,10,2,500,50.71,9.86,315.50,621.13,65.96,65.60,78.25,20.99,20.97,21.48,20.99,20.76,23.99,221.28,83.41,277.61,0,76.2,0.0,1163
step2a,L40S,2520,9001,1,32,32,10,3,500,50.71,9.86,315.49,621.12,66.02,65.61,78.51,20.99,20.97,21.48,20.99,20.74,23.76,219.6,84.17,277.21,0,75.2,0.0,1182
step2a,L40S,2520,9001,1,32,32,50,1,500,10.75,46.49,1487.75,2929.00,88.62,88.88,105.22,24.20,24.32,25.07,24.20,24.15,30.01,170.55,85.00,304.19,0,41.4,0.0,480
step2a,L40S,2520,9001,1,32,32,50,2,500,10.75,46.50,1488.02,2929.54,88.35,88.55,108.22,24.14,24.26,25.06,24.14,24.05,29.88,189.26,84.51,308.98,0,51.5,0.0,387
step2a,L40S,2520,9001,1,32,32,50,3,500,10.75,46.51,1488.32,2930.13,87.08,87.45,106.33,24.14,24.26,24.99,24.14,24.12,29.04,187.57,83.41,304.33,0,51.9,0.0,389
step2a,L40S,2520,9001,1,32,128,1,1,500,502.67,0.99,127.32,158.16,62.26,63.78,77.23,20.56,20.57,20.92,20.56,20.55,22.35,242.91,85.24,277.22,0,89.7,0.0,9032
step2a,L40S,2520,9001,1,32,32,1,1,500,500.66,1.00,31.96,62.92,53.41,48.68,78.35,20.22,20.23,20.71,20.22,20.10,23.16,166.22,80.80,266.80,0,45.7,0.0,9470
step2a,L40S,2520,9001,1,32,32,1,2,500,500.66,1.00,31.96,62.92,51.92,47.04,76.30,20.20,20.21,20.63,20.20,20.08,22.30,165.16,82.17,265.88,0,45.8,0.0,9522
step2a,L40S,2520,9001,1,32,32,1,3,500,500.66,1.00,31.96,62.92,49.40,43.32,73.23,20.19,20.21,20.62,20.19,20.13,22.22,165.92,82.12,265.74,0,45.9,0.0,9487
step2a,L40S,2520,9001,1,32,32,10,1,500,50.71,9.86,315.50,621.15,66.05,66.02,78.76,20.99,20.97,21.48,20.99,20.78,23.89,214.35,82.19,275.94,0,73.5,0.0,1209
step2a,L40S,2520,9001,1,32,32,10,2,500,50.70,9.86,315.57,621.27,67.63,67.42,80.56,20.99,20.97,21.50,20.99,20.81,23.99,221.47,83.71,276.58,0,76.5,0.0,1159
step2a,L40S,2520,9001,1,32,32,10,3,500,50.71,9.86,315.50,621.13,66.33,65.93,78.60,20.99,20.98,21.49,20.99,20.79,23.92,216.58,84.39,278.40,0,73.6,0.0,1215
