exp,pool,tp,freq_mhz,l4_freq_mhz,il,ol,rate_configured_rps,req_throughput_rps,throughput_tps,p99_ttft_ms,p99_tpot_ms,saturated,slo_tight_ok,slo_moderate_ok,slo_loose_ok
A,l40s,1,1245,,1024,128,10.0,4.93,5675.06,1406.25,93.58,true,false,false,false
A,l40s,1,1245,,1024,128,20.0,5.03,5790.47,3564.76,91.61,true,false,false,false
A,l40s,1,1245,,1024,128,5.0,4.38,5035.92,344.74,55.06,true,false,true,true
A,l40s,1,1245,,128,1024,10.0,1.38,1585.21,143.83,39.18,true,true,true,true
A,l40s,1,1245,,128,1024,20.0,1.38,1592.93,150.06,39.27,true,true,true,true
A,l40s,1,1245,,128,1024,5.0,0.93,1069.4,2078.23,30.83,true,false,false,false
A,l40s,1,1245,,128,128,10.0,8.61,2196.17,108.57,28.41,true,true,true,true
A,l40s,1,1245,,128,128,2.0,1.94,495.93,101.93,23.19,false,true,true,true
A,l40s,1,1245,,128,128,20.0,13.09,3339.13,122.3,30.49,true,true,true,true
A,l40s,1,1245,,128,128,30.0,13.28,3386.25,126.77,30.43,true,true,true,true
A,l40s,1,1245,,128,128,5.0,4.66,1188.13,92.79,25.13,false,true,true,true
A,l40s,1,1245,,128,128,50.0,13.42,3422.54,125.14,30.35,true,true,true,true
A,l40s,1,1245,,128,512,10.0,3.06,1956.35,139.9,34.17,true,true,true,true
A,l40s,1,1245,,128,512,20.0,3.09,1974.89,140.59,34.15,true,true,true,true
A,l40s,1,1245,,128,512,30.0,3.1,1982.48,141.24,34.16,true,true,true,true
A,l40s,1,1245,,128,512,5.0,2.0,1276.73,110.42,28.12,true,true,true,true
A,l40s,1,1245,,512,128,10.0,8.44,5393.16,132.79,34.99,true,true,true,true
A,l40s,1,1245,,512,128,20.0,10.92,6979.62,150.31,37.94,true,true,true,true
A,l40s,1,1245,,512,128,30.0,11.05,7058.26,149.8,37.89,true,true,true,true
A,l40s,1,1245,,512,128,5.0,4.61,2947.11,228.09,37.12,false,false,true,true
A,l40s,1,1245,,64,2048,10.0,0.57,1210.38,201.36,48.46,true,false,true,true
