trace,slo,tau_kv_us_per_tok,colocated_peak_rps,colocated_binding,disagg_peak_rps,disagg_binding,best_peak_rps,best_binding,D_pf_tok_per_s,D_dc_tok_per_s,x_normalized,y_normalized,classifier_state,tau_imb_used,tau_load_used,per_class_detail
T1,tight,5.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,tight,16.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,tight,41.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,moderate,5.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,moderate,16.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,moderate,41.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,loose,5.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,loose,16.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T1,loose,41.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,tight,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,tight,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,tight,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,moderate,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,moderate,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,moderate,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,loose,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,loose,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T2,loose,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,tight,5.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,tight,16.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,tight,41.0,241.28,SS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,moderate,5.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,moderate,16.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,moderate,41.0,36.64,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,loose,5.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,loose,16.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_start,loose,41.0,51.68,LS,39.68,LL,39.68,LL,31109.1,8888.3,0.156,1.556,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); LS(π=0.50, co=25.84, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,tight,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,tight,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,tight,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,moderate,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,moderate,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,moderate,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,loose,5.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,loose,16.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T3_end,loose,41.0,28.72,SL,19.84,SL,28.72,SL,8730.9,11947.5,0.044,2.091,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.50, co=14.36, dg=9.92, best=14.36 via colocated); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,tight,5.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,tight,16.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,tight,41.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=None, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,moderate,5.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,moderate,16.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
T4,moderate,41.0,57.44,SL,39.68,LL,39.68,LL,21585.9,12697.6,0.108,2.222,DECODE_HEAVY,2.0,0.5,"SS(π=0.25, co=60.32, dg=44.32, best=60.32 via colocated); SL(π=0.25, co=14.36, dg=9.92, best=14.36 via colocated); LS(π=0.25, co=18.32, dg=44.32, best=44.32 via disagg); LL(π=0.25, co=None, dg=9.92, best=9.92 via disagg)"
