gpu,il,ol,tp,freq_mhz,C_dc_stable_tps,stable_confirmed,n_rates,slo_tpot_ms,C_dc_SLO_tps,slo_confirmed,n_qual,freq_monotone_certified
l40s,32,32,1,2520,315.51,True,3,50,315.51,True,2,True
l40s,32,32,1,2520,315.51,True,3,100,315.51,True,2,True
l40s,32,32,1,2520,315.51,True,3,200,315.51,True,2,True
l40s,32,32,1,2520,315.51,True,3,500,315.51,True,2,True
l40s,32,128,1,2520,127.32,True,3,50,127.32,True,1,True
l40s,32,128,1,2520,127.32,True,3,100,127.32,True,1,True
l40s,32,128,1,2520,127.32,True,3,200,127.32,True,1,True
l40s,32,128,1,2520,127.32,True,3,500,127.32,True,1,True
l40s,32,512,1,2520,501.03,True,3,50,501.03,True,1,True
l40s,32,512,1,2520,501.03,True,3,100,501.03,True,1,True
l40s,32,512,1,2520,501.03,True,3,200,501.03,True,1,True
l40s,32,512,1,2520,501.03,True,3,500,501.03,True,1,True
l40s,32,1024,1,2520,976.97,True,3,50,976.97,True,1,True
l40s,32,1024,1,2520,976.97,True,3,100,976.97,True,1,True
l40s,32,1024,1,2520,976.97,True,3,200,976.97,True,1,True
l40s,32,1024,1,2520,976.97,True,3,500,976.97,True,1,True
l40s,128,32,1,2520,315.46,True,3,50,315.46,True,2,True
l40s,128,32,1,2520,315.46,True,3,100,315.46,True,2,True
l40s,128,32,1,2520,315.46,True,3,200,315.46,True,2,True
l40s,128,32,1,2520,315.46,True,3,500,315.46,True,2,True
l40s,128,128,1,2520,127.15,True,3,50,127.15,True,1,True
l40s,128,128,1,2520,127.15,True,3,100,127.15,True,1,True
l40s,128,128,1,2520,127.15,True,3,200,127.15,True,1,True
l40s,128,128,1,2520,127.15,True,3,500,127.15,True,1,True
l40s,128,512,1,2520,500.88,True,3,50,500.88,True,1,True
l40s,128,512,1,2520,500.88,True,3,100,500.88,True,1,True
l40s,128,512,1,2520,500.88,True,3,200,500.88,True,1,True
l40s,128,512,1,2520,500.88,True,3,500,500.88,True,1,True
l40s,128,1024,1,2520,976.35,True,3,50,976.35,True,1,True
l40s,128,1024,1,2520,976.35,True,3,100,976.35,True,1,True
l40s,128,1024,1,2520,976.35,True,3,200,976.35,True,1,True
l40s,128,1024,1,2520,976.35,True,3,500,976.35,True,1,True
l40s,512,32,1,2520,314.92,True,3,50,314.92,True,2,True
l40s,512,32,1,2520,314.92,True,3,100,314.92,True,2,True
l40s,512,32,1,2520,314.92,True,3,200,314.92,True,2,True
l40s,512,32,1,2520,314.92,True,3,500,314.92,True,2,True
l40s,512,128,1,2520,127.3,True,3,50,127.3,True,1,True
l40s,512,128,1,2520,127.3,True,3,100,127.3,True,1,True
l40s,512,128,1,2520,127.3,True,3,200,127.3,True,1,True
l40s,512,128,1,2520,127.3,True,3,500,127.3,True,1,True
l40s,512,512,1,2520,500.47,True,3,50,500.47,True,1,True
l40s,512,512,1,2520,500.47,True,3,100,500.47,True,1,True
l40s,512,512,1,2520,500.47,True,3,200,500.47,True,1,True
l40s,512,512,1,2520,500.47,True,3,500,500.47,True,1,True
l40s,512,1024,1,2520,973.44,True,3,50,973.44,True,1,True
l40s,512,1024,1,2520,973.44,True,3,100,973.44,True,1,True
l40s,512,1024,1,2520,973.44,True,3,200,973.44,True,1,True
l40s,512,1024,1,2520,973.44,True,3,500,973.44,True,1,True
l40s,1024,32,1,2520,312.98,True,3,50,31.95,True,1,True
l40s,1024,32,1,2520,312.98,True,3,100,31.95,True,1,True
l40s,1024,32,1,2520,312.98,True,3,200,312.98,True,2,True
l40s,1024,32,1,2520,312.98,True,3,500,312.98,True,2,True
l40s,1024,128,1,2520,127.27,True,3,50,127.27,True,1,True
l40s,1024,128,1,2520,127.27,True,3,100,127.27,True,1,True
l40s,1024,128,1,2520,127.27,True,3,200,127.27,True,1,True
l40s,1024,128,1,2520,127.27,True,3,500,127.27,True,1,True
l40s,1024,512,1,2520,499.85,True,3,50,499.85,True,1,True
l40s,1024,512,1,2520,499.85,True,3,100,499.85,True,1,True
l40s,1024,512,1,2520,499.85,True,3,200,499.85,True,1,True
l40s,1024,512,1,2520,499.85,True,3,500,499.85,True,1,True
l40s,1024,1024,1,2520,0.0,False,3,50,0.0,False,0,True
l40s,1024,1024,1,2520,0.0,False,3,100,0.0,False,0,True
l40s,1024,1024,1,2520,0.0,False,3,200,0.0,False,0,True
l40s,1024,1024,1,2520,0.0,False,3,500,0.0,False,0,True
l40s,2048,32,1,2520,31.93,True,3,50,31.93,True,1,True
l40s,2048,32,1,2520,31.93,True,3,100,31.93,True,1,True
l40s,2048,32,1,2520,31.93,True,3,200,31.93,True,1,True
l40s,2048,32,1,2520,31.93,True,3,500,31.93,True,1,True
l40s,2048,128,1,2520,127.12,True,3,50,127.12,True,1,True
l40s,2048,128,1,2520,127.12,True,3,100,127.12,True,1,True
l40s,2048,128,1,2520,127.12,True,3,200,127.12,True,1,True
l40s,2048,128,1,2520,127.12,True,3,500,127.12,True,1,True
l40s,2048,512,1,2520,498.43,True,3,50,498.43,True,1,True
l40s,2048,512,1,2520,498.43,True,3,100,498.43,True,1,True
l40s,2048,512,1,2520,498.43,True,3,200,498.43,True,1,True
l40s,2048,512,1,2520,498.43,True,3,500,498.43,True,1,True
l40s,2048,1024,1,2520,0.0,False,3,50,0.0,False,0,True
