exp,pool,tp,freq_mhz,l4_freq_mhz,il,ol,rates_measured,max_rate_tight_rps,max_rate_moderate_rps,max_rate_loose_rps
A,l40s,1,1245,,64,2048,"5.0,10.0",,,
A,l40s,1,1245,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,1245,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,1245,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,1245,,512,128,"5.0,10.0,20.0,30.0",,5.0,5.0
A,l40s,1,1245,,1024,128,"5.0,10.0,20.0",,,
A,l40s,1,1500,,64,2048,"5.0,10.0",,,
A,l40s,1,1500,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,1500,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,1500,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,1500,,512,128,"5.0,10.0,20.0,30.0",5.0,5.0,5.0
A,l40s,1,1500,,1024,128,"5.0,10.0,20.0",,,
A,l40s,1,1755,,64,2048,"5.0,10.0",,,
A,l40s,1,1755,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,1755,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,1755,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,1755,,512,128,"5.0,10.0,20.0,30.0",5.0,5.0,5.0
A,l40s,1,1755,,1024,128,"5.0,10.0,20.0",,5.0,5.0
A,l40s,1,2010,,64,2048,"5.0,10.0",,,
A,l40s,1,2010,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,2010,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,2010,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,2010,,512,128,"5.0,10.0,20.0,30.0",5.0,5.0,5.0
A,l40s,1,2010,,1024,128,"5.0,10.0,20.0",,5.0,5.0
A,l40s,1,2265,,64,2048,"5.0,10.0",,,
A,l40s,1,2265,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,2265,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,2265,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,2265,,512,128,"5.0,10.0,20.0,30.0",5.0,5.0,5.0
A,l40s,1,2265,,1024,128,"5.0,10.0,20.0",,5.0,5.0
A,l40s,1,2520,,64,2048,"5.0,10.0",,,
A,l40s,1,2520,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",5.0,5.0,5.0
A,l40s,1,2520,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,1,2520,,128,1024,"5.0,10.0,20.0",,,
A,l40s,1,2520,,512,128,"5.0,10.0,20.0,30.0",5.0,5.0,5.0
A,l40s,1,2520,,1024,128,"5.0,10.0,20.0",,5.0,5.0
A,l40s,2,1245,,64,2048,10.0,,,
A,l40s,2,1245,,128,128,20.0,,,
A,l40s,2,1245,,128,1024,10.0,,,
A,l40s,2,1245,,1024,128,10.0,,,
A,l40s,2,1500,,64,2048,"5.0,10.0",,,
A,l40s,2,1500,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",10.0,10.0,10.0
A,l40s,2,1500,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,2,1500,,128,1024,"5.0,10.0,20.0",,,
A,l40s,2,1500,,512,128,"5.0,10.0,20.0,30.0",10.0,10.0,10.0
A,l40s,2,1500,,1024,128,"5.0,10.0,20.0",10.0,10.0,10.0
A,l40s,2,1755,,64,2048,10.0,,,
A,l40s,2,1755,,128,128,20.0,,,
A,l40s,2,1755,,128,1024,10.0,,,
A,l40s,2,1755,,1024,128,10.0,,,
A,l40s,2,2010,,64,2048,"5.0,10.0",,,
A,l40s,2,2010,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",10.0,10.0,10.0
A,l40s,2,2010,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,2,2010,,128,1024,"5.0,10.0,20.0",,,
A,l40s,2,2010,,512,128,"5.0,10.0,20.0,30.0",10.0,10.0,10.0
A,l40s,2,2010,,1024,128,"5.0,10.0,20.0",10.0,10.0,10.0
A,l40s,2,2265,,64,2048,10.0,,,
A,l40s,2,2265,,128,128,20.0,,,
A,l40s,2,2265,,128,1024,10.0,,,
A,l40s,2,2265,,1024,128,10.0,,,
A,l40s,2,2520,,64,2048,"5.0,10.0",,,
A,l40s,2,2520,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",10.0,10.0,10.0
A,l40s,2,2520,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,2,2520,,128,1024,"5.0,10.0,20.0",,,
A,l40s,2,2520,,512,128,"5.0,10.0,20.0,30.0",10.0,10.0,10.0
A,l40s,2,2520,,1024,128,"5.0,10.0,20.0",10.0,10.0,10.0
A,l40s,4,1245,,64,2048,10.0,,,
A,l40s,4,1245,,128,128,20.0,,,
A,l40s,4,1245,,128,1024,10.0,,,
A,l40s,4,1245,,1024,128,10.0,,,
A,l40s,4,1500,,64,2048,"5.0,10.0",,,
A,l40s,4,1500,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",10.0,10.0,10.0
A,l40s,4,1500,,128,512,"5.0,10.0,20.0,30.0",,,
A,l40s,4,1500,,128,1024,"5.0,10.0,20.0",,,
A,l40s,4,1500,,512,128,"5.0,10.0,20.0,30.0",10.0,10.0,10.0
A,l40s,4,1500,,1024,128,"5.0,10.0,20.0",10.0,10.0,10.0
A,l40s,4,1755,,64,2048,10.0,,,
A,l40s,4,1755,,128,128,20.0,,,
A,l40s,4,1755,,128,1024,10.0,,,
A,l40s,4,1755,,1024,128,10.0,,,
A,l40s,4,2010,,64,2048,"5.0,10.0",,,
A,l40s,4,2010,,128,128,"2.0,5.0,10.0,20.0,30.0,50.0",10.0,10.0,10.0
A,l40s,4,2010,,128,512,"5.0,10.0,20.0,30.0",,,
