arrival_time_s,input_len,output_len
0.2482,7168,32
0.2839,128,32
0.4968,3072,32
0.5352,2048,32
0.7850,512,32
0.9937,512,32
1.0346,512,32
1.2870,2048,32
1.5094,2048,512
1.6699,512,32
1.9005,512,32
2.0358,512,128
2.1540,2048,32
2.5067,512,32
2.7605,512,32
2.8978,1024,32
2.9235,512,128
3.1732,3072,128
3.3978,2048,32
3.5373,512,32
3.7511,7168,32
3.9054,4096,32
4.0338,5120,32
4.1709,5120,512
4.2568,2048,32
4.6362,2048,32
5.0067,512,32
5.2606,1024,32
5.5335,2048,128
5.7583,3072,32
5.9005,128,32
5.9987,512,32
6.1516,2048,32
6.2491,512,32
6.6497,512,32
6.9019,128,32
7.1487,512,32
7.4001,512,32
7.6481,512,32
7.7817,1024,128
8.2467,512,32
8.2857,512,32
8.4542,3072,512
8.6506,512,32
8.7444,512,32
8.9014,512,32
9.0373,512,32
9.4971,2048,32
9.6614,5120,32
9.7451,4096,32
9.7893,2048,32
9.9955,512,32
10.0390,512,32
10.2874,5120,32
10.4215,1024,32
10.7449,2048,512
10.9142,1024,32
11.1623,512,32
11.2854,1024,128
11.4933,128,128
11.5349,512,32
11.7827,128,32
12.0346,512,32
12.4013,512,128
12.6494,2048,128
12.8971,32,32
12.9935,512,32
13.1646,512,32
13.2963,4096,512
13.6510,512,32
13.7833,512,32
13.9965,7168,32
14.2837,512,32
14.4978,512,32
14.7462,512,32
14.7491,2048,512
14.9956,5120,128
15.2424,6144,1024
15.2472,2048,512
15.3999,512,32
15.5457,2048,32
15.7480,2048,512
15.8981,512,32
15.9997,4096,128
16.1557,4096,32
16.2448,2048,128
16.5022,512,32
16.6619,128,128
16.7543,512,32
16.9060,512,32
17.0060,2048,128
17.1499,128,32
17.4114,512,32
17.7484,3072,512
17.9466,4096,32
18.1662,2048,512
18.4085,512,32
18.6445,1024,128
18.7655,512,32
18.9054,512,32
19.1596,512,32
19.4957,512,32
19.6567,3072,512
19.6723,3072,512
19.7898,7168,32
19.9991,3072,512
20.2420,3072,32
20.5408,128,32
20.9060,1024,128
21.3916,128,32
21.6424,512,32
21.6532,2048,512
21.7566,128,32
21.8951,128,32
22.2462,3072,32
22.4969,512,32
22.6784,2048,32
22.7924,1024,128
22.9958,3072,512
23.3095,128,32
23.5424,128,32
23.7900,512,32
23.9948,512,128
24.1420,2048,32
24.3974,512,32
24.6582,512,32
24.9977,512,32
25.1445,512,32
25.3965,512,128
25.6590,512,32
25.8916,4096,128
26.0424,32,128
26.2583,512,32
26.3958,512,32
26.4961,4096,512
26.5724,3072,32
26.6434,4096,128
26.7469,4096,32
26.9965,512,32
27.1577,128,128
27.4957,2048,512
27.6445,5120,512
27.8951,2048,32
28.0005,2048,32
28.2492,4096,32
28.4983,2048,32
28.7464,512,32
28.8974,2048,512
29.0418,2048,128
29.2501,3072,512
29.4080,512,32
29.5478,3072,32
29.7845,512,32
29.9985,512,32
30.1454,512,32
30.1569,2048,32
30.2831,512,128
30.4220,128,32
30.7508,512,32
30.8940,5120,32
31.0009,512,32
31.2519,512,32
31.3440,2048,32
31.6689,2048,1024
31.7875,128,32
32.0019,4096,32
32.2833,512,32
32.4917,1024,32
32.5028,512,32
32.5414,1024,32
32.7820,512,32
33.1513,512,32
33.2638,512,32
33.5033,512,32
33.6468,4096,128
33.7843,6144,32
34.1549,5120,32
34.2520,4096,512
34.5174,512,128
34.6558,1024,512
34.7458,512,32
35.0404,5120,512
35.2892,512,32
35.5323,128,32
35.7438,512,32
36.0021,512,128
36.1479,3072,128
36.2868,2048,32
36.5022,512,32
36.7433,5120,1024
36.7841,2048,32
36.9203,1024,32
37.0033,3072,32
37.1474,128,32
37.3941,4096,512
37.6448,512,32
37.9104,1024,32
38.2851,512,32
38.5000,512,32
38.5799,128,32
39.0012,2048,32
39.0364,5120,512
39.2862,512,32
39.4957,512,32
39.7489,512,32
39.7923,1024,32
39.9980,1024,32
40.1447,512,32
40.2512,2048,512
40.2872,512,32
40.6434,512,32
40.7527,2048,512
41.0048,512,32
41.1463,3072,512
41.2876,128,32
41.5047,2048,512
41.7511,128,32
41.9040,128,32
42.1485,128,32
42.2833,5120,32
42.5029,1024,32
42.7507,512,32
42.7856,512,32
43.1742,5120,32
43.4068,3072,32
43.5347,2048,512
43.7464,512,128
43.7874,1024,128
44.1410,128,128
44.2870,512,32
44.6682,512,32
44.7504,512,32
45.0030,512,32
45.3989,2048,32
45.4047,5120,512
45.7476,2048,128
46.0064,512,32
46.1441,512,32
46.3947,2048,128
46.7838,1024,32
47.1414,2048,512
47.2522,2048,128
47.2890,3072,128
47.4005,512,32
47.6434,512,32
47.8936,4096,512
48.0390,2048,32
48.1627,5120,32
48.2532,1024,128
48.2844,128,128
48.3985,2048,128
48.5359,3072,512
48.7452,5120,1024
48.7846,512,32
49.1420,512,32
49.5047,2048,512
49.6440,512,32
49.7507,3072,32
49.9942,512,32
50.2577,512,32
50.5045,512,32
50.8948,1024,128
51.1460,5120,512
51.4946,128,128
51.6504,512,128
51.7886,512,32
52.2451,1024,32
52.2840,512,32
52.3955,512,32
52.6440,128,32
52.7835,3072,128
52.9920,3072,32
53.1494,4096,32
53.1920,1024,32
53.3956,512,32
53.7451,512,32
53.9924,512,32
54.0372,3072,32
54.4937,512,32
54.6526,3072,128
54.7550,512,32
55.0460,512,32
55.4004,2048,512
55.6615,512,32
55.7989,3072,32
55.9969,3072,128
56.2452,512,128
56.4011,2048,32
56.6870,512,32
56.9223,3072,512
57.2478,4096,32
57.4983,2048,32
57.7927,512,32
58.1008,128,128
58.2470,2048,512
58.2504,512,32
58.4959,512,32
58.7492,512,32
58.9953,128,32
59.1338,512,32
59.2495,512,32
59.4225,3072,128
59.6517,3072,512
59.7541,128,128
60.0712,512,32
60.4053,512,32
60.4956,3072,512
60.7441,512,32
60.9176,512,128
60.9952,512,32
61.1580,512,32
61.4980,512,32
61.5446,1024,32
61.7596,4096,512
61.9987,512,32
62.0434,512,32
62.5083,6144,32
62.7437,512,32
62.9146,3072,512
63.2940,4096,32
63.6524,2048,32
63.7458,128,32
63.9023,6144,32
64.1636,512,32
64.2966,512,32
64.3984,1024,32
64.4951,128,32
64.6672,512,32
64.7465,128,32
64.8949,512,32
64.9964,2048,32
65.0450,128,32
65.6628,512,32
65.8917,3072,128
66.3936,1024,32
66.7466,3072,32
66.8943,2048,512
66.9954,512,32
67.0454,512,32
67.1657,2048,512
67.4735,1024,32
67.6455,512,32
67.6641,512,32
67.8938,512,128
68.1649,2048,512
68.4957,2048,32
68.5411,1024,32
68.8980,512,32
