window_id,request_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
light_before,phase3c-light_before-0000,128,128,128,P0,D0,726.6336890024832,55.94881131486989,55.946204881802544,7832.132725990959,591.352685005404,7231.829135998851,True,True
light_before,phase3c-light_before-0001,128,128,128,P0,D1,444.57059100386687,55.962210299271185,55.96012863782913,7551.771299011307,332.07208800013177,7213.922486000229,True,True
light_before,phase3c-light_before-0002,128,128,128,P1,D0,520.1838860084536,55.94580930700768,55.94380404724553,7625.3016679984285,437.35328399634454,7182.900540996343,True,True
light_before,phase3c-light_before-0003,128,128,128,P1,D1,275.9762709902134,55.95169740160249,55.949697338592806,7381.841840993729,194.38540999544784,7182.049583992921,True,True
moderate,phase3c-moderate-0000,2048,256,256,P0,D1,505.8346129953861,58.14302247845084,58.14087099216504,15332.30534500035,406.87436499865726,14920.208677998744,True,True
moderate,phase3c-moderate-0001,2048,256,256,P0,D1,473.76465299748816,58.14986352942309,58.148850235339324,15301.979853000375,377.89704199531116,14917.596465995302,True,True
moderate,phase3c-moderate-0002,2048,256,256,P0,D1,478.62146999977995,58.15097227454067,58.14997226276033,15307.11940000765,380.51590201212093,14917.18141399906,True,True
moderate,phase3c-moderate-0003,2048,256,256,P0,D1,475.49139299371745,58.14755702358168,58.14595561572716,15303.118434007047,381.41695701051503,14916.539263998857,True,True
moderate,phase3c-moderate-0004,2048,256,256,P0,D1,473.37170799437445,58.14452332155733,58.14347885099386,15300.225154991494,379.2454140057089,14916.649755003164,True,True
moderate,phase3c-moderate-0005,2048,256,256,P0,D1,477.1995690098265,58.14958802349043,58.14855173332891,15305.344514999888,384.75815700076055,14916.784679007833,True,True
moderate,phase3c-moderate-0006,2048,256,256,P0,D1,474.6545030066045,58.14573705880036,58.14463351368128,15301.817453000695,380.39336900692433,14915.640323000844,True,True
moderate,phase3c-moderate-0007,2048,256,256,P0,D1,472.5105569959851,58.144907407889455,58.14101073335098,15299.461946007796,379.8543070006417,14914.85812299652,True,True
light_after,phase3c-light_after-0000,128,128,128,P0,D0,222.43654100748245,55.95102196059274,55.946429488207876,7328.2163300027605,138.10988901241217,7184.634687990183,True,True
light_after,phase3c-light_after-0001,128,128,128,P0,D1,187.76569099281915,55.95775870076934,55.955581322901764,7294.401045990526,107.20008199859876,7182.561360998079,True,True
light_after,phase3c-light_after-0002,128,128,128,P1,D0,201.3120030023856,55.95466566918781,55.953425519680785,7307.554542989237,120.75884500518441,7182.762863987591,True,True
light_after,phase3c-light_after-0003,128,128,128,P1,D1,172.88886199821718,55.956101220552114,55.95415259054202,7279.3137170083355,93.31464400747791,7180.881683001644,True,True
