endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,90417.60703004,1787912058.0781603,1787912058.2135231,0.13536374999966938,False,
D1,0,90417.60703004,1787912058.078825,1787912058.1900241,0.11119943798985332,False,
P0,0,90417.60703004,1787912058.0797234,1787912058.2168303,0.1371080359967891,False,
P1,0,90417.60703004,1787912058.0806866,1787912058.209712,0.12902673899952788,False,
D0,1,90418.60703004,1787912059.0778084,1787912059.137409,0.05960104700352531,False,
D1,1,90418.60703004,1787912059.0782754,1787912059.1628716,0.08459562899952289,False,
P0,1,90418.60703004,1787912059.0790892,1787912059.2084901,0.1294011970021529,False,
P1,1,90418.60703004,1787912059.0800579,1787912059.2045786,0.12452116698841564,False,
D0,2,90419.60703004,1787912060.0792391,1787912060.2403023,0.16106288900482468,False,
D1,2,90419.60703004,1787912060.0778782,1787912060.2362068,0.15832883700204547,False,
P0,2,90419.60703004,1787912060.0799017,1787912060.243791,0.16388951599947177,False,
P1,2,90419.60703004,1787912060.078517,1787912060.223047,0.14452958600304555,False,
D0,3,90420.60703004,1787912061.077848,1787912061.2355459,0.1576981129910564,False,
D1,3,90420.60703004,1787912061.078339,1787912061.2404952,0.1621558990009362,False,
P0,3,90420.60703004,1787912061.0810623,1787912061.2465804,0.16551817100844346,False,
P1,3,90420.60703004,1787912061.0796423,1787912061.2438009,0.16415832100028638,False,
D0,4,90421.60703004,1787912062.0783856,1787912062.2417648,0.1633790660125669,False,
D1,4,90421.60703004,1787912062.079141,1787912062.2382615,0.1591202990093734,False,
P0,4,90421.60703004,1787912062.0803719,1787912062.2350125,0.1546403980028117,False,
P1,4,90421.60703004,1787912062.0778487,1787912062.2166958,0.13884712499566376,False,
D0,5,90422.60703004,1787912063.0784225,1787912063.2255578,0.14713507299893536,False,
D1,5,90422.60703004,1787912063.079147,1787912063.2199385,0.14079119599773549,False,
P0,5,90422.60703004,1787912063.0797603,1787912063.2228286,0.14306833600858226,False,
P1,5,90422.60703004,1787912063.0778797,1787912063.2023032,0.12442397800623439,False,
D0,6,90423.60703004,1787912064.0778465,1787912064.2234724,0.14562660398951266,False,
D1,6,90423.60703004,1787912064.078976,1787912064.236157,0.1571809650049545,False,
P0,6,90423.60703004,1787912064.0802202,1787912064.2327588,0.15253842700622045,False,
P1,6,90423.60703004,1787912064.0783942,1787912064.229423,0.151028877007775,False,
D0,7,90424.60703004,1787912065.078478,1787912065.2090952,0.13061724799626973,False,
D1,7,90424.60703004,1787912065.0778732,1787912065.225263,0.1473899450065801,False,
P0,7,90424.60703004,1787912065.0806918,1787912065.2183506,0.13765900199359749,False,
P1,7,90424.60703004,1787912065.079112,1787912065.2216873,0.14257528900634497,False,
D0,8,90425.60703004,1787912066.080276,1787912066.1936548,0.11337903600360733,False,
D1,8,90425.60703004,1787912066.0783944,1787912066.2218518,0.1434573000005912,False,
P0,8,90425.60703004,1787912066.077841,1787912066.1741722,0.09634309100511018,False,
P1,8,90425.60703004,1787912066.0792565,1787912066.225775,0.14651875199342612,False,
D0,9,90426.60703004,1787912067.078387,1787912067.2081347,0.12974790899897926,False,
D1,9,90426.60703004,1787912067.0795825,1787912067.2216384,0.14205503999255598,False,
P0,9,90426.60703004,1787912067.0790133,1787912067.2180533,0.1390400530071929,False,
P1,9,90426.60703004,1787912067.0778515,1787912067.214639,0.136787416995503,False,
D0,10,90427.60703004,1787912068.0801792,1787912068.2440727,0.16389316899585538,False,
D1,10,90427.60703004,1787912068.0793824,1787912068.247868,0.16848504899826366,False,
P0,10,90427.60703004,1787912068.0778415,1787912068.2370663,0.1592247120133834,False,
P1,10,90427.60703004,1787912068.0783763,1787912068.2406986,0.16232152000884525,False,
D0,11,90428.60703004,1787912069.0804749,1787912069.2348406,0.15436560800299048,False,
D1,11,90428.60703004,1787912069.0784292,1787912069.2311497,0.15272038799594156,False,
P0,11,90428.60703004,1787912069.0798795,1787912069.2379684,0.15808857900265139,False,
P1,11,90428.60703004,1787912069.077869,1787912069.2263744,0.1485055340017425,False,
D0,12,90429.60703004,1787912070.0778456,1787912070.185435,0.10758978899684735,False,
D1,12,90429.60703004,1787912070.0792875,1787912070.200542,0.12125483399722725,False,
P0,12,90429.60703004,1787912070.080686,1787912070.2154737,0.13478772300004493,False,
P1,12,90429.60703004,1787912070.078375,1787912070.218687,0.14031129199429415,False,
D0,13,90430.60703004,1787912071.079796,1787912071.241915,0.16211921200738288,False,
D1,13,90430.60703004,1787912071.08035,1787912071.2341483,0.1537982519948855,False,
P0,13,90430.60703004,1787912071.0783925,1787912071.2383115,0.1599190160050057,False,
P1,13,90430.60703004,1787912071.0778468,1787912071.1719224,0.09407611499773338,False,
D0,14,90431.60703004,1787912072.0797725,1787912072.2046902,0.12491797699476592,False,
D1,14,90431.60703004,1787912072.0778332,1787912072.1545072,0.07667397400655318,False,
P0,14,90431.60703004,1787912072.079008,1787912072.208298,0.12928961199941114,False,
