window_id,policy,workload,repeat,request_id,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms
b01-r01-static-prefill_heavy,STATIC,prefill_heavy,1,phase3c-b01-r01-static-prefill_heavy-0000,P0,D0,504.29325699224137,58.120741127317565,58.10866731778896,4165.899948013248
b01-r01-static-prefill_heavy,STATIC,prefill_heavy,1,phase3c-b01-r01-static-prefill_heavy-0001,P0,D1,497.11362697416916,58.06915004763545,58.06497836509527,4155.470079975203
b01-r01-static-prefill_heavy,STATIC,prefill_heavy,1,phase3c-b01-r01-static-prefill_heavy-0002,P1,D0,480.18315801164135,58.08692160321193,58.08232472987757,4139.659219013993
b01-r01-static-prefill_heavy,STATIC,prefill_heavy,1,phase3c-b01-r01-static-prefill_heavy-0003,P1,D1,455.49557099002413,58.097345238026705,58.09336539684972,4115.6283209857065
b01-r02-static-prefill_heavy,STATIC,prefill_heavy,2,phase3c-b01-r02-static-prefill_heavy-0000,P0,D0,487.6838949858211,58.09569087328522,58.06913401604453,4147.71242000279
b01-r02-static-prefill_heavy,STATIC,prefill_heavy,2,phase3c-b01-r02-static-prefill_heavy-0001,P0,D1,472.1220860083122,58.09736452370305,58.09319036502746,4132.256051001605
b01-r02-static-prefill_heavy,STATIC,prefill_heavy,2,phase3c-b01-r02-static-prefill_heavy-0002,P1,D0,453.51622501038946,58.08490492026543,58.080387999772995,4112.865234987112
b01-r02-static-prefill_heavy,STATIC,prefill_heavy,2,phase3c-b01-r02-static-prefill_heavy-0003,P1,D1,454.53040598658845,58.08999880987574,58.08487376207412,4114.20033100876
b01-r03-static-prefill_heavy,STATIC,prefill_heavy,3,phase3c-b01-r03-static-prefill_heavy-0000,P0,D0,486.0849999822676,58.101252333486514,58.095397063649244,4146.463896991918
b01-r03-static-prefill_heavy,STATIC,prefill_heavy,3,phase3c-b01-r03-static-prefill_heavy-0001,P0,D1,488.9206550142262,58.06824365087474,58.064316126835784,4147.220005019335
b01-r03-static-prefill_heavy,STATIC,prefill_heavy,3,phase3c-b01-r03-static-prefill_heavy-0002,P1,D0,457.8325449838303,58.075730650988774,58.07142050813011,4116.603575996123
b01-r03-static-prefill_heavy,STATIC,prefill_heavy,3,phase3c-b01-r03-static-prefill_heavy-0003,P1,D1,460.78103000763804,58.0865625557231,58.08213614306176,4120.234471018193
b01-r04-static-prefill_heavy,STATIC,prefill_heavy,4,phase3c-b01-r04-static-prefill_heavy-0000,P0,D0,474.6302240237128,58.095027793324476,58.0819539840348,4134.616975003155
b01-r04-static-prefill_heavy,STATIC,prefill_heavy,4,phase3c-b01-r04-static-prefill_heavy-0001,P0,D1,475.7726259995252,58.069409031535514,58.064864475801144,4134.1453949862625
b01-r04-static-prefill_heavy,STATIC,prefill_heavy,4,phase3c-b01-r04-static-prefill_heavy-0002,P1,D0,461.8854389991611,58.081895206308374,58.07754063483564,4121.044836996589
b01-r04-static-prefill_heavy,STATIC,prefill_heavy,4,phase3c-b01-r04-static-prefill_heavy-0003,P1,D1,446.89849999849685,58.07532787291585,58.071178126810416,4105.644155992195
b01-r05-static-prefill_heavy,STATIC,prefill_heavy,5,phase3c-b01-r05-static-prefill_heavy-0000,P0,D0,418.3275399846025,58.08723780986232,58.08202968263585,4077.8235220059287
b01-r05-static-prefill_heavy,STATIC,prefill_heavy,5,phase3c-b01-r05-static-prefill_heavy-0001,P0,D1,455.4947610013187,58.09045909526979,58.08601677805806,4115.193684003316
b01-r05-static-prefill_heavy,STATIC,prefill_heavy,5,phase3c-b01-r05-static-prefill_heavy-0002,P1,D0,472.90875102044083,58.08429714266418,58.07957053923654,4132.219471008284
