endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,182411.164136571,1788004051.635199,1788004051.7909257,0.15572813697508536,False,
D1,0,182411.164136571,1788004051.635972,1788004051.7992144,0.16324275298393331,False,
P0,0,182411.164136571,1788004051.636592,1788004051.7950525,0.15846118499757722,False,
P1,0,182411.164136571,1788004051.637229,1788004051.767386,0.13015817501582205,False,
D0,1,182412.164136571,1788004052.636977,1788004052.7920427,0.15506525500677526,False,
D1,1,182412.164136571,1788004052.6362038,1788004052.787634,0.15143004499259405,False,
P0,1,182412.164136571,1788004052.634972,1788004052.7774582,0.14248608698835596,False,
P1,1,182412.164136571,1788004052.635611,1788004052.7457895,0.1101787640072871,False,
D0,2,182413.164136571,1788004053.6349616,1788004053.778973,0.14401153300423175,False,
D1,2,182413.164136571,1788004053.637048,1788004053.774615,0.13756632900913246,False,
P0,2,182413.164136571,1788004053.6355665,1788004053.7440798,0.10851302099763416,False,
P1,2,182413.164136571,1788004053.6361759,1788004053.763794,0.12761834499542601,False,
D0,3,182414.164136571,1788004054.6355047,1788004054.7730212,0.1375163709744811,False,
D1,3,182414.164136571,1788004054.6362822,1788004054.7824543,0.1461715889745392,False,
P0,3,182414.164136571,1788004054.637518,1788004054.7869353,0.14941702800570056,False,
P1,3,182414.164136571,1788004054.634954,1788004054.747293,0.11233964000712149,False,
D0,4,182415.164136571,1788004055.636447,1788004055.7937424,0.1572945000079926,False,
D1,4,182415.164136571,1788004055.6370406,1788004055.802168,0.16512709500966594,False,
P0,4,182415.164136571,1788004055.6349628,1788004055.788218,0.15325553598813713,False,
P1,4,182415.164136571,1788004055.6355069,1788004055.7976859,0.16217830500681885,False,
D0,5,182416.164136571,1788004056.6355107,1788004056.7956839,0.16017270702286623,False,
D1,5,182416.164136571,1788004056.6362727,1788004056.7874956,0.1512232800014317,False,
P0,5,182416.164136571,1788004056.637198,1788004056.7917552,0.15455698300502263,False,
P1,5,182416.164136571,1788004056.6349494,1788004056.719688,0.08473852998577058,False,
D0,6,182417.164136571,1788004057.635507,1788004057.7903137,0.1548065789975226,False,
D1,6,182417.164136571,1788004057.636835,1788004057.8027716,0.16593612101860344,False,
P0,6,182417.164136571,1788004057.6349561,1788004057.7981637,0.16320778700173832,False,
P1,6,182417.164136571,1788004057.6383054,1788004057.806352,0.16804631799459457,False,
D0,7,182418.164136571,1788004058.6372585,1788004058.8022344,0.16497509702458046,False,
D1,7,182418.164136571,1788004058.6363957,1788004058.7895327,0.1531366569979582,False,
P0,7,182418.164136571,1788004058.6349604,1788004058.7987356,0.16377494600601494,False,
P1,7,182418.164136571,1788004058.6355217,1788004058.794955,0.15943270499701612,False,
D0,8,182419.164136571,1788004059.636444,1788004059.7893972,0.15295249401242472,False,
D1,8,182419.164136571,1788004059.6373258,1788004059.785411,0.14808442001231015,False,
P0,8,182419.164136571,1788004059.6355004,1788004059.792999,0.15749785100342706,False,
P1,8,182419.164136571,1788004059.63496,1788004059.7174294,0.08246979999239556,False,
D0,9,182420.164136571,1788004060.6355093,1788004060.7974107,0.16190077000646852,False,
D1,9,182420.164136571,1788004060.6362495,1788004060.7473633,0.11111417697975412,False,
P0,9,182420.164136571,1788004060.6372685,1788004060.7928295,0.15556028397986665,False,
P1,9,182420.164136571,1788004060.6349518,1788004060.7712753,0.13632379300543107,False,
D0,10,182421.164136571,1788004061.635505,1788004061.8049018,0.16939654599991627,False,
D1,10,182421.164136571,1788004061.63705,1788004061.7962,0.15914972600876354,False,
