Synthetic Trace Replay Summary
Trace CSV:                               /data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260829-133451-luqia-xpyd-phase4b-r3-stationary-gate-fix/results/255320/phase4b_stationary/xpyd_phase4b_r3_255320/raw/windows/b03-r04-feedback_dvfs_only-both_heavy/client/trace.csv
Requests total:                          4
Successful requests:                     4
Failed requests:                         0
Mean TTFT (ms):                          236.667
P99 TTFT (ms):                           240.136
Mean TPOT (ms):                          58.060
P99 TPOT (ms):                           58.064
Mean ITL (ms):                           58.057
P99 ITL (ms):                            58.061
Mean E2E latency (ms):                   7610.341
P99 E2E latency (ms):                    7612.728
Replay trace duration (s):               3.000
