endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,183680.619190848,1788005321.0901673,1788005321.241794,0.15162833500653505,False,
D1,0,183680.619190848,1788005321.0908751,1788005321.2495553,0.1586811740125995,False,
P0,0,183680.619190848,1788005321.0917616,1788005321.2524793,0.16071839799406007,False,
P1,0,183680.619190848,1788005321.092453,1788005321.2465591,0.15410718499333598,False,
D0,1,183681.619190848,1788005322.091204,1788005322.2577283,0.16652492599678226,False,
D1,1,183681.619190848,1788005322.09002,1788005322.2543828,0.16436261500348337,False,
P0,1,183681.619190848,1788005322.0921903,1788005322.2505953,0.15840539400232956,False,
P1,1,183681.619190848,1788005322.0906227,1788005322.2104392,0.11981643000035547,False,
D0,2,183682.619190848,1788005323.0900025,1788005323.2532175,0.16321538598276675,False,
D1,2,183682.619190848,1788005323.0905488,1788005323.2445424,0.1539935409964528,False,
P0,2,183682.619190848,1788005323.0916216,1788005323.2475,0.15587860901723616,False,
P1,2,183682.619190848,1788005323.0911303,1788005323.2502718,0.15914147801231593,False,
D0,3,183683.619190848,1788005324.0918484,1788005324.2536974,0.16184949298622087,False,
D1,3,183683.619190848,1788005324.0906234,1788005324.2568796,0.16625591000774875,False,
P0,3,183683.619190848,1788005324.092466,1788005324.249783,0.15731679002055898,False,
P1,3,183683.619190848,1788005324.0900173,1788005324.231688,0.14167040601023473,False,
D0,4,183684.619190848,1788005325.0900075,1788005325.235813,0.14580562800983898,False,
D1,4,183684.619190848,1788005325.0911584,1788005325.1607554,0.06959751798422076,False,
P0,4,183684.619190848,1788005325.090553,1788005325.2325356,0.14198238198878244,False,
P1,4,183684.619190848,1788005325.0926886,1788005325.1792428,0.08655442297458649,False,
D0,5,183685.619190848,1788005326.0932477,1788005326.2344904,0.14124258598894812,False,
D1,5,183685.619190848,1788005326.0904827,1788005326.1897602,0.09927752299699932,False,
P0,5,183685.619190848,1788005326.090015,1788005326.2386172,0.14860239200061187,False,
P1,5,183685.619190848,1788005326.0913641,1788005326.229919,0.13855493397568353,False,
D0,6,183686.619190848,1788005327.0915856,1788005327.237611,0.1460253940022085,False,
D1,6,183686.619190848,1788005327.0905433,1788005327.230126,0.1395826250081882,False,
P0,6,183686.619190848,1788005327.0900075,1788005327.2151113,0.12510371999815106,False,
P1,6,183686.619190848,1788005327.0931363,1788005327.2340653,0.14092914399225265,False,
D0,7,183687.619190848,1788005328.091753,1788005328.2677147,0.1759619840013329,False,
D1,7,183687.619190848,1788005328.0900133,1788005328.274739,0.18472573399776593,False,
P0,7,183687.619190848,1788005328.0912387,1788005328.2632546,0.17201626900350675,False,
P1,7,183687.619190848,1788005328.0906165,1788005328.2715673,0.18095044101937674,False,
D0,8,183688.619190848,1788005329.0925212,1788005329.2344854,0.14196409200667404,False,
D1,8,183688.619190848,1788005329.0900059,1788005329.2276318,0.1376259160169866,False,
P0,8,183688.619190848,1788005329.0911016,1788005329.2212422,0.13014013899373822,False,
P1,8,183688.619190848,1788005329.0905597,1788005329.2312357,0.14067568199243397,False,
