endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,184363.206013476,1788006003.6771023,1788006003.7989202,0.12181922502350062,False,
D1,0,184363.206013476,1788006003.6777508,1788006003.8242657,0.1465160280058626,False,
P0,0,184363.206013476,1788006003.6784918,1788006003.8280404,0.14954928000224754,False,
P1,0,184363.206013476,1788006003.6793983,1788006003.8314471,0.15204900901881047,False,
D0,1,184364.206013476,1788006004.6781526,1788006004.8368716,0.15871907302062027,False,
D1,1,184364.206013476,1788006004.6774204,1788006004.8295498,0.15212939798948355,False,
P0,1,184364.206013476,1788006004.6790273,1788006004.8167894,0.13776202200097032,False,
P1,1,184364.206013476,1788006004.6768377,1788006004.8332477,0.15641018300084397,False,
D0,2,184365.206013476,1788006005.6774342,1788006005.8178082,0.1403735599888023,False,
D1,2,184365.206013476,1788006005.6792192,1788006005.8217516,0.14253151501179673,False,
P0,2,184365.206013476,1788006005.678222,1788006005.8077128,0.12949044798733667,False,
P1,2,184365.206013476,1788006005.6768384,1788006005.758051,0.08121283102082089,False,
D0,3,184366.206013476,1788006006.6780143,1788006006.8316905,0.15367596101714298,False,
D1,3,184366.206013476,1788006006.6768348,1788006006.8393009,0.1624662359827198,False,
P0,3,184366.206013476,1788006006.6774328,1788006006.8109412,0.13350870300200768,False,
P1,3,184366.206013476,1788006006.6786227,1788006006.836361,0.15773816499859095,False,
D0,4,184367.206013476,1788006007.6780698,1788006007.8180006,0.13993056400795467,False,
D1,4,184367.206013476,1788006007.677395,1788006007.7947974,0.11740209799609147,False,
P0,4,184367.206013476,1788006007.6796045,1788006007.8143532,0.13474831299390644,False,
P1,4,184367.206013476,1788006007.6768403,1788006007.7667115,0.08987121901009232,False,
D0,5,184368.206013476,1788006008.6784277,1788006008.8234787,0.1450511509901844,False,
D1,5,184368.206013476,1788006008.6776335,1788006008.7724457,0.09481279199826531,False,
P0,5,184368.206013476,1788006008.6801097,1788006008.8270483,0.1469383499934338,False,
P1,5,184368.206013476,1788006008.6768327,1788006008.8097525,0.13292021499364637,False,
D0,6,184369.206013476,1788006009.6768394,1788006009.8190107,0.14217147801537067,False,
D1,6,184369.206013476,1788006009.678459,1788006009.8148277,0.13636835099896416,False,
P0,6,184369.206013476,1788006009.6778743,1788006009.8274724,0.14959729800466448,False,
P1,6,184369.206013476,1788006009.677369,1788006009.8231328,0.1457634670077823,False,
D0,7,184370.206013476,1788006010.6790974,1788006010.8229241,0.1438265469914768,False,
D1,7,184370.206013476,1788006010.676836,1788006010.8262405,0.14940369300893508,False,
P0,7,184370.206013476,1788006010.6780598,1788006010.8160229,0.1379634310142137,False,
P1,7,184370.206013476,1788006010.6774485,1788006010.8197746,0.14232624499709345,False,
D0,8,184371.206013476,1788006011.6774516,1788006011.8154526,0.13800105301197618,False,
D1,8,184371.206013476,1788006011.6788812,1788006011.8321106,0.1532291269977577,False,
P0,8,184371.206013476,1788006011.6780736,1788006011.828196,0.15012217199546285,False,
P1,8,184371.206013476,1788006011.6768475,1788006011.8250453,0.14819765201536939,False,
D0,9,184372.206013476,1788006012.678145,1788006012.828658,0.1505128139979206,False,
D1,9,184372.206013476,1788006012.6774237,1788006012.8325617,0.15513769601238891,False,
P0,9,184372.206013476,1788006012.6796336,1788006012.7873323,0.10769871200318448,False,
P1,9,184372.206013476,1788006012.6768363,1788006012.81653,0.1396935639786534,False,
D0,10,184373.206013476,1788006013.677366,1788006013.822025,0.1446588149992749,False,
D1,10,184373.206013476,1788006013.679398,1788006013.7452645,0.06586609501391649,False,
P0,10,184373.206013476,1788006013.678332,1788006013.8253634,0.14703094799187966,False,
P1,10,184373.206013476,1788006013.6768317,1788006013.817489,0.1406572469859384,False,
D0,11,184374.206013476,1788006014.678648,1788006014.8245373,0.14588921901304275,False,
D1,11,184374.206013476,1788006014.6768181,1788006014.7925518,0.11573394198785536,False,
P0,11,184374.206013476,1788006014.677801,1788006014.8165596,0.13875864702276886,False,
P1,11,184374.206013476,1788006014.677311,1788006014.820822,0.14351131400326267,False,
