endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,184930.039342106,1788006570.5104175,1788006570.6456888,0.13527227999293245,False,
D1,0,184930.039342106,1788006570.5110095,1788006570.5688658,0.05785759599530138,False,
P0,0,184930.039342106,1788006570.5117595,1788006570.6481404,0.1363820270053111,False,
P1,0,184930.039342106,1788006570.5127842,1788006570.6429372,0.13015416299458593,False,
D0,1,184931.039342106,1788006571.5107856,1788006571.6103168,0.09953096098615788,False,
D1,1,184931.039342106,1788006571.5101626,1788006571.6656046,0.15544128199690022,False,
P0,1,184931.039342106,1788006571.5124857,1788006571.6722867,0.15980031801154837,False,
P1,1,184931.039342106,1788006571.511817,1788006571.669412,0.15759444699506275,False,
D0,2,184932.039342106,1788006572.5120857,1788006572.6421762,0.13009060101467185,False,
D1,2,184932.039342106,1788006572.5125477,1788006572.6534479,0.14089993998641148,False,
P0,2,184932.039342106,1788006572.5101414,1788006572.6584237,0.1482823500118684,False,
P1,2,184932.039342106,1788006572.5106106,1788006572.6562974,0.14568684200639836,False,
D0,3,184933.039342106,1788006573.5107539,1788006573.6582508,0.14749668701551855,False,
D1,3,184933.039342106,1788006573.5101762,1788006573.6340327,0.12385653299861588,False,
P0,3,184933.039342106,1788006573.5118735,1788006573.6638923,0.15201852400787175,False,
P1,3,184933.039342106,1788006573.511303,1788006573.6610937,0.14979063798091374,False,
D0,4,184934.039342106,1788006574.5107896,1788006574.6099443,0.09915451501728967,False,
D1,4,184934.039342106,1788006574.5133493,1788006574.661783,0.1484337780275382,False,
P0,4,184934.039342106,1788006574.5101936,1788006574.6654294,0.1552355010062456,False,
P1,4,184934.039342106,1788006574.5116236,1788006574.6690712,0.15744724799878895,False,
D0,5,184935.039342106,1788006575.5112052,1788006575.6777081,0.16650279000168666,False,
D1,5,184935.039342106,1788006575.5120997,1788006575.6557477,0.1436474759830162,False,
P0,5,184935.039342106,1788006575.5101793,1788006575.6741514,0.1639716479985509,False,
P1,5,184935.039342106,1788006575.5131855,1788006575.6806347,0.1674491050071083,False,
D0,6,184936.039342106,1788006576.5116,1788006576.6636524,0.152052157005528,False,
D1,6,184936.039342106,1788006576.5123372,1788006576.6605177,0.14818034798372537,False,
P0,6,184936.039342106,1788006576.5106316,1788006576.6674302,0.15679800501675345,False,
P1,6,184936.039342106,1788006576.5101552,1788006576.656157,0.14600148200406693,False,
D0,7,184937.039342106,1788006577.5106082,1788006577.6500945,0.13948622602038085,False,
D1,7,184937.039342106,1788006577.5117557,1788006577.6567652,0.14500911498907954,False,
P0,7,184937.039342106,1788006577.5101383,1788006577.6596096,0.14947098499396816,False,
P1,7,184937.039342106,1788006577.512212,1788006577.6534224,0.1412104289920535,False,
D0,8,184938.039342106,1788006578.5110931,1788006578.6328986,0.12180551499477588,False,
D1,8,184938.039342106,1788006578.510137,1788006578.6453247,0.135187534004217,False,
P0,8,184938.039342106,1788006578.512167,1788006578.651617,0.13944978200015612,False,
P1,8,184938.039342106,1788006578.5105999,1788006578.6488903,0.13829019101103768,False,
D0,9,184939.039342106,1788006579.5124476,1788006579.6775944,0.16514686401933432,False,
D1,9,184939.039342106,1788006579.511608,1788006579.667304,0.15569611798855476,False,
P0,9,184939.039342106,1788006579.5101488,1788006579.6718829,0.1617339340155013,False,
P1,9,184939.039342106,1788006579.5106263,1788006579.6749463,0.16432003999943845,False,
D0,10,184940.039342106,1788006580.512229,1788006580.6638706,0.1516413830104284,False,
D1,10,184940.039342106,1788006580.51061,1788006580.6562002,0.14558982700691558,False,
P0,10,184940.039342106,1788006580.5101442,1788006580.660043,0.14989858600893058,False,
P1,10,184940.039342106,1788006580.5112138,1788006580.642056,0.13084236899157986,False,
D0,11,184941.039342106,1788006581.5112062,1788006581.6615477,0.1503416720079258,False,
D1,11,184941.039342106,1788006581.5106094,1788006581.6462584,0.13564906298415735,False,
P0,11,184941.039342106,1788006581.5101392,1788006581.6652582,0.15511896199313924,False,
P1,11,184941.039342106,1788006581.5125587,1788006581.6682756,0.155717084009666,False,
D0,12,184942.039342106,1788006582.5101426,1788006582.6749105,0.1647678760054987,False,
D1,12,184942.039342106,1788006582.512016,1788006582.6629524,0.15093620397965424,False,
P0,12,184942.039342106,1788006582.5106287,1788006582.671711,0.16108212899416685,False,
P1,12,184942.039342106,1788006582.5111156,1788006582.6677487,0.15663292098906823,False,
D0,13,184943.039342106,1788006583.5101445,1788006583.632585,0.1224404459935613,False,
D1,13,184943.039342106,1788006583.5119767,1788006583.5995882,0.08761156900436617,False,
P0,13,184943.039342106,1788006583.5111465,1788006583.6360404,0.12489376598387025,False,
P1,13,184943.039342106,1788006583.5106163,1788006583.6384733,0.12785628699930385,False,
D0,14,184944.039342106,1788006584.5119727,1788006584.6615877,0.1496148979931604,False,
D1,14,184944.039342106,1788006584.511246,1788006584.5814838,0.07023751101223752,False,
P0,14,184944.039342106,1788006584.5106087,1788006584.654585,0.14397597999777645,False,
P1,14,184944.039342106,1788006584.51014,1788006584.6583622,0.1482224430073984,False,
D0,15,184945.039342106,1788006585.5127223,1788006585.6520467,0.13932425298844464,False,
D1,15,184945.039342106,1788006585.5105972,1788006585.6589773,0.1483802389993798,False,
P0,15,184945.039342106,1788006585.5101347,1788006585.6623027,0.15216780398623087,False,
P1,15,184945.039342106,1788006585.5111272,1788006585.6560533,0.14492581799277104,False,
D0,16,184946.039342106,1788006586.5115428,1788006586.658686,0.14714298999751918,False,
D1,16,184946.039342106,1788006586.5120783,1788006586.6396196,0.12754142499761656,False,
P0,16,184946.039342106,1788006586.5101373,1788006586.6549835,0.1448462090047542,False,
P1,16,184946.039342106,1788006586.510601,1788006586.6620426,0.15144152200082317,False,
D0,17,184947.039342106,1788006587.512472,1788006587.6543698,0.14189823900233023,False,
D1,17,184947.039342106,1788006587.5101314,1788006587.6633492,0.15321794099872932,False,
P0,17,184947.039342106,1788006587.5109046,1788006587.6670094,0.1561047090217471,False,
P1,17,184947.039342106,1788006587.512007,1788006587.670262,0.15825530598522164,False,
D0,18,184948.039342106,1788006588.5120344,1788006588.647661,0.13563761601108126,False,
D1,18,184948.039342106,1788006588.5112593,1788006588.610883,0.09962360200006515,False,
P0,18,184948.039342106,1788006588.5101368,1788006588.6517591,0.14162223701714538,False,
P1,18,184948.039342106,1788006588.5105999,1788006588.654508,0.14390789798926562,False,
D0,19,184949.039342106,1788006589.5105977,1788006589.6001937,0.08959626301657408,False,
D1,19,184949.039342106,1788006589.5125113,1788006589.6242957,0.11178435498732142,False,
P0,19,184949.039342106,1788006589.5101354,1788006589.6518798,0.14174432400614023,False,
P1,19,184949.039342106,1788006589.511151,1788006589.6481903,0.13703869000892155,False,
D0,20,184950.039342106,1788006590.511182,1788006590.6461508,0.1349686260218732,False,
D1,20,184950.039342106,1788006590.5101376,1788006590.6401744,0.13003716201637872,False,
P0,20,184950.039342106,1788006590.510607,1788006590.6537583,0.14315105500281788,False,
P1,20,184950.039342106,1788006590.5121436,1788006590.6495457,0.13740195499849506,False,
D0,21,184951.039342106,1788006591.5101473,1788006591.674555,0.16440759002580307,False,
D1,21,184951.039342106,1788006591.5110967,1788006591.6643195,0.15322242499678396,False,
P0,21,184951.039342106,1788006591.5106034,1788006591.6710455,0.16044202298508026,False,
P1,21,184951.039342106,1788006591.512231,1788006591.667747,0.15551577400765382,False,
