endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,185624.599156632,1788007265.0701194,1788007265.2062576,0.13613967399578542,False,
D1,0,185624.599156632,1788007265.0708337,1788007265.209553,0.13872047499171458,False,
P0,0,185624.599156632,1788007265.071771,1788007265.2123427,0.14057272099307738,False,
P1,0,185624.599156632,1788007265.0726092,1788007265.1912441,0.11863588501000777,False,
D0,1,185625.599156632,1788007266.0715516,1788007266.2241008,0.15254934801487252,False,
D1,1,185625.599156632,1788007266.0699873,1788007266.2080135,0.1380266140040476,False,
P0,1,185625.599156632,1788007266.070604,1788007266.2287948,0.15819018200272694,False,
P1,1,185625.599156632,1788007266.0721903,1788007266.233117,0.1609268749889452,False,
D0,2,185626.599156632,1788007267.0699663,1788007267.2369773,0.16701110199210234,False,
D1,2,185626.599156632,1788007267.0705874,1788007267.233102,0.16251424999791197,False,
P0,2,185626.599156632,1788007267.071758,1788007267.2407115,0.16895333299180493,False,
P1,2,185626.599156632,1788007267.0712082,1788007267.2288833,0.1576750969979912,False,
D0,3,185627.599156632,1788007268.0699487,1788007268.1952207,0.12527249299455434,False,
D1,3,185627.599156632,1788007268.070506,1788007268.2285604,0.15805449802428484,False,
P0,3,185627.599156632,1788007268.072251,1788007268.236653,0.1644016649806872,False,
P1,3,185627.599156632,1788007268.0712657,1788007268.2326927,0.16142708601546474,False,
D0,4,185628.599156632,1788007269.0705674,1788007269.2302368,0.15966865100199357,False,
D1,4,185628.599156632,1788007269.0699792,1788007269.2197633,0.14978436299134046,False,
P0,4,185628.599156632,1788007269.071168,1788007269.2338822,0.1627142140059732,False,
P1,4,185628.599156632,1788007269.0717194,1788007269.2264748,0.1547551800031215,False,
D0,5,185629.599156632,1788007270.0712218,1788007270.2172523,0.14602962997741997,False,
D1,5,185629.599156632,1788007270.0722249,1788007270.2137454,0.14152058499166742,False,
P0,5,185629.599156632,1788007270.0699732,1788007270.1669145,0.0969415029976517,False,
P1,5,185629.599156632,1788007270.070512,1788007270.2090237,0.13851172701106407,False,
D0,6,185630.599156632,1788007271.0705323,1788007271.2233276,0.15279538498725742,False,
D1,6,185630.599156632,1788007271.0699863,1788007271.2154768,0.14549025098676793,False,
P0,6,185630.599156632,1788007271.0716436,1788007271.2193377,0.14769386500120163,False,
P1,6,185630.599156632,1788007271.0711093,1788007271.2001243,0.1290149449778255,False,
D0,7,185631.599156632,1788007272.0711746,1788007272.2231176,0.15194288498605601,False,
D1,7,185631.599156632,1788007272.0705814,1788007272.212438,0.14185624400852248,False,
P0,7,185631.599156632,1788007272.06998,1788007272.2157907,0.14581055598682724,False,
P1,7,185631.599156632,1788007272.0727623,1788007272.2195456,0.14678352000191808,False,
D0,8,185632.599156632,1788007273.0719543,1788007273.233967,0.16201256698695943,False,
D1,8,185632.599156632,1788007273.0728106,1788007273.2304282,0.15761722100432962,False,
P0,8,185632.599156632,1788007273.0709827,1788007273.2267723,0.15578928400645964,False,
P1,8,185632.599156632,1788007273.0699787,1788007273.2224128,0.15243406398803927,False,
D0,9,185633.599156632,1788007274.0722952,1788007274.2271364,0.1548408430244308,False,
D1,9,185633.599156632,1788007274.0699894,1788007274.2235012,0.1535113749851007,False,
P0,9,185633.599156632,1788007274.0711558,1788007274.1895514,0.11839615798089653,False,
P1,9,185633.599156632,1788007274.070573,1788007274.2160637,0.14549080398865044,False,
D0,10,185634.599156632,1788007275.0705006,1788007275.2347138,0.16421292501036078,False,
D1,10,185634.599156632,1788007275.0724142,1788007275.2267914,0.15437707302044146,False,
P0,10,185634.599156632,1788007275.0712707,1788007275.1698515,0.09858124502352439,False,
P1,10,185634.599156632,1788007275.069973,1788007275.2307527,0.16077979799592867,False,
D0,11,185635.599156632,1788007276.0705156,1788007276.1850443,0.1145287680265028,False,
D1,11,185635.599156632,1788007276.069978,1788007276.2114198,0.14144184099859558,False,
P0,11,185635.599156632,1788007276.0716252,1788007276.2039325,0.13230724798631854,False,
P1,11,185635.599156632,1788007276.071104,1788007276.2078216,0.13671763602178544,False,
D0,12,185636.599156632,1788007277.0710046,1788007277.2171712,0.14616653800476342,False,
D1,12,185636.599156632,1788007277.0726326,1788007277.221742,0.1491089640185237,False,
P0,12,185636.599156632,1788007277.0704594,1788007277.22851,0.15805019097751938,False,
P1,12,185636.599156632,1788007277.0699568,1788007277.2247813,0.15482470698771067,False,
D0,13,185637.599156632,1788007278.0699728,1788007278.2345772,0.16460446699056774,False,
D1,13,185637.599156632,1788007278.0710702,1788007278.2283337,0.15726320599787869,False,
P0,13,185637.599156632,1788007278.0704997,1788007278.2314372,0.16093765400000848,False,
P1,13,185637.599156632,1788007278.0723152,1788007278.2235007,0.15118549499311484,False,
D0,14,185638.599156632,1788007279.0699778,1788007279.231209,0.16123120501288213,False,
D1,14,185638.599156632,1788007279.0710642,1788007279.2343476,0.16328313099802472,False,
P0,14,185638.599156632,1788007279.0729709,1788007279.2373023,0.16433154299738817,False,
P1,14,185638.599156632,1788007279.0705123,1788007279.2275908,0.15707835400826298,False,
D0,15,185639.599156632,1788007280.072311,1788007280.2373645,0.16505306799081154,False,
D1,15,185639.599156632,1788007280.0699766,1788007280.1984413,0.12846457300474867,False,
P0,15,185639.599156632,1788007280.0705009,1788007280.2293708,0.15886940600466914,False,
P1,15,185639.599156632,1788007280.0710607,1788007280.2340512,0.16299034099210985,False,
D0,16,185640.599156632,1788007281.0699732,1788007281.1926003,0.12262803499470465,False,
D1,16,185640.599156632,1788007281.072925,1788007281.2155788,0.14265337100368924,False,
P0,16,185640.599156632,1788007281.0710797,1788007281.2191317,0.14805187200545333,False,
P1,16,185640.599156632,1788007281.0704997,1788007281.2227647,0.15226503598387353,False,
D0,17,185641.599156632,1788007282.0715587,1788007282.206349,0.13478998799109831,False,
D1,17,185641.599156632,1788007282.0699766,1788007282.1609292,0.090952850994654,False,
P0,17,185641.599156632,1788007282.0728927,1788007282.2019427,0.12904987702495418,False,
P1,17,185641.599156632,1788007282.0708778,1788007282.210064,0.13918564401683398,False,
D0,18,185642.599156632,1788007283.0721657,1788007283.2315145,0.15934837199165486,False,
D1,18,185642.599156632,1788007283.0715678,1788007283.2239757,0.1524073740001768,False,
P0,18,185642.599156632,1788007283.0699985,1788007283.1881104,0.11811187901184894,False,
P1,18,185642.599156632,1788007283.0705192,1788007283.22817,0.15765083898440935,False,
D0,19,185643.599156632,1788007284.0699828,1788007284.2254965,0.15551353400223888,False,
D1,19,185643.599156632,1788007284.0723276,1788007284.216796,0.14446810699882917,False,
P0,19,185643.599156632,1788007284.070508,1788007284.2217,0.15119170502293855,False,
P1,19,185643.599156632,1788007284.0710785,1788007284.1621642,0.09108587898663245,False,
D0,20,185644.599156632,1788007285.0699706,1788007285.1656504,0.09567987499758601,False,
D1,20,185644.599156632,1788007285.0724342,1788007285.211555,0.13912121098837815,False,
P0,20,185644.599156632,1788007285.070495,1788007285.2195685,0.14907277197926305,False,
P1,20,185644.599156632,1788007285.0716128,1788007285.196188,0.12457491297391243,False,
D0,21,185645.599156632,1788007286.069972,1788007286.2107875,0.14081562898354605,False,
D1,21,185645.599156632,1788007286.0704937,1788007286.214161,0.14366641998640262,False,
P0,21,185645.599156632,1788007286.0710843,1788007286.180726,0.10964209501980804,False,
P1,21,185645.599156632,1788007286.071618,1788007286.2059345,0.13431667900294997,False,
D0,22,185646.599156632,1788007287.0699704,1788007287.23474,0.1647693540144246,False,
D1,22,185646.599156632,1788007287.072412,1788007287.2307096,0.15829729600227438,False,
P0,22,185646.599156632,1788007287.0704925,1788007287.189499,0.11900620500091463,False,
P1,22,185646.599156632,1788007287.0713177,1788007287.2262912,0.15497351699741557,False,
D0,23,185647.599156632,1788007288.0699728,1788007288.1868424,0.1168697249959223,False,
D1,23,185647.599156632,1788007288.0731242,1788007288.2028453,0.12972108999383636,False,
P0,23,185647.599156632,1788007288.0711088,1788007288.1991808,0.12807177400100045,False,
P1,23,185647.599156632,1788007288.0705047,1788007288.2058551,0.1353503249993082,False,
D0,24,185648.599156632,1788007289.0705173,1788007289.2324915,0.161974012007704,False,
D1,24,185648.599156632,1788007289.0716612,1788007289.2286904,0.15700545901199803,False,
P0,24,185648.599156632,1788007289.0711336,1788007289.2191384,0.1480042629991658,False,
P1,24,185648.599156632,1788007289.069981,1788007289.2240157,0.15403452501050197,False,
D0,25,185649.599156632,1788007290.0710914,1788007290.2221801,0.15108835202408955,False,
D1,25,185649.599156632,1788007290.0699825,1788007290.2132719,0.14328934799414128,False,
P0,25,185649.599156632,1788007290.070519,1788007290.1874244,0.11690572902443819,False,
P1,25,185649.599156632,1788007290.0721982,1788007290.2181683,0.14597010699799284,False,
D0,26,185650.599156632,1788007291.069974,1788007291.2059402,0.13596628402592614,False,
D1,26,185650.599156632,1788007291.0723987,1788007291.227174,0.15477517998078838,False,
P0,26,185650.599156632,1788007291.0715592,1788007291.2317548,0.160195440024836,False,
P1,26,185650.599156632,1788007291.070523,1788007291.2358966,0.1653733050043229,False,
