endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,186173.405582153,1788007813.8767064,1788007814.0265503,0.14984520999132656,False,
D1,0,186173.405582153,1788007813.8772905,1788007814.0225554,0.14526640699477866,False,
P0,0,186173.405582153,1788007813.8780265,1788007814.00472,0.12669448400265537,False,
P1,0,186173.405582153,1788007813.8791106,1788007814.0294876,0.15037765799206682,False,
D0,1,186174.405582153,1788007814.8793814,1788007815.033452,0.15407065700856037,False,
D1,1,186174.405582153,1788007814.8770325,1788007814.9352386,0.05820612100069411,False,
P0,1,186174.405582153,1788007814.8783185,1788007815.0300114,0.1516925820033066,False,
P1,1,186174.405582153,1788007814.8764093,1788007815.0250018,0.14859238601638936,False,
D0,2,186175.405582153,1788007815.8775814,1788007816.031762,0.15418067498831078,False,
D1,2,186175.405582153,1788007815.8770082,1788007816.0232315,0.146222430979833,False,
P0,2,186175.405582153,1788007815.8782003,1788007816.027922,0.14972128099179827,False,
P1,2,186175.405582153,1788007815.876397,1788007816.0350058,0.15860870698816143,False,
D0,3,186176.405582153,1788007816.8770325,1788007817.0274904,0.15045775199541822,False,
D1,3,186176.405582153,1788007816.87639,1788007817.0198526,0.14346262498293072,False,
P0,3,186176.405582153,1788007816.878557,1788007817.0311515,0.15259488500305451,False,
P1,3,186176.405582153,1788007816.8776495,1788007817.0237553,0.14610557301784866,False,
D0,4,186177.405582153,1788007817.876983,1788007817.9952042,0.11822132900124416,False,
D1,4,186177.405582153,1788007817.876382,1788007817.9459023,0.06952009699307382,False,
P0,4,186177.405582153,1788007817.8779674,1788007818.0098028,0.1318354969844222,False,
P1,4,186177.405582153,1788007817.8787868,1788007818.0133436,0.13455623300978914,False,
D0,5,186178.405582153,1788007818.8787165,1788007819.017628,0.13891164600499906,False,
D1,5,186178.405582153,1788007818.8763847,1788007818.9364908,0.06010627199430019,False,
P0,5,186178.405582153,1788007818.877803,1788007819.0212622,0.14345943898661062,False,
P1,5,186178.405582153,1788007818.8769732,1788007819.024972,0.147998472006293,False,
D0,6,186179.405582153,1788007819.8775294,1788007820.0229409,0.14541169299627654,False,
D1,6,186179.405582153,1788007819.8769672,1788007819.9358475,0.05887942999834195,False,
P0,6,186179.405582153,1788007819.8785064,1788007820.0303977,0.15189083802397363,False,
P1,6,186179.405582153,1788007819.8764017,1788007820.0271091,0.15070746900164522,False,
D0,7,186180.405582153,1788007820.8770607,1788007821.0473182,0.17025731899775565,False,
D1,7,186180.405582153,1788007820.8763995,1788007821.0508978,0.1744980060029775,False,
P0,7,186180.405582153,1788007820.8777187,1788007821.0375142,0.15979521800181828,False,
P1,7,186180.405582153,1788007820.87828,1788007821.044585,0.1663051289797295,False,
D0,8,186181.405582153,1788007821.8764143,1788007822.038825,0.16241058602463454,False,
D1,8,186181.405582153,1788007821.8781328,1788007822.0478313,0.16969853697810322,False,
P0,8,186181.405582153,1788007821.8771057,1788007822.0420773,0.1649719010165427,False,
P1,8,186181.405582153,1788007821.878749,1788007822.0445843,0.16583490002085455,False,
D0,9,186182.405582153,1788007822.8780086,1788007823.0341032,0.1560944369994104,False,
D1,9,186182.405582153,1788007822.8770325,1788007823.045357,0.16832487500505522,False,
P0,9,186182.405582153,1788007822.878787,1788007823.0416539,0.1628665959869977,False,
P1,9,186182.405582153,1788007822.876411,1788007823.0082178,0.13180689900764264,False,
D0,10,186183.405582153,1788007823.8790772,1788007824.0112529,0.13217540600453503,False,
D1,10,186183.405582153,1788007823.8763847,1788007823.9396234,0.06323881199932657,False,
P0,10,186183.405582153,1788007823.8769145,1788007824.0192575,0.14234310199390166,False,
P1,10,186183.405582153,1788007823.8777997,1788007824.0153475,0.13754764301120304,False,
D0,11,186184.405582153,1788007824.8768804,1788007824.9827075,0.10582691599847749,False,
