Synthetic Trace Replay Summary
Trace CSV:                               /data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260829-133451-luqia-xpyd-phase4b-r3-stationary-gate-fix/results/255320/phase4b_stationary/xpyd_phase4b_r3_255320/raw/windows/b10-r03-feedback_routing_only-small_light/client/trace.csv
Requests total:                          4
Successful requests:                     4
Failed requests:                         0
Mean TTFT (ms):                          188.632
P99 TTFT (ms):                           194.639
Mean TPOT (ms):                          55.967
P99 TPOT (ms):                           56.007
Mean ITL (ms):                           55.963
P99 ITL (ms):                            56.002
Mean E2E latency (ms):                   3714.564
P99 E2E latency (ms):                    3719.832
Replay trace duration (s):               6.000
