endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,186424.461079156,1788008064.932091,1788008065.0795937,0.14750400302000344,False,
D1,0,186424.461079156,1788008064.9328256,1788008065.090393,0.15756810901802965,False,
P0,0,186424.461079156,1788008064.933411,1788008065.0974312,0.1640218870015815,False,
P1,0,186424.461079156,1788008064.93445,1788008065.0941088,0.15965955299907364,False,
D0,1,186425.461079156,1788008065.9342957,1788008066.0936928,0.15939712000545114,False,
D1,1,186425.461079156,1788008065.9319098,1788008066.10477,0.17285981500754133,False,
P0,1,186425.461079156,1788008065.932489,1788008066.0976965,0.16520726997987367,False,
P1,1,186425.461079156,1788008065.933456,1788008066.1014256,0.16796941799111664,False,
D0,2,186426.461079156,1788008066.9341578,1788008067.0780382,0.14388016000157222,False,
D1,2,186426.461079156,1788008066.9319031,1788008067.0746117,0.14270823501283303,False,
P0,2,186426.461079156,1788008066.9331088,1788008067.0710669,0.1379585419781506,False,
P1,2,186426.461079156,1788008066.932498,1788008067.008562,0.07606454999768175,False,
D0,3,186427.461079156,1788008067.9324982,1788008068.0896442,0.1571459390106611,False,
D1,3,186427.461079156,1788008067.9319084,1788008068.1013215,0.16941265101195313,False,
P0,3,186427.461079156,1788008067.9330938,1788008068.093803,0.16070914998999797,False,
P1,3,186427.461079156,1788008067.9336243,1788008068.0973923,0.16376814700197428,False,
D0,4,186428.461079156,1788008068.9337249,1788008069.0383265,0.10460136298206635,False,
D1,4,186428.461079156,1788008068.932792,1788008069.0031443,0.07035185999120586,False,
P0,4,186428.461079156,1788008068.9347167,1788008069.0417712,0.10705463099293411,False,
P1,4,186428.461079156,1788008068.9319131,1788008069.0345,0.10258667299058288,False,
D0,5,186429.461079156,1788008069.9318824,1788008070.0930305,0.16114830199512653,False,
D1,5,186429.461079156,1788008069.9330125,1788008070.0806475,0.14763507200405002,False,
P0,5,186429.461079156,1788008069.9324079,1788008070.0898645,0.1574563400063198,False,
P1,5,186429.461079156,1788008069.9338424,1788008070.0859249,0.15208191401325166,False,
D0,6,186430.461079156,1788008070.933999,1788008071.0761774,0.14217809899128042,False,
D1,6,186430.461079156,1788008070.932428,1788008071.0690234,0.13659583500702865,False,
P0,6,186430.461079156,1788008070.9345238,1788008071.0727596,0.13823590200627223,False,
P1,6,186430.461079156,1788008070.9318979,1788008071.058333,0.12643589498475194,False,
D0,7,186431.461079156,1788008071.93191,1788008072.0419228,0.11001254300936125,False,
D1,7,186431.461079156,1788008071.9331484,1788008071.9962845,0.06313656599377282,False,
P0,7,186431.461079156,1788008071.932516,1788008072.0458472,0.11333112602005713,False,
P1,7,186431.461079156,1788008071.9339466,1788008072.0369291,0.10298186101135798,False,
D0,8,186432.461079156,1788008072.933461,1788008073.0978994,0.16443836499820463,False,
D1,8,186432.461079156,1788008072.9319193,1788008073.0939436,0.16202285699546337,False,
P0,8,186432.461079156,1788008072.9343703,1788008073.085711,0.15134082600707188,False,
P1,8,186432.461079156,1788008072.932827,1788008073.090084,0.15725736401509494,False,
D0,9,186433.461079156,1788008073.9324813,1788008074.085311,0.15282977500464767,False,
D1,9,186433.461079156,1788008073.9336245,1788008074.0773869,0.14376293899840675,False,
P0,9,186433.461079156,1788008073.931906,1788008074.0731378,0.14123154201661237,False,
P1,9,186433.461079156,1788008073.933166,1788008074.0815144,0.14834804000565782,False,
D0,10,186434.461079156,1788008074.9324183,1788008075.0834343,0.1510155849973671,False,
D1,10,186434.461079156,1788008074.9330652,1788008075.0708408,0.13777580499299802,False,
P0,10,186434.461079156,1788008074.9319017,1788008075.0798573,0.1479553940007463,False,
