endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,187200.003544933,1788008840.4746208,1788008840.6023657,0.12774619800620712,False,
D1,0,187200.003544933,1788008840.475368,1788008840.6340752,0.15870811700006016,False,
P0,0,187200.003544933,1788008840.4759877,1788008840.6421502,0.16616338200401515,False,
P1,0,187200.003544933,1788008840.476696,1788008840.63823,0.1615353040106129,False,
D0,1,187201.003544933,1788008841.4750912,1788008841.6120043,0.13691450000624172,False,
D1,1,187201.003544933,1788008841.4767182,1788008841.6171203,0.14040276300511323,False,
P0,1,187201.003544933,1788008841.4773448,1788008841.6206524,0.1433086809993256,False,
P1,1,187201.003544933,1788008841.4747195,1788008841.624074,0.1493543059914373,False,
D0,2,187202.003544933,1788008842.476412,1788008842.619477,0.14306457701604813,False,
D1,2,187202.003544933,1788008842.4746466,1788008842.6262095,0.1515621479775291,False,
P0,2,187202.003544933,1788008842.478321,1788008842.623102,0.14478068999596871,False,
P1,2,187202.003544933,1788008842.4758558,1788008842.5512476,0.07539221100159921,False,
D0,3,187203.003544933,1788008843.4743767,1788008843.6133378,0.13896166800986975,False,
D1,3,187203.003544933,1788008843.4750044,1788008843.6285453,0.15354087098967284,False,
P0,3,187203.003544933,1788008843.4755614,1788008843.6324613,0.15689952700631693,False,
P1,3,187203.003544933,1788008843.4765072,1788008843.6361248,0.1596177439787425,False,
D0,4,187204.003544933,1788008844.4769454,1788008844.623418,0.14647226501256227,False,
D1,4,187204.003544933,1788008844.476049,1788008844.627018,0.15096914500463754,False,
P0,4,187204.003544933,1788008844.4750185,1788008844.6194332,0.1444150159950368,False,
P1,4,187204.003544933,1788008844.4743733,1788008844.6154907,0.14111745200352743,False,
D0,5,187205.003544933,1788008845.4749372,1788008845.6193125,0.14437555300537497,False,
D1,5,187205.003544933,1788008845.475972,1788008845.6153882,0.13941607798915356,False,
P0,5,187205.003544933,1788008845.4768488,1788008845.622912,0.14606302202446386,False,
P1,5,187205.003544933,1788008845.4743595,1788008845.6052346,0.13087531499331817,False,
D0,6,187206.003544933,1788008846.4762712,1788008846.6339865,0.15771539500565268,False,
D1,6,187206.003544933,1788008846.4756544,1788008846.6307218,0.155067104002228,False,
P0,6,187206.003544933,1788008846.4749432,1788008846.6271937,0.15225044000544585,False,
