endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,187711.794338705,1788009352.2654438,1788009352.417462,0.1520191539893858,False,
D1,0,187711.794338705,1788009352.2662437,1788009352.3981,0.131857469008537,False,
P0,0,187711.794338705,1788009352.2670949,1788009352.4136317,0.14653791801538318,False,
P1,0,187711.794338705,1788009352.2678075,1788009352.4208896,0.1530826810048893,False,
D0,1,187712.794338705,1788009353.2682922,1788009353.4088004,0.1405074409849476,False,
D1,1,187712.794338705,1788009353.2651806,1788009353.4149127,0.1497322870127391,False,
P0,1,187712.794338705,1788009353.266286,1788009353.3455255,0.07924074502079748,False,
P1,1,187712.794338705,1788009353.2657487,1788009353.4118783,0.14612974200281315,False,
D0,2,187713.794338705,1788009354.2676299,1788009354.3089733,0.041330503998324275,False,
D1,2,187713.794338705,1788009354.2653034,1788009354.4073484,0.1420381120115053,False,
P0,2,187713.794338705,1788009354.26938,1788009354.410785,0.14140457700705156,False,
P1,2,187713.794338705,1788009354.268616,1788009354.3821542,0.11353795899776742,False,
D0,3,187714.794338705,1788009355.2651684,1788009355.4034789,0.13831007698900066,False,
D1,3,187714.794338705,1788009355.265855,1788009355.3693378,0.10348304000217468,False,
P0,3,187714.794338705,1788009355.2668915,1788009355.4107385,0.14384701100061648,False,
P1,3,187714.794338705,1788009355.268374,1788009355.4069622,0.1385886619973462,False,
D0,4,187715.794338705,1788009356.2651386,1788009356.313419,0.048280322982463986,False,
D1,4,187715.794338705,1788009356.2657166,1788009356.399058,0.13334137099445798,False,
P0,4,187715.794338705,1788009356.2662745,1788009356.4023364,0.13606140701449476,False,
P1,4,187715.794338705,1788009356.267318,1788009356.4053905,0.1380725120252464,False,
D0,5,187716.794338705,1788009357.2670166,1788009357.419296,0.15227878800942563,False,
D1,5,187716.794338705,1788009357.2651505,1788009357.3233817,0.05823193400283344,False,
P0,5,187716.794338705,1788009357.265749,1788009357.422698,0.156949144002283,False,
P1,5,187716.794338705,1788009357.2662983,1788009357.415371,0.14907239502645098,False,
D0,6,187717.794338705,1788009358.2669706,1788009358.421352,0.15438139901380055,False,
D1,6,187717.794338705,1788009358.2662928,1788009358.4286556,0.16236253100214526,False,
P0,6,187717.794338705,1788009358.2651494,1788009358.4251947,0.1600459440087434,False,
P1,6,187717.794338705,1788009358.2657619,1788009358.416878,0.15111638300004415,False,
D0,7,187718.794338705,1788009359.266234,1788009359.4217865,0.1555524970171973,False,
D1,7,187718.794338705,1788009359.2651627,1788009359.417921,0.15275808700243942,False,
P0,7,187718.794338705,1788009359.2673838,1788009359.4279137,0.16052976198261604,False,
P1,7,187718.794338705,1788009359.268779,1788009359.4252388,0.15646013099467382,False,
D0,8,187719.794338705,1788009360.2682974,1788009360.4073296,0.13903241301886737,False,
D1,8,187719.794338705,1788009360.2674198,1788009360.410543,0.14312296800198965,False,
P0,8,187719.794338705,1788009360.26515,1788009360.388344,0.12319416800164618,False,
P1,8,187719.794338705,1788009360.266079,1788009360.4020274,0.13594816499971785,False,
D0,9,187720.794338705,1788009361.266685,1788009361.376012,0.1093282820074819,False,
D1,9,187720.794338705,1788009361.2677333,1788009361.4277241,0.15999035199638456,False,
P0,9,187720.794338705,1788009361.2651675,1788009361.4234805,0.158313146996079,False,
P1,9,187720.794338705,1788009361.265766,1788009361.403556,0.13779022000380792,False,
D0,10,187721.794338705,1788009362.265638,1788009362.405998,0.1403595700103324,False,
D1,10,187721.794338705,1788009362.2668154,1788009362.416163,0.14934790099505335,False,
P0,10,187721.794338705,1788009362.2651434,1788009362.4217727,0.1566297680255957,False,
P1,10,187721.794338705,1788009362.266202,1788009362.425652,0.1594501810031943,False,
D0,11,187722.794338705,1788009363.2656245,1788009363.356264,0.09063914397847839,False,
D1,11,187722.794338705,1788009363.2663083,1788009363.403047,0.1367388440121431,False,
P0,11,187722.794338705,1788009363.2680068,1788009363.4104044,0.14239726701634936,False,
P1,11,187722.794338705,1788009363.2651596,1788009363.4070377,0.14187790398136713,False,
D0,12,187723.794338705,1788009364.2656555,1788009364.3268619,0.06120568301412277,False,
D1,12,187723.794338705,1788009364.2673874,1788009364.3461242,0.07873680599732324,False,
P0,12,187723.794338705,1788009364.266312,1788009364.385349,0.11903663698467426,False,
P1,12,187723.794338705,1788009364.2651541,1788009364.3697598,0.10460557299666107,False,
D0,13,187724.794338705,1788009365.2651393,1788009365.3250082,0.059868698997888714,False,
D1,13,187724.794338705,1788009365.2672403,1788009365.3976028,0.13036184600787237,False,
P0,13,187724.794338705,1788009365.2657378,1788009365.3558702,0.09013217300525866,False,
P1,13,187724.794338705,1788009365.2666006,1788009365.3939297,0.12732879602117464,False,
D0,14,187725.794338705,1788009366.2656095,1788009366.3500175,0.08440772400354035,False,
D1,14,187725.794338705,1788009366.2662182,1788009366.409851,0.14363277098163962,False,
P0,14,187725.794338705,1788009366.267113,1788009366.4135273,0.14641395999933593,False,
P1,14,187725.794338705,1788009366.2651436,1788009366.4172232,0.1520795700198505,False,
D0,15,187726.794338705,1788009367.265691,1788009367.4217572,0.15606580799794756,False,
D1,15,187726.794338705,1788009367.26742,1788009367.418286,0.15086546499514952,False,
P0,15,187726.794338705,1788009367.265154,1788009367.4279938,0.16283983798348345,False,
P1,15,187726.794338705,1788009367.2662427,1788009367.4249482,0.1587052050163038,False,
D0,16,187727.794338705,1788009368.2651527,1788009368.3061209,0.04096780502004549,False,
D1,16,187727.794338705,1788009368.2676413,1788009368.3928947,0.12525332201039419,False,
P0,16,187727.794338705,1788009368.266725,1788009368.4009497,0.13422478002030402,False,
P1,16,187727.794338705,1788009368.2659771,1788009368.3972986,0.1313216510170605,False,
D0,17,187728.794338705,1788009369.2657151,1788009369.3126166,0.04690109199145809,False,
D1,17,187728.794338705,1788009369.266624,1788009369.397558,0.13093336299061775,False,
P0,17,187728.794338705,1788009369.2651594,1788009369.38533,0.1201706109859515,False,
P1,17,187728.794338705,1788009369.267792,1788009369.3934753,0.12568336800904945,False,
D0,18,187729.794338705,1788009370.2657282,1788009370.3120356,0.04630709200864658,False,
D1,18,187729.794338705,1788009370.266324,1788009370.3921072,0.12578324700007215,False,
P0,18,187729.794338705,1788009370.2673607,1788009370.395027,0.12766624099458568,False,
P1,18,187729.794338705,1788009370.2651546,1788009370.3438766,0.07872208600747399,False,
D0,19,187730.794338705,1788009371.2651484,1788009371.3066216,0.04147229201043956,False,
D1,19,187730.794338705,1788009371.265759,1788009371.3940768,0.12831745701259933,False,
P0,19,187730.794338705,1788009371.2664201,1788009371.4017715,0.13535070899524726,False,
P1,19,187730.794338705,1788009371.267783,1788009371.398508,0.1307248380035162,False,
D0,20,187731.794338705,1788009372.2651517,1788009372.3122284,0.04707677199621685,False,
D1,20,187731.794338705,1788009372.2671697,1788009372.392128,0.12495789298554882,False,
P0,20,187731.794338705,1788009372.2657452,1788009372.3963463,0.1306007670063991,False,
P1,20,187731.794338705,1788009372.2666063,1788009372.4001343,0.13352769799530506,False,
D0,21,187732.794338705,1788009373.2657046,1788009373.3354864,0.06978145299945027,False,
D1,21,187732.794338705,1788009373.2673354,1788009373.3926554,0.12531914800638333,False,
P0,21,187732.794338705,1788009373.2662888,1788009373.3879435,0.12165431800531223,False,
P1,21,187732.794338705,1788009373.265151,1788009373.360287,0.09513595802127384,False,
D0,22,187733.794338705,1788009374.2656262,1788009374.311496,0.04586913000093773,False,
D1,22,187733.794338705,1788009374.267626,1788009374.3971567,0.1295309709967114,False,
P0,22,187733.794338705,1788009374.2664807,1788009374.3938727,0.12739174600574188,False,
P1,22,187733.794338705,1788009374.2651417,1788009374.3893824,0.12424062899663113,False,
D0,23,187734.794338705,1788009375.265559,1788009375.3565767,0.0910172389994841,False,
D1,23,187734.794338705,1788009375.2661226,1788009375.3739274,0.10780451801838353,False,
P0,23,187734.794338705,1788009375.265137,1788009375.3997798,0.13464270799886435,False,
P1,23,187734.794338705,1788009375.2676027,1788009375.396397,0.12879412999609485,False,
D0,24,187735.794338705,1788009376.2651367,1788009376.3404775,0.07534066299558617,False,
D1,24,187735.794338705,1788009376.2661784,1788009376.41461,0.14843160100281239,False,
P0,24,187735.794338705,1788009376.265639,1788009376.3755527,0.10991345997899771,False,
P1,24,187735.794338705,1788009376.2677445,1788009376.411187,0.14344216001336463,False,
D0,25,187736.794338705,1788009377.265523,1788009377.4100218,0.14449918697937392,False,
D1,25,187736.794338705,1788009377.266037,1788009377.4137628,0.14772571399225853,False,
P0,25,187736.794338705,1788009377.2667475,1788009377.4164045,0.149656897992827,False,
P1,25,187736.794338705,1788009377.2651346,1788009377.4189072,0.1537725960079115,False,
D0,26,187737.794338705,1788009378.2651,1788009378.3237128,0.0586128740105778,False,
D1,26,187737.794338705,1788009378.267488,1788009378.4051356,0.13764738698955625,False,
P0,26,187737.794338705,1788009378.2666903,1788009378.4084835,0.1417934249911923,False,
P1,26,187737.794338705,1788009378.2655864,1788009378.3922012,0.12661495798965916,False,
D0,27,187738.794338705,1788009379.2650933,1788009379.397651,0.13255790999392048,False,
D1,27,187738.794338705,1788009379.2673738,1788009379.407702,0.14032814299571328,False,
P0,27,187738.794338705,1788009379.2655547,1788009379.4114578,0.14590274399961345,False,
P1,27,187738.794338705,1788009379.2664778,1788009379.4150262,0.1485481439740397,False,
D0,28,187739.794338705,1788009380.2651024,1788009380.410921,0.14581940800417215,False,
D1,28,187739.794338705,1788009380.266967,1788009380.415735,0.14876788601395674,False,
P0,28,187739.794338705,1788009380.2655587,1788009380.4190125,0.1534533000085503,False,
P1,28,187739.794338705,1788009380.2664297,1788009380.422188,0.15575821098173037,False,
D0,29,187740.794338705,1788009381.265094,1788009381.4058197,0.1407257069949992,False,
D1,29,187740.794338705,1788009381.2669473,1788009381.4191961,0.15224866499193013,False,
P0,29,187740.794338705,1788009381.2664857,1788009381.4112043,0.14471853800932877,False,
P1,29,187740.794338705,1788009381.2655532,1788009381.4154518,0.14989822200732306,False,
D0,30,187741.794338705,1788009382.26509,1788009382.3338795,0.06879010499687865,False,
D1,30,187741.794338705,1788009382.2666347,1788009382.3870978,0.12046361097600311,False,
P0,30,187741.794338705,1788009382.2671418,1788009382.3915792,0.12443717397400178,False,
P1,30,187741.794338705,1788009382.2657669,1788009382.39531,0.12954271299531683,False,
D0,31,187742.794338705,1788009383.2655559,1788009383.392365,0.12681007399805821,False,
D1,31,187742.794338705,1788009383.2668605,1788009383.4045653,0.1377049389993772,False,
P0,31,187742.794338705,1788009383.265133,1788009383.4081657,0.1430329110007733,False,
P1,31,187742.794338705,1788009383.2660363,1788009383.4111602,0.14512373000616208,False,
D0,32,187743.794338705,1788009384.2651057,1788009384.3473806,0.08227553201140836,False,
D1,32,187743.794338705,1788009384.2665188,1788009384.4071252,0.14060635399073362,False,
P0,32,187743.794338705,1788009384.2670112,1788009384.410886,0.14387493699905463,False,
P1,32,187743.794338705,1788009384.2656016,1788009384.4141312,0.14852949700434692,False,
D0,33,187744.794338705,1788009385.2650907,1788009385.3135176,0.04842683800961822,False,
D1,33,187744.794338705,1788009385.2673054,1788009385.4002032,0.13289770399569534,False,
P0,33,187744.794338705,1788009385.2655556,1788009385.3963807,0.13082452400703914,False,
P1,33,187744.794338705,1788009385.2664773,1788009385.368581,0.10210384099627845,False,
D0,34,187745.794338705,1788009386.2650964,1788009386.3856165,0.12052094002137892,False,
D1,34,187745.794338705,1788009386.266481,1788009386.4003127,0.13383163398248143,False,
P0,34,187745.794338705,1788009386.2655518,1788009386.4041057,0.13855349802179262,False,
P1,34,187745.794338705,1788009386.2672646,1788009386.4076884,0.14042379200691357,False,
D0,35,187746.794338705,1788009387.2651072,1788009387.3286963,0.06358981400262564,False,
D1,35,187746.794338705,1788009387.2664428,1788009387.4012465,0.13480355398496613,False,
P0,35,187746.794338705,1788009387.2669456,1788009387.4054706,0.1385251689935103,False,
P1,35,187746.794338705,1788009387.265566,1788009387.3625114,0.09694505302468315,False,
D0,36,187747.794338705,1788009388.2651277,1788009388.3314185,0.06629065901506692,False,
D1,36,187747.794338705,1788009388.2656426,1788009388.3857532,0.1201137519965414,False,
P0,36,187747.794338705,1788009388.2672687,1788009388.4122486,0.14497985198977403,False,
P1,36,187747.794338705,1788009388.2663913,1788009388.415762,0.14937053801259026,False,
D0,37,187748.794338705,1788009389.266506,1788009389.3225722,0.05606589501257986,False,
D1,37,187748.794338705,1788009389.2684982,1788009389.4127653,0.14426695898873731,False,
P0,37,187748.794338705,1788009389.2651474,1788009389.4207973,0.15564992898725905,False,
P1,37,187748.794338705,1788009389.2671604,1788009389.416879,0.14971831798902713,False,
D0,38,187749.794338705,1788009390.2651505,1788009390.3798678,0.11471688500023447,False,
D1,38,187749.794338705,1788009390.2669127,1788009390.4126916,0.1457787839754019,False,
P0,38,187749.794338705,1788009390.2674608,1788009390.4051616,0.1377004089881666,False,
P1,38,187749.794338705,1788009390.2657769,1788009390.4088812,0.1431037719885353,False,
D0,39,187750.794338705,1788009391.265149,1788009391.3303075,0.06515795300947502,False,
D1,39,187750.794338705,1788009391.2671719,1788009391.3996453,0.132473542005755,False,
P0,39,187750.794338705,1788009391.2657511,1788009391.4033303,0.13757844700012356,False,
P1,39,187750.794338705,1788009391.2666202,1788009391.4063034,0.13968280699918978,False,
D0,40,187751.794338705,1788009392.2651434,1788009392.4051068,0.13996301899896935,False,
D1,40,187751.794338705,1788009392.2669873,1788009392.4157376,0.14874999699532054,False,
P0,40,187751.794338705,1788009392.2657561,1788009392.4115806,0.14582408999558538,False,
P1,40,187751.794338705,1788009392.2663345,1788009392.419456,0.15312102102325298,False,
D0,41,187752.794338705,1788009393.2651377,1788009393.3361,0.07096194801852107,False,
D1,41,187752.794338705,1788009393.2671208,1788009393.391777,0.12465596999390982,False,
P0,41,187752.794338705,1788009393.2657468,1788009393.41096,0.145212087983964,False,
P1,41,187752.794338705,1788009393.266566,1788009393.4153047,0.14873803398222663,False,
D0,42,187753.794338705,1788009394.26558,1788009394.3282738,0.0626928219862748,False,
D1,42,187753.794338705,1788009394.2661927,1788009394.3468335,0.08064088501851074,False,
P0,42,187753.794338705,1788009394.2669811,1788009394.3716006,0.10461948602460325,False,
P1,42,187753.794338705,1788009394.2651458,1788009394.378336,0.11318922301870771,False,
D0,43,187754.794338705,1788009395.2656431,1788009395.386567,0.12092381701222621,False,
D1,43,187754.794338705,1788009395.2677855,1788009395.4069965,0.13921074400423095,False,
P0,43,187754.794338705,1788009395.2662868,1788009395.4100943,0.14380710199475288,False,
P1,43,187754.794338705,1788009395.2651443,1788009395.4032586,0.1381143129838165,False,
D0,44,187755.794338705,1788009396.2651386,1788009396.411557,0.14641798098455183,False,
D1,44,187755.794338705,1788009396.2672195,1788009396.420469,0.1532493720005732,False,
P0,44,187755.794338705,1788009396.2657561,1788009396.4166512,0.15089505797368474,False,
P1,44,187755.794338705,1788009396.2666936,1788009396.424226,0.1575319720141124,False,
D0,45,187756.794338705,1788009397.2651432,1788009397.3652155,0.10007231601048261,False,
D1,45,187756.794338705,1788009397.2676144,1788009397.401595,0.13398074699216522,False,
P0,45,187756.794338705,1788009397.2658136,1788009397.4184847,0.1526745400042273,False,
P1,45,187756.794338705,1788009397.2667837,1788009397.422935,0.15615085401805118,False,
D0,46,187757.794338705,1788009398.2666998,1788009398.4047637,0.13806316000409424,False,
D1,46,187757.794338705,1788009398.2684078,1788009398.4160154,0.14760681500774808,False,
P0,46,187757.794338705,1788009398.2689903,1788009398.410155,0.14116475998889655,False,
P1,46,187757.794338705,1788009398.2651548,1788009398.4132524,0.14809779898496345,False,
D0,47,187758.794338705,1788009399.2651505,1788009399.3393674,0.07421683499705978,False,
D1,47,187758.794338705,1788009399.2673118,1788009399.394129,0.1268168929964304,False,
P0,47,187758.794338705,1788009399.2663028,1788009399.3985317,0.13222767901606858,False,
P1,47,187758.794338705,1788009399.2657313,1788009399.3649864,0.09925485300482251,False,
D0,48,187759.794338705,1788009400.2656329,1788009400.3958533,0.13021992400172167,False,
D1,48,187759.794338705,1788009400.2671068,1788009400.4063234,0.13921676701284014,False,
P0,48,187759.794338705,1788009400.2651489,1788009400.40338,0.13823124000919051,False,
P1,48,187759.794338705,1788009400.266252,1788009400.4000778,0.13382588702370413,False,
D0,49,187760.794338705,1788009401.2651453,1788009401.3136914,0.04854587899171747,False,
D1,49,187760.794338705,1788009401.2671854,1788009401.3999393,0.1327535070013255,False,
P0,49,187760.794338705,1788009401.266611,1788009401.3848896,0.11827797399018891,False,
