Synthetic Trace Replay Summary
Trace CSV:                               /data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260829-133451-luqia-xpyd-phase4b-r3-stationary-gate-fix/results/255320/phase4b_stationary/xpyd_phase4b_r3_255320/raw/windows/b14-r02-static-both_heavy/client/trace.csv
Requests total:                          4
Successful requests:                     4
Failed requests:                         0
Mean TTFT (ms):                          218.833
P99 TTFT (ms):                           232.555
Mean TPOT (ms):                          56.401
P99 TPOT (ms):                           56.405
Mean ITL (ms):                           56.397
P99 ITL (ms):                            56.401
Mean E2E latency (ms):                   7381.697
P99 E2E latency (ms):                    7395.783
Replay trace duration (s):               3.000
