endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,188409.493431254,1788010049.964427,1788010050.0552607,0.0908350330137182,False,
D1,0,188409.493431254,1788010049.9650252,1788010050.0991936,0.13416950800456107,False,
P0,0,188409.493431254,1788010049.965851,1788010050.1026824,0.13683306402526796,False,
P1,0,188409.493431254,1788010049.9668746,1788010050.1054978,0.1386241719883401,False,
D0,1,188410.493431254,1788010050.9660718,1788010051.102031,0.13595911199809052,False,
D1,1,188410.493431254,1788010050.9669044,1788010051.1049275,0.138023137988057,False,
P0,1,188410.493431254,1788010050.9642634,1788010051.088217,0.12395407797885127,False,
P1,1,188410.493431254,1788010050.9649549,1788010051.0986588,0.13370368201867677,False,
D0,2,188411.493431254,1788010051.9667559,1788010052.1332421,0.1664860350138042,False,
D1,2,188411.493431254,1788010051.965288,1788010052.1259415,0.16065355102182366,False,
P0,2,188411.493431254,1788010051.9648006,1788010052.1216376,0.1568369479791727,False,
P1,2,188411.493431254,1788010051.9642482,1788010052.129506,0.16525801600073464,False,
D0,3,188412.493431254,1788010052.964918,1788010053.1228395,0.15792135999072343,False,
D1,3,188412.493431254,1788010052.966114,1788010053.130083,0.16396938901743852,False,
P0,3,188412.493431254,1788010052.9642522,1788010053.126518,0.16226579700014554,False,
P1,3,188412.493431254,1788010052.966641,1788010053.133488,0.16684692501439713,False,
D0,4,188413.493431254,1788010053.968728,1788010054.1192348,0.150506726000458,False,
D1,4,188413.493431254,1788010053.966117,1788010054.1129067,0.1467895200185012,False,
P0,4,188413.493431254,1788010053.9642513,1788010054.1093988,0.1451473080087453,False,
P1,4,188413.493431254,1788010053.9648163,1788010054.1163182,0.1515018720238004,False,
D0,5,188414.493431254,1788010054.9663548,1788010055.1350403,0.16868571998202242,False,
D1,5,188414.493431254,1788010054.965188,1788010055.1324117,0.16722373399534263,False,
P0,5,188414.493431254,1788010054.9642491,1788010055.1294715,0.16522218598402105,False,
P1,5,188414.493431254,1788010054.9670506,1788010055.1259553,0.15890455598128028,False,
D0,6,188415.493431254,1788010055.9656904,1788010056.110563,0.14487223597825505,False,
D1,6,188415.493431254,1788010055.96674,1788010056.1064873,0.1397472920070868,False,
P0,6,188415.493431254,1788010055.9642506,1788010056.1021552,0.137905101000797,False,
P1,6,188415.493431254,1788010055.9647954,1788010056.0811033,0.11630829100613482,False,
D0,7,188416.493431254,1788010056.964921,1788010057.0569005,0.09197886599577032,False,
D1,7,188416.493431254,1788010056.9642637,1788010057.0992727,0.1350085849990137,False,
P0,7,188416.493431254,1788010056.9654827,1788010057.09483,0.12934745001257397,False,
P1,7,188416.493431254,1788010056.9660614,1788010057.102577,0.13651507400209084,False,
D0,8,188417.493431254,1788010057.9663231,1788010058.1154027,0.14907888902234845,False,
D1,8,188417.493431254,1788010057.9671752,1788010058.1083088,0.14113348300452344,False,
P0,8,188417.493431254,1788010057.965317,1788010058.112845,0.14752795998356305,False,
P1,8,188417.493431254,1788010057.964255,1788010058.0926006,0.12834557198220864,False,
D0,9,188418.493431254,1788010058.9642572,1788010059.1293771,0.1651187459938228,False,
D1,9,188418.493431254,1788010058.9654636,1788010059.1259272,0.16046313202241436,False,
P0,9,188418.493431254,1788010058.9649012,1788010059.1174169,0.1525158259901218,False,
P1,9,188418.493431254,1788010058.9671438,1788010059.1220808,0.15493675399920903,False,
D0,10,188419.493431254,1788010059.9647813,1788010060.114799,0.1500174370012246,False,
D1,10,188419.493431254,1788010059.9656096,1788010060.097062,0.1314531310054008,False,
P0,10,188419.493431254,1788010059.9669075,1788010060.1114454,0.1445377059862949,False,
P1,10,188419.493431254,1788010059.9642503,1788010060.1185877,0.15433725199545734,False,
D0,11,188420.493431254,1788010060.9647355,1788010061.0862412,0.12150609798845835,False,
D1,11,188420.493431254,1788010060.964237,1788010061.1186004,0.1543633219844196,False,
P0,11,188420.493431254,1788010060.965226,1788010061.11505,0.14982383500318974,False,
