endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,189077.415210054,1788010717.886149,1788010718.0410652,0.15491781500168145,False,
D1,0,189077.415210054,1788010717.8867567,1788010718.0448887,0.15813293599057943,False,
P0,0,189077.415210054,1788010717.8875525,1788010718.0482373,0.1606858980085235,False,
P1,0,189077.415210054,1788010717.8885403,1788010718.051275,0.16273551000631414,False,
D0,1,189078.415210054,1788010718.8873615,1788010719.0476232,0.1602617129974533,False,
D1,1,189078.415210054,1788010718.8859823,1788010718.9837024,0.09772129700286314,False,
P0,1,189078.415210054,1788010718.8879535,1788010719.0441065,0.1561529650061857,False,
P1,1,189078.415210054,1788010718.8863728,1788010719.0403092,0.15393622001283802,False,
D0,2,189079.415210054,1788010719.886662,1788010720.0469847,0.1602857270045206,False,
D1,2,189079.415210054,1788010719.8879168,1788010720.0406513,0.1527344270143658,False,
P0,2,189079.415210054,1788010719.8860412,1788010720.013347,0.1273057670041453,False,
P1,2,189079.415210054,1788010719.8872442,1788010720.044185,0.15694009998696856,False,
D0,3,189080.415210054,1788010720.887142,1788010721.034289,0.14714681301848032,False,
D1,3,189080.415210054,1788010720.886026,1788010721.0304012,0.14437531799194403,False,
P0,3,189080.415210054,1788010720.886559,1788010721.0203567,0.13379806498414837,False,
P1,3,189080.415210054,1788010720.8888035,1788010721.0379996,0.1491959379927721,False,
D0,4,189081.415210054,1788010721.886036,1788010722.036101,0.1500653339899145,False,
D1,4,189081.415210054,1788010721.8872213,1788010722.0225766,0.13535579899325967,False,
P0,4,189081.415210054,1788010721.8887956,1788010722.0322948,0.14349906900315545,False,
P1,4,189081.415210054,1788010721.8866334,1788010722.002659,0.11602591199334711,False,
D0,5,189082.415210054,1788010722.8865442,1788010723.0323288,0.1457850240112748,False,
D1,5,189082.415210054,1788010722.8879204,1788010722.9582057,0.07028549301321618,False,
P0,5,189082.415210054,1788010722.8860722,1788010723.0288904,0.14281886798562482,False,
P1,5,189082.415210054,1788010722.8871434,1788010723.0248504,0.13770703299087472,False,
D0,6,189083.415210054,1788010723.8878212,1788010723.969118,0.08129720599390566,False,
D1,6,189083.415210054,1788010723.8865857,1788010724.019385,0.13279911899007857,False,
P0,6,189083.415210054,1788010723.8860524,1788010723.9920354,0.10598337100236677,False,
P1,6,189083.415210054,1788010723.8884015,1788010724.022793,0.13439121897681616,False,
D0,7,189084.415210054,1788010724.8872507,1788010725.0345757,0.14732477502548136,False,
D1,7,189084.415210054,1788010724.8860326,1788010725.037852,0.1518197400146164,False,
P0,7,189084.415210054,1788010724.8866365,1788010725.0308151,0.14417828098521568,False,
P1,7,189084.415210054,1788010724.8878844,1788010725.04059,0.15270548601984046,False,
D0,8,189085.415210054,1788010725.88604,1788010726.0536487,0.16760821899515577,False,
D1,8,189085.415210054,1788010725.8866544,1788010726.0414293,0.15477485899464227,False,
P0,8,189085.415210054,1788010725.8883398,1788010726.049984,0.16164421301800758,False,
P1,8,189085.415210054,1788010725.8891902,1788010726.045836,0.15664592300890945,False,
D0,9,189086.415210054,1788010726.8865902,1788010727.0509164,0.16432539699599147,False,
D1,9,189086.415210054,1788010726.8883002,1788010727.0543516,0.16605107401846908,False,
P0,9,189086.415210054,1788010726.8871922,1788010727.0430698,0.15587755598244257,False,
P1,9,189086.415210054,1788010726.8860373,1788010727.0471518,0.16111425799317658,False,
D0,10,189087.415210054,1788010727.8860338,1788010728.0412712,0.1552385060058441,False,
D1,10,189087.415210054,1788010727.8880513,1788010728.053785,0.1657339730008971,False,
P0,10,189087.415210054,1788010727.8875062,1788010728.0489428,0.16143616300541908,False,
P1,10,189087.415210054,1788010727.8865714,1788010728.0453546,0.15878285400685854,False,
D0,11,189088.415210054,1788010728.887173,1788010729.049293,0.1621201270027086,False,
D1,11,189088.415210054,1788010728.886552,1788010729.0363867,0.14983527900767513,False,
P0,11,189088.415210054,1788010728.8860257,1788010729.0570402,0.17101412298507057,False,
P1,11,189088.415210054,1788010728.887827,1788010729.053645,0.16581774098449387,False,
D0,12,189089.415210054,1788010729.8860283,1788010730.030913,0.14488437000545673,False,
D1,12,189089.415210054,1788010729.8879504,1788010730.0378397,0.1498890699876938,False,
P0,12,189089.415210054,1788010729.887062,1788010730.034659,0.14759610299370252,False,
P1,12,189089.415210054,1788010729.8865607,1788010730.014463,0.12790191799285822,False,
