endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,184262.146163345,1788005902.6171827,1788005902.7749054,0.15772369000478648,False,
D1,0,184262.146163345,1788005902.6177647,1788005902.762381,0.14461789900087751,False,
P0,0,184262.146163345,1788005902.6184878,1788005902.7680871,0.14960022902232595,False,
P1,0,184262.146163345,1788005902.6193624,1788005902.7716932,0.1523320259875618,False,
D0,1,184263.146163345,1788005903.6176493,1788005903.778604,0.1609540149802342,False,
D1,1,184263.146163345,1788005903.6192532,1788005903.7815003,0.16224680398590863,False,
P0,1,184263.146163345,1788005903.6182234,1788005903.7749774,0.15675427901442163,False,
P1,1,184263.146163345,1788005903.6170325,1788005903.7841842,0.16715173999546096,False,
D0,2,184264.146163345,1788005904.6194546,1788005904.7837503,0.16429544298443943,False,
D1,2,184264.146163345,1788005904.6182454,1788005904.7759383,0.1576927210262511,False,
P0,2,184264.146163345,1788005904.6170104,1788005904.7800877,0.1630774340010248,False,
P1,2,184264.146163345,1788005904.617612,1788005904.7713037,0.15369165199808776,False,
D0,3,184265.146163345,1788005905.6187322,1788005905.7760274,0.15729510199162178,False,
D1,3,184265.146163345,1788005905.6181924,1788005905.7875788,0.1693867840222083,False,
P0,3,184265.146163345,1788005905.6175835,1788005905.784282,0.16669787402497604,False,
P1,3,184265.146163345,1788005905.6169884,1788005905.7807946,0.16380608000326902,False,
D0,4,184266.146163345,1788005906.6190345,1788005906.7695165,0.15048192700487562,False,
D1,4,184266.146163345,1788005906.6175487,1788005906.7766993,0.15914996899664402,False,
P0,4,184266.146163345,1788005906.6181417,1788005906.7736273,0.15548578900052235,False,
P1,4,184266.146163345,1788005906.6169815,1788005906.737635,0.12065359702683054,False,
D0,5,184267.146163345,1788005907.6174037,1788005907.7429595,0.12555540102766827,False,
D1,5,184267.146163345,1788005907.6169605,1788005907.679523,0.06256253700121306,False,
P0,5,184267.146163345,1788005907.6184194,1788005907.7461839,0.1277643580106087,False,
P1,5,184267.146163345,1788005907.619267,1788005907.7393045,0.12003741398802958,False,
D0,6,184268.146163345,1788005908.619556,1788005908.7507675,0.1312113929889165,False,
D1,6,184268.146163345,1788005908.616983,1788005908.6966205,0.07963799999561161,False,
P0,6,184268.146163345,1788005908.6175265,1788005908.7551486,0.13762145998771302,False,
P1,6,184268.146163345,1788005908.6187153,1788005908.7395415,0.12082637500134297,False,
D0,7,184269.146163345,1788005909.6176229,1788005909.7887423,0.1711192959919572,False,
