Synthetic Trace Replay Summary
Trace CSV:                               /data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260829-133451-luqia-xpyd-phase4b-r3-stationary-gate-fix/results/255320/phase4b_stationary/xpyd_phase4b_r3_255320/raw/windows/warm-07-full_feedback-prefill_heavy/client/trace.csv
Requests total:                          4
Successful requests:                     4
Failed requests:                         0
Mean TTFT (ms):                          472.508
P99 TTFT (ms):                           474.061
Mean TPOT (ms):                          58.077
P99 TPOT (ms):                           58.087
Mean ITL (ms):                           58.071
P99 ITL (ms):                            58.083
Mean E2E latency (ms):                   4131.352
P99 E2E latency (ms):                    4133.191
Replay trace duration (s):               6.000
