endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,185846.5533165,1788007487.024315,1788007487.1587415,0.1344272880232893,False,
D1,0,185846.5533165,1788007487.0251145,1788007487.1624138,0.1373000270104967,False,
P0,0,185846.5533165,1788007487.0260372,1788007487.1654906,0.1394540920155123,False,
P1,0,185846.5533165,1788007487.0274737,1788007487.1311026,0.10363039298681542,False,
D0,1,185847.5533165,1788007488.0259416,1788007488.1632957,0.13735396199626848,False,
D1,1,185847.5533165,1788007488.0241487,1788007488.1698263,0.1456774979887996,False,
P0,1,185847.5533165,1788007488.0267043,1788007488.166326,0.13962163700489327,False,
P1,1,185847.5533165,1788007488.0251417,1788007488.1492116,0.12407048200839199,False,
D0,2,185848.5533165,1788007489.0264707,1788007489.147875,0.12140426802216098,False,
D1,2,185848.5533165,1788007489.0241382,1788007489.154836,0.1306975390180014,False,
P0,2,185848.5533165,1788007489.0250545,1788007489.1574786,0.13242432798142545,False,
P1,2,185848.5533165,1788007489.0255985,1788007489.1517632,0.1261641849996522,False,
D0,3,185849.5533165,1788007490.0253274,1788007490.1643221,0.13899433900951408,False,
D1,3,185849.5533165,1788007490.024722,1788007490.1713834,0.14666147797834128,False,
P0,3,185849.5533165,1788007490.0241358,1788007490.167766,0.14363047300139442,False,
P1,3,185849.5533165,1788007490.0261598,1788007490.1606982,0.13453794800443575,False,
D0,4,185850.5533165,1788007491.0265625,1788007491.1409883,0.11442603298928589,False,
D1,4,185850.5533165,1788007491.025162,1788007491.1444888,0.11932671300019138,False,
P0,4,185850.5533165,1788007491.024141,1788007491.1479952,0.12385381798958406,False,
P1,4,185850.5533165,1788007491.0260544,1788007491.1376476,0.11159339500591159,False,
D0,5,185851.5533165,1788007492.0252874,1788007492.1163738,0.0910868390055839,False,
D1,5,185851.5533165,1788007492.0241578,1788007492.1358018,0.11164443398592994,False,
P0,5,185851.5533165,1788007492.0247445,1788007492.1393423,0.11459786799969152,False,
P1,5,185851.5533165,1788007492.026105,1788007492.132351,0.10624570300569758,False,
D0,6,185852.5533165,1788007493.024957,1788007493.1726437,0.14768619200913236,False,
D1,6,185852.5533165,1788007493.0258992,1788007493.0942469,0.06834763698861934,False,
P0,6,185852.5533165,1788007493.027579,1788007493.1750536,0.1474739779951051,False,
P1,6,185852.5533165,1788007493.0241342,1788007493.1658337,0.14170007599750534,False,
D0,7,185853.5533165,1788007494.0260463,1788007494.1824303,0.15638386100181378,False,
D1,7,185853.5533165,1788007494.0247655,1788007494.1315215,0.10675641198758967,False,
P0,7,185853.5533165,1788007494.0241568,1788007494.185742,0.16158440400613472,False,
P1,7,185853.5533165,1788007494.026942,1788007494.1887617,0.16182009602198377,False,
D0,8,185854.5533165,1788007495.0241408,1788007495.172775,0.14863348900689743,False,
D1,8,185854.5533165,1788007495.026031,1788007495.1763432,0.15031218901276588,False,
P0,8,185854.5533165,1788007495.024745,1788007495.1805463,0.15580120900995098,False,
P1,8,185854.5533165,1788007495.0267048,1788007495.1840162,0.1573113070044201,False,
D0,9,185855.5533165,1788007496.02412,1788007496.1585195,0.13439852101146244,False,
D1,9,185855.5533165,1788007496.0246227,1788007496.146948,0.12232528498861939,False,
P0,9,185855.5533165,1788007496.0251286,1788007496.152036,0.1269072139984928,False,
P1,9,185855.5533165,1788007496.026137,1788007496.15534,0.12920287501765415,False,
D0,10,185856.5533165,1788007497.0251296,1788007497.1566136,0.1314833960204851,False,
D1,10,185856.5533165,1788007497.024578,1788007497.1457295,0.121151325001847,False,
P0,10,185856.5533165,1788007497.0241141,1788007497.1603937,0.13627967299544252,False,
P1,10,185856.5533165,1788007497.0255535,1788007497.1525154,0.12696188400150277,False,
D0,11,185857.5533165,1788007498.0256312,1788007498.1607127,0.13508143299259245,False,
D1,11,185857.5533165,1788007498.024571,1788007498.1571229,0.13255163401481695,False,
P0,11,185857.5533165,1788007498.0241122,1788007498.1415753,0.11746355300419964,False,
P1,11,185857.5533165,1788007498.02519,1788007498.1637337,0.13854347300366499,False,
D0,12,185858.5533165,1788007499.0258865,1788007499.148985,0.12309808199643157,False,
D1,12,185858.5533165,1788007499.0245807,1788007499.152622,0.12804099000641145,False,
P0,12,185858.5533165,1788007499.0241158,1788007499.1353538,0.11123861698433757,False,
P1,12,185858.5533165,1788007499.0251572,1788007499.1450403,0.11988352300249971,False,
D0,13,185859.5533165,1788007500.0251753,1788007500.1424944,0.11731954599963501,False,
D1,13,185859.5533165,1788007500.0241218,1788007500.1485767,0.12445514902356081,False,
P0,13,185859.5533165,1788007500.0246105,1788007500.151592,0.12698097500833683,False,
P1,13,185859.5533165,1788007500.0261164,1788007500.1456494,0.11953244000324048,False,
D0,14,185860.5533165,1788007501.0245826,1788007501.097286,0.07270276302006096,False,
D1,14,185860.5533165,1788007501.0256608,1788007501.1279433,0.10226634200080298,False,
P0,14,185860.5533165,1788007501.0241103,1788007501.1313138,0.1072035679826513,False,
P1,14,185860.5533165,1788007501.0250325,1788007501.1237576,0.09872503799851984,False,
D0,15,185861.5533165,1788007502.0245109,1788007502.1552613,0.13075010298052803,False,
D1,15,185861.5533165,1788007502.026098,1788007502.1479554,0.12185770602081902,False,
P0,15,185861.5533165,1788007502.0241122,1788007502.1530979,0.12898593698628247,False,
P1,15,185861.5533165,1788007502.0249965,1788007502.150738,0.12574133998714387,False,
D0,16,185862.5533165,1788007503.0251439,1788007503.0970502,0.07190634100697935,False,
D1,16,185862.5533165,1788007503.0245843,1788007503.1538656,0.12928118198760785,False,
P0,16,185862.5533165,1788007503.0241165,1788007503.157135,0.13301871402654797,False,
P1,16,185862.5533165,1788007503.025933,1788007503.1464849,0.12055116600822657,False,
D0,17,185863.5533165,1788007504.0255399,1788007504.12739,0.10184995000599883,False,
D1,17,185863.5533165,1788007504.0245807,1788007504.134502,0.10992119301226921,False,
P0,17,185863.5533165,1788007504.0241172,1788007504.1310086,0.10689111999818124,False,
P1,17,185863.5533165,1788007504.0251398,1788007504.122811,0.0976714659773279,False,
D0,18,185864.5533165,1788007505.0255923,1788007505.183958,0.15836590502294712,False,
D1,18,185864.5533165,1788007505.0245788,1788007505.1801045,0.155525286012562,False,
P0,18,185864.5533165,1788007505.0241122,1788007505.1366818,0.11256953602423891,False,
P1,18,185864.5533165,1788007505.0251904,1788007505.1756325,0.1504411569912918,False,
D0,19,185865.5533165,1788007506.0250359,1788007506.0943785,0.06934306200128049,False,
D1,19,185865.5533165,1788007506.0260293,1788007506.1425073,0.11647773699951358,False,
P0,19,185865.5533165,1788007506.0241122,1788007506.1389706,0.11485836101928726,False,
P1,19,185865.5533165,1788007506.0245843,1788007506.1343608,0.10977635599556379,False,
D0,20,185866.5533165,1788007507.0251307,1788007507.1580749,0.13294415498967282,False,
D1,20,185866.5533165,1788007507.0245745,1788007507.1642957,0.13972122501581907,False,
P0,20,185866.5533165,1788007507.0241115,1788007507.1404068,0.11629534600069746,False,
P1,20,185866.5533165,1788007507.0255334,1788007507.160911,0.13537728699157014,False,
