endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,186241.792898267,1788007882.2640855,1788007882.4196165,0.15553179502603598,False,
D1,0,186241.792898267,1788007882.264814,1788007882.4161332,0.15132026499486528,False,
P0,0,186241.792898267,1788007882.2658148,1788007882.3925576,0.12674405801226385,False,
P1,0,186241.792898267,1788007882.2665234,1788007882.422939,0.15641674201469868,False,
D0,1,186242.792898267,1788007883.2649152,1788007883.4130087,0.14809325002715923,False,
D1,1,186242.792898267,1788007883.2637672,1788007883.3978608,0.1340939470101148,False,
P0,1,186242.792898267,1788007883.265858,1788007883.4166462,0.15078812901629135,False,
P1,1,186242.792898267,1788007883.2643127,1788007883.4089553,0.1446424659807235,False,
D0,2,186243.792898267,1788007884.2660441,1788007884.4283743,0.1623297710029874,False,
D1,2,186243.792898267,1788007884.2649946,1788007884.4323037,0.16730859197559766,False,
P0,2,186243.792898267,1788007884.2637491,1788007884.419211,0.15546228000312112,False,
P1,2,186243.792898267,1788007884.2643614,1788007884.4240766,0.15971466398332268,False,
D0,3,186244.792898267,1788007885.2660303,1788007885.4121008,0.14607019801042043,False,
D1,3,186244.792898267,1788007885.264261,1788007885.4202232,0.15596231099334545,False,
P0,3,186244.792898267,1788007885.2637248,1788007885.4162092,0.1524843700171914,False,
P1,3,186244.792898267,1788007885.2648454,1788007885.3959746,0.13112976800766774,False,
D0,4,186245.792898267,1788007886.2649362,1788007886.4033318,0.13839569900301285,False,
D1,4,186245.792898267,1788007886.264332,1788007886.406511,0.14217906599515118,False,
P0,4,186245.792898267,1788007886.263739,1788007886.3958085,0.1320696320035495,False,
P1,4,186245.792898267,1788007886.2655895,1788007886.3997982,0.13420879398472607,False,
D0,5,186246.792898267,1788007887.2642655,1788007887.4176872,0.1534218669985421,False,
D1,5,186246.792898267,1788007887.2654912,1788007887.4240327,0.1585414980072528,False,
P0,5,186246.792898267,1788007887.263731,1788007887.4210238,0.15729321300750598,False,
P1,5,186246.792898267,1788007887.266303,1788007887.4269652,0.16066239299834706,False,
D0,6,186247.792898267,1788007888.2637248,1788007888.4120812,0.14835623200633563,False,
D1,6,186247.792898267,1788007888.2652247,1788007888.4211285,0.15590363999945112,False,
P0,6,186247.792898267,1788007888.2642946,1788007888.399403,0.13510822301032022,False,
P1,6,186247.792898267,1788007888.266204,1788007888.4165678,0.150363747990923,False,
D0,7,186248.792898267,1788007889.2660584,1788007889.433399,0.16734037001151592,False,
D1,7,186248.792898267,1788007889.2649662,1788007889.4139192,0.14895329999853857,False,
P0,7,186248.792898267,1788007889.2643428,1788007889.4254198,0.16107653800281696,False,
P1,7,186248.792898267,1788007889.2637377,1788007889.4294012,0.16566307298489846,False,
D0,8,186249.792898267,1788007890.2646475,1788007890.423463,0.15881606697803363,False,
D1,8,186249.792898267,1788007890.2655988,1788007890.43104,0.16544129099929705,False,
P0,8,186249.792898267,1788007890.2666888,1788007890.427534,0.1608454550150782,False,
