endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,186601.257940204,1788008241.7290452,1788008241.8943882,0.16534401502576657,False,
D1,0,186601.257940204,1788008241.7297764,1788008241.8973942,0.16761849401518703,False,
P0,0,186601.257940204,1788008241.73074,1788008241.8869672,0.15622817201074213,False,
P1,0,186601.257940204,1788008241.7314513,1788008241.8911514,0.1597003580245655,False,
D0,1,186602.257940204,1788008242.7307205,1788008242.8921034,0.16138226797920652,False,
D1,1,186602.257940204,1788008242.7300127,1788008242.8895524,0.15953925502253696,False,
P0,1,186602.257940204,1788008242.7287889,1788008242.8871129,0.15832348700496368,False,
P1,1,186602.257940204,1788008242.7294168,1788008242.8841076,0.15468980401055887,False,
D0,2,186603.257940204,1788008243.7287405,1788008243.8837633,0.15502310800366104,False,
D1,2,186603.257940204,1788008243.7292402,1788008243.895423,0.16618309600744396,False,
P0,2,186603.257940204,1788008243.7301266,1788008243.887857,0.15773065699613653,False,
P1,2,186603.257940204,1788008243.7313771,1788008243.8913696,0.15999257398652844,False,
D0,3,186604.257940204,1788008244.730775,1788008244.867882,0.13710703398101032,False,
D1,3,186604.257940204,1788008244.7287633,1788008244.880362,0.15159888000926003,False,
P0,3,186604.257940204,1788008244.7298768,1788008244.8884165,0.15853976900689304,False,
P1,3,186604.257940204,1788008244.7293146,1788008244.8844755,0.15516076699714176,False,
D0,4,186605.257940204,1788008245.729946,1788008245.8903277,0.16038142101024278,False,
D1,4,186605.257940204,1788008245.7305646,1788008245.884453,0.15388844898552634,False,
P0,4,186605.257940204,1788008245.7287629,1788008245.8805754,0.1518124499998521,False,
P1,4,186605.257940204,1788008245.7293665,1788008245.8877635,0.1583968460035976,False,
D0,5,186606.257940204,1788008246.7292597,1788008246.8859923,0.15673201897880062,False,
D1,5,186606.257940204,1788008246.7287304,1788008246.8387074,0.10997709099319763,False,
P0,5,186606.257940204,1788008246.7302547,1788008246.891028,0.16077339599723928,False,
P1,5,186606.257940204,1788008246.7298229,1788008246.8948822,0.16505922298529185,False,
D0,6,186607.257940204,1788008247.7306237,1788008247.8797412,0.14911749999737367,False,
D1,6,186607.257940204,1788008247.729222,1788008247.8720815,0.14285910499165766,False,
P0,6,186607.257940204,1788008247.7287443,1788008247.8685682,0.13982409200980328,False,
P1,6,186607.257940204,1788008247.7297342,1788008247.87629,0.14655555799254216,False,
D0,7,186608.257940204,1788008248.728735,1788008248.8642428,0.13550692700664513,False,
D1,7,186608.257940204,1788008248.7307434,1788008248.860876,0.13013245500042103,False,
P0,7,186608.257940204,1788008248.729205,1788008248.8068268,0.07762200100114569,False,
P1,7,186608.257940204,1788008248.7297506,1788008248.8467252,0.11697416502283886,False,
D0,8,186609.257940204,1788008249.7287292,1788008249.8539832,0.12525419300072826,False,
D1,8,186609.257940204,1788008249.7307563,1788008249.8641202,0.13336368001182564,False,
P0,8,186609.257940204,1788008249.7291908,1788008249.871326,0.1421348330040928,False,
P1,8,186609.257940204,1788008249.7297466,1788008249.867936,0.13818925101077184,False,
D0,9,186610.257940204,1788008250.7291977,1788008250.884467,0.15526920097181574,False,
D1,9,186610.257940204,1788008250.7287357,1788008250.8912437,0.16250782701536082,False,
P0,9,186610.257940204,1788008250.7296581,1788008250.8880594,0.15840124699752778,False,
P1,9,186610.257940204,1788008250.7302341,1788008250.8787985,0.14856440099538304,False,
D0,10,186611.257940204,1788008251.7301166,1788008251.887848,0.1577310090069659,False,
D1,10,186611.257940204,1788008251.7292182,1788008251.8792458,0.15002747700782493,False,
P0,10,186611.257940204,1788008251.7287416,1788008251.8825023,0.15376087900949642,False,
P1,10,186611.257940204,1788008251.7305756,1788008251.8853364,0.15476064398535527,False,
D0,11,186612.257940204,1788008252.7308245,1788008252.8938751,0.16305042197927833,False,
D1,11,186612.257940204,1788008252.7292142,1788008252.8851821,0.1559673450246919,False,
P0,11,186612.257940204,1788008252.7302434,1788008252.8910768,0.16083336801966652,False,
P1,11,186612.257940204,1788008252.7287364,1788008252.8884234,0.1596866160107311,False,
D0,12,186613.257940204,1788008253.7311196,1788008253.8556802,0.12456062500132248,False,
D1,12,186613.257940204,1788008253.7292373,1788008253.8759067,0.14666930999374017,False,
P0,12,186613.257940204,1788008253.7287345,1788008253.8719356,0.1432011379802134,False,
