endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,186996.227820848,1788008636.6988504,1788008636.8409634,0.14211449099821039,False,
D1,0,186996.227820848,1788008636.6995747,1788008636.8488019,0.14922775700688362,False,
P0,0,186996.227820848,1788008636.70056,1788008636.8519604,0.1514010629907716,False,
P1,0,186996.227820848,1788008636.701326,1788008636.8452368,0.14391177700599656,False,
D0,1,186997.227820848,1788008637.6992798,1788008637.8393424,0.14006250601960346,False,
D1,1,186997.227820848,1788008637.698653,1788008637.8521464,0.15349327700096183,False,
P0,1,186997.227820848,1788008637.7004097,1788008637.8487167,0.14830713800620288,False,
P1,1,186997.227820848,1788008637.6998713,1788008637.8447196,0.14484841402736492,False,
D0,2,186998.227820848,1788008638.7006993,1788008638.7930832,0.0923845240031369,False,
D1,2,186998.227820848,1788008638.698636,1788008638.8571463,0.15851038598339073,False,
P0,2,186998.227820848,1788008638.6992817,1788008638.8533125,0.15403069902095012,False,
P1,2,186998.227820848,1788008638.699806,1788008638.8603015,0.16049552799086086,False,
D0,3,186999.227820848,1788008639.7000306,1788008639.836179,0.1361488879774697,False,
D1,3,186999.227820848,1788008639.7008743,1788008639.840006,0.13913182402029634,False,
P0,3,186999.227820848,1788008639.6992912,1788008639.8442073,0.14491612499114126,False,
P1,3,186999.227820848,1788008639.6986537,1788008639.819871,0.1212168789934367,False,
D0,4,187000.227820848,1788008640.6992135,1788008640.7617495,0.06253495201235637,False,
D1,4,187000.227820848,1788008640.701984,1788008640.8465388,0.1445544119924307,False,
P0,4,187000.227820848,1788008640.6986444,1788008640.8504665,0.15182192501379177,False,
P1,4,187000.227820848,1788008640.6997674,1788008640.8538241,0.15405662599368952,False,
D0,5,187001.227820848,1788008641.6986187,1788008641.7545404,0.05592172098113224,False,
D1,5,187001.227820848,1788008641.6991568,1788008641.8549244,0.1557680660043843,False,
P0,5,187001.227820848,1788008641.7007055,1788008641.8510768,0.15037132799625397,False,
P1,5,187001.227820848,1788008641.700111,1788008641.846515,0.14640412299195305,False,
D0,6,187002.227820848,1788008642.698611,1788008642.8130088,0.11439899099059403,False,
D1,6,187002.227820848,1788008642.6991036,1788008642.8299665,0.13086304199532606,False,
P0,6,187002.227820848,1788008642.7000945,1788008642.8342187,0.13412436700309627,False,
P1,6,187002.227820848,1788008642.7011049,1788008642.838189,0.13708365897764452,False,
D0,7,187003.227820848,1788008643.699291,1788008643.751446,0.05215385797782801,False,
D1,7,187003.227820848,1788008643.6998756,1788008643.8161614,0.11628469900460914,False,
P0,7,187003.227820848,1788008643.698702,1788008643.7857623,0.0870605300005991,False,
P1,7,187003.227820848,1788008643.7004776,1788008643.8123794,0.11190181600977667,False,
D0,8,187004.227820848,1788008644.700157,1788008644.8067238,0.10656613699393347,False,
D1,8,187004.227820848,1788008644.698636,1788008644.835704,0.1370671069889795,False,
P0,8,187004.227820848,1788008644.6992939,1788008644.8300297,0.13073558098403737,False,
P1,8,187004.227820848,1788008644.701121,1788008644.8330715,0.13194894598564133,False,
D0,9,187005.227820848,1788008645.700318,1788008645.8644848,0.16416640201350674,False,
D1,9,187005.227820848,1788008645.6986332,1788008645.8566933,0.15805982099846005,False,
P0,9,187005.227820848,1788008645.6997821,1788008645.860796,0.1610137669777032,False,
P1,9,187005.227820848,1788008645.6992228,1788008645.8491719,0.1499496699834708,False,
D0,10,187006.227820848,1788008646.7008662,1788008646.8486333,0.14776691899169236,False,
D1,10,187006.227820848,1788008646.6992068,1788008646.831394,0.1321869250095915,False,
P0,10,187006.227820848,1788008646.6986356,1788008646.843897,0.14526152101461776,False,
P1,10,187006.227820848,1788008646.69975,1788008646.852876,0.15312564000487328,False,
D0,11,187007.227820848,1788008647.7001681,1788008647.858966,0.15879758200026117,False,
D1,11,187007.227820848,1788008647.700954,1788008647.8522837,0.1513296919874847,False,
P0,11,187007.227820848,1788008647.6991696,1788008647.855956,0.15678609101451002,False,
P1,11,187007.227820848,1788008647.6986313,1788008647.8483841,0.14975384902209044,False,
D0,12,187008.227820848,1788008648.7002883,1788008648.8647828,0.16449467799975537,False,
D1,12,187008.227820848,1788008648.6992376,1788008648.861525,0.16228723301901482,False,
P0,12,187008.227820848,1788008648.6986372,1788008648.8576007,0.1589638089935761,False,
P1,12,187008.227820848,1788008648.700886,1788008648.8682888,0.16740264699910767,False,
D0,13,187009.227820848,1788008649.6992042,1788008649.864289,0.1650854040053673,False,
D1,13,187009.227820848,1788008649.698637,1788008649.813889,0.11525250499835238,False,
P0,13,187009.227820848,1788008649.7007575,1788008649.8592567,0.15849920501932502,False,
P1,13,187009.227820848,1788008649.7001803,1788008649.8405364,0.14035608401172794,False,
D0,14,187010.227820848,1788008650.6992197,1788008650.8622074,0.16298776102485135,False,
D1,14,187010.227820848,1788008650.6986394,1788008650.8665624,0.16792297002393752,False,
P0,14,187010.227820848,1788008650.7001407,1788008650.8507373,0.150596573977964,False,
P1,14,187010.227820848,1788008650.7008142,1788008650.8704743,0.16965949899167754,False,
D0,15,187011.227820848,1788008651.6997037,1788008651.8464112,0.14670768499490805,False,
D1,15,187011.227820848,1788008651.6986547,1788008651.8017209,0.10306636200402863,False,
P0,15,187011.227820848,1788008651.7003257,1788008651.8508232,0.15049712502514012,False,
P1,15,187011.227820848,1788008651.6991756,1788008651.8545966,0.1554210429894738,False,
D0,16,187012.227820848,1788008652.6992102,1788008652.861195,0.16198448700015433,False,
D1,16,187012.227820848,1788008652.6986446,1788008652.793992,0.0953475100104697,False,
P0,16,187012.227820848,1788008652.6997445,1788008652.8417373,0.14199252901016735,False,
P1,16,187012.227820848,1788008652.7003517,1788008652.8567703,0.1564182469737716,False,
D0,17,187013.227820848,1788008653.6992161,1788008653.8374293,0.13821376499254256,False,
D1,17,187013.227820848,1788008653.6986394,1788008653.8447065,0.14606723102042452,False,
P0,17,187013.227820848,1788008653.7001405,1788008653.8521466,0.15200610298779793,False,
P1,17,187013.227820848,1788008653.7007813,1788008653.8484921,0.1477106589882169,False,
D0,18,187014.227820848,1788008654.700359,1788008654.8286452,0.12828582501970232,False,
D1,18,187014.227820848,1788008654.698641,1788008654.8360445,0.1374035670014564,False,
P0,18,187014.227820848,1788008654.6992047,1788008654.7878897,0.0886851690011099,False,
P1,18,187014.227820848,1788008654.699773,1788008654.8395529,0.13977925101062283,False,
D0,19,187015.227820848,1788008655.699259,1788008655.8487267,0.1494668640079908,False,
D1,19,187015.227820848,1788008655.700289,1788008655.844793,0.14450389999547042,False,
P0,19,187015.227820848,1788008655.7011116,1788008655.8332756,0.13216426799772307,False,
P1,19,187015.227820848,1788008655.6987233,1788008655.803742,0.10501902899704874,False,
