endpoint_id,schedule_index,scheduled_monotonic_s,actual_start_wall_s,actual_finish_wall_s,scrape_latency_s,missed,error
D0,0,188873.737263444,1788010514.2083569,1788010514.3291967,0.12084113201126456,False,
D1,0,188873.737263444,1788010514.2090802,1788010514.351391,0.14231184098753147,False,
P0,0,188873.737263444,1788010514.210058,1788010514.3624833,0.15242553799180314,False,
P1,0,188873.737263444,1788010514.2108228,1788010514.3588045,0.14798214100301266,False,
D0,1,188874.737263444,1788010515.2106838,1788010515.3677588,0.15707593102706596,False,
D1,1,188874.737263444,1788010515.2089882,1788010515.3632255,0.15423800598364323,False,
P0,1,188874.737263444,1788010515.2087,1788010515.3489866,0.14028790101292543,False,
P1,1,188874.737263444,1788010515.2093077,1788010515.3257687,0.11646281200228259,False,
D0,2,188875.737263444,1788010516.2088313,1788010516.3817868,0.17295577100594528,False,
D1,2,188875.737263444,1788010516.209726,1788010516.3732495,0.1635227759834379,False,
P0,2,188875.737263444,1788010516.2081273,1788010516.377333,0.16920496299280785,False,
P1,2,188875.737263444,1788010516.2104363,1788010516.3688235,0.15838667799835093,False,
D0,3,188876.737263444,1788010517.2081168,1788010517.3602238,0.15210626702173613,False,
D1,3,188876.737263444,1788010517.2099888,1788010517.310957,0.10096841299673542,False,
P0,3,188876.737263444,1788010517.2112675,1788010517.3645546,0.15328653500182554,False,
P1,3,188876.737263444,1788010517.2087712,1788010517.34817,0.13939849700545892,False,
D0,4,188877.737263444,1788010518.2080882,1788010518.3776174,0.16952908801613376,False,
D1,4,188877.737263444,1788010518.2091959,1788010518.3814862,0.17229036998469383,False,
P0,4,188877.737263444,1788010518.2104104,1788010518.373348,0.16293717300868593,False,
P1,4,188877.737263444,1788010518.2086208,1788010518.32849,0.11986933299340308,False,
D0,5,188878.737263444,1788010519.209333,1788010519.3783429,0.16900938499020413,False,
D1,5,188878.737263444,1788010519.208093,1788010519.3712008,0.16310832198360004,False,
P0,5,188878.737263444,1788010519.2087455,1788010519.3673544,0.15860819999943487,False,
P1,5,188878.737263444,1788010519.2106206,1788010519.3748505,0.16422963998047635,False,
D0,6,188879.737263444,1788010520.2103422,1788010520.371536,0.1611936789995525,False,
D1,6,188879.737263444,1788010520.2080975,1788010520.3757083,0.1676109880208969,False,
P0,6,188879.737263444,1788010520.208749,1788010520.3800297,0.17128037300426513,False,
P1,6,188879.737263444,1788010520.2093303,1788010520.3669236,0.15759289701236412,False,
D0,7,188880.737263444,1788010521.2093222,1788010521.3597739,0.1504513929830864,False,
D1,7,188880.737263444,1788010521.208098,1788010521.3715818,0.16348387001198716,False,
P0,7,188880.737263444,1788010521.2087538,1788010521.368078,0.15932359200087376,False,
P1,7,188880.737263444,1788010521.2099884,1788010521.3641176,0.15412859298521653,False,
D0,8,188881.737263444,1788010522.2086508,1788010522.3740187,0.16536741101299413,False,
D1,8,188881.737263444,1788010522.2112288,1788010522.3779678,0.16673891700338572,False,
P0,8,188881.737263444,1788010522.2080967,1788010522.3576367,0.14954036299604923,False,
P1,8,188881.737263444,1788010522.2100432,1788010522.3693929,0.15934933198150247,False,
D0,9,188882.737263444,1788010523.2098744,1788010523.3823211,0.1724463409918826,False,
D1,9,188882.737263444,1788010523.2081,1788010523.373497,0.16539698399719782,False,
P0,9,188882.737263444,1788010523.209017,1788010523.3421257,0.13310863301740028,False,
P1,9,188882.737263444,1788010523.2107835,1788010523.3780348,0.16725151101127267,False,
D0,10,188883.737263444,1788010524.2087426,1788010524.3799229,0.17117994002182968,False,
D1,10,188883.737263444,1788010524.2080936,1788010524.388013,0.17991923601948656,False,
P0,10,188883.737263444,1788010524.2099004,1788010524.3843,0.17439971398562193,False,
P1,10,188883.737263444,1788010524.2093272,1788010524.375195,0.16586795798502862,False,
D0,11,188884.737263444,1788010525.2093918,1788010525.3109,0.10150865599280223,False,
D1,11,188884.737263444,1788010525.2086446,1788010525.360605,0.1519597479782533,False,
P0,11,188884.737263444,1788010525.210398,1788010525.3564115,0.1460136919922661,False,
P1,11,188884.737263444,1788010525.208081,1788010525.27814,0.070059568999568,False,
D0,12,188885.737263444,1788010526.210591,1788010526.3709257,0.1603343189926818,False,
D1,12,188885.737263444,1788010526.208091,1788010526.3547719,0.14668207801878452,False,
P0,12,188885.737263444,1788010526.208652,1788010526.362945,0.15429283498087898,False,
P1,12,188885.737263444,1788010526.2093017,1788010526.3667579,0.1574559220171068,False,
D0,13,188886.737263444,1788010527.2107613,1788010527.3727126,0.1619511210010387,False,
D1,13,188886.737263444,1788010527.2093184,1788010527.3690631,0.15974416499375366,False,
P0,13,188886.737263444,1788010527.2087011,1788010527.3429358,0.13423472197609954,False,
P1,13,188886.737263444,1788010527.2080874,1788010527.3651848,0.15709723997861147,False,
D0,14,188887.737263444,1788010528.2086997,1788010528.383052,0.17435236301389523,False,
D1,14,188887.737263444,1788010528.2099216,1788010528.378777,0.16885566702694632,False,
P0,14,188887.737263444,1788010528.2093534,1788010528.3752759,0.16592213299009018,False,
P1,14,188887.737263444,1788010528.208091,1788010528.3704777,0.16238639398943633,False,
D0,15,188888.737263444,1788010529.208656,1788010529.3811293,0.17247290897648782,False,
D1,15,188888.737263444,1788010529.2099159,1788010529.3737776,0.1638614629919175,False,
P0,15,188888.737263444,1788010529.209347,1788010529.3840191,0.17467219199170358,False,
P1,15,188888.737263444,1788010529.2080848,1788010529.3776314,0.16954657499445602,False,
D0,16,188889.737263444,1788010530.2086496,1788010530.3217354,0.11308585898950696,False,
D1,16,188889.737263444,1788010530.2112105,1788010530.3447437,0.13353297399589792,False,
P0,16,188889.737263444,1788010530.209951,1788010530.3526208,0.14266917400527745,False,
P1,16,188889.737263444,1788010530.2080894,1788010530.349374,0.14128431500284933,False,
D0,17,188890.737263444,1788010531.2094705,1788010531.3589525,0.14948186301626265,False,
D1,17,188890.737263444,1788010531.2109256,1788010531.3553503,0.14442461298312992,False,
P0,17,188890.737263444,1788010531.2086322,1788010531.3357985,0.12716674798866734,False,
P1,17,188890.737263444,1788010531.2080865,1788010531.3523262,0.14423942999565043,False,
D0,18,188891.737263444,1788010532.210185,1788010532.3581796,0.14799431400024332,False,
D1,18,188891.737263444,1788010532.2086582,1788010532.3551404,0.14648210001178086,False,
P0,18,188891.737263444,1788010532.2096446,1788010532.3523216,0.14267656300216913,False,
P1,18,188891.737263444,1788010532.2080858,1788010532.3482249,0.14013998600421473,False,
D0,19,188892.737263444,1788010533.2087166,1788010533.3705037,0.16178719498566352,False,
D1,19,188892.737263444,1788010533.2093637,1788010533.3663387,0.15697479498339817,False,
P0,19,188892.737263444,1788010533.2080834,1788010533.3302538,0.12217028200393543,False,
P1,19,188892.737263444,1788010533.21053,1788010533.3620746,0.15154459301265888,False,
D0,20,188893.737263444,1788010534.2092068,1788010534.3723028,0.16309598801308312,False,
D1,20,188893.737263444,1788010534.2080882,1788010534.3640327,0.15594432500074618,False,
P0,20,188893.737263444,1788010534.2104828,1788010534.3574128,0.14692997199017555,False,
P1,20,188893.737263444,1788010534.2086413,1788010534.3678632,0.15922146799857728,False,
D0,21,188894.737263444,1788010535.208649,1788010535.339178,0.13052906101802364,False,
D1,21,188894.737263444,1788010535.2108471,1788010535.3537717,0.14292439198470674,False,
P0,21,188894.737263444,1788010535.2094045,1788010535.3579307,0.1485257770109456,False,
P1,21,188894.737263444,1788010535.2080836,1788010535.3610826,0.15299819098436274,False,
D0,22,188895.737263444,1788010536.2102606,1788010536.3822715,0.1720108539739158,False,
D1,22,188895.737263444,1788010536.2095144,1788010536.3782415,0.16872636502375826,False,
P0,22,188895.737263444,1788010536.2080824,1788010536.3742034,0.1661209249868989,False,
P1,22,188895.737263444,1788010536.208552,1788010536.369776,0.16122444201027974,False,
D0,23,188896.737263444,1788010537.2080646,1788010537.2718487,0.06378415098879486,False,
D1,23,188896.737263444,1788010537.2098143,1788010537.3494582,0.13964336100616492,False,
P0,23,188896.737263444,1788010537.2085967,1788010537.3531861,0.14458846100023948,False,
P1,23,188896.737263444,1788010537.2106583,1788010537.3418,0.1311414639931172,False,
D0,24,188897.737263444,1788010538.2084873,1788010538.2850587,0.0765710580162704,False,
D1,24,188897.737263444,1788010538.2080507,1788010538.351234,0.14318407099926844,False,
P0,24,188897.737263444,1788010538.2090046,1788010538.3552277,0.1462233210040722,False,
P1,24,188897.737263444,1788010538.2100587,1788010538.3582258,0.14816691502346657,False,
