timestamp_unix_s,endpoint_id,node,gpu_id,previous_requested_freq_mhz,requested_freq_mhz,observed_freq_before_mhz,observed_freq_after_mhz,command_status,readback_valid,transition_readback_latency_s,reason,error,workload,phase,decision_id,controller_action
1788160719.3474228,P0,uranus,0,,2520,2520,2520,success,True,0.6032891770009883,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788160720.2261221,P1,uranus,1,,2520,2520,2520,success,True,0.5968558510066941,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788160721.1376123,D0,ganymede,0,,1500,1500,1500,success,True,0.7095523370080628,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788160722.158751,D1,ganymede,1,,1500,1500,1500,success,True,0.6674382300116122,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788160936.1024892,P0,uranus,0,2520,1710,2520,1710,success,True,0.5905768650118262,binary_feedback:small_light-P-binary-01,,small_light,P_search,small_light-P-binary-01,True
1788160936.9831908,P1,uranus,1,2520,1710,2520,1710,success,True,0.8785892159794457,binary_feedback:small_light-P-binary-01,,small_light,P_search,small_light-P-binary-01,True
1788161052.2412243,P0,uranus,0,1710,1305,1710,1305,success,True,0.86992340098368,binary_feedback:small_light-P-binary-02,,small_light,P_search,small_light-P-binary-02,True
1788161053.3888834,P1,uranus,1,1710,1305,1710,1305,success,True,0.5863433500053361,binary_feedback:small_light-P-binary-02,,small_light,P_search,small_light-P-binary-02,True
1788161168.4063587,P0,uranus,0,1305,1110,1305,1110,success,True,0.8719294359907508,binary_feedback:small_light-P-binary-03,,small_light,P_search,small_light-P-binary-03,True
1788161169.555061,P1,uranus,1,1305,1110,1305,1110,success,True,0.5918115800013766,binary_feedback:small_light-P-binary-03,,small_light,P_search,small_light-P-binary-03,True
1788161286.1942582,P0,uranus,0,1110,1005,1110,1005,success,True,0.6027332469820976,binary_feedback:small_light-P-binary-04,,small_light,P_search,small_light-P-binary-04,True
1788161287.0597827,P1,uranus,1,1110,1005,1110,1005,success,True,0.8677133120363578,binary_feedback:small_light-P-binary-04,,small_light,P_search,small_light-P-binary-04,True
1788161403.0966368,P0,uranus,0,1005,900,1005,900,success,True,0.8871286360081285,binary_feedback:small_light-P-binary-05,,small_light,P_search,small_light-P-binary-05,True
1788161404.26245,P1,uranus,1,1005,900,1005,900,success,True,0.589348076027818,binary_feedback:small_light-P-binary-05,,small_light,P_search,small_light-P-binary-05,True
1788161519.6681814,D0,ganymede,0,1500,975,1500,975,success,True,1.3584524560137652,binary_feedback:small_light-D-binary-01,,small_light,D_search,small_light-D-binary-01,True
1788161521.3277323,D1,ganymede,1,1500,975,1500,975,success,True,0.9357395499828272,binary_feedback:small_light-D-binary-01,,small_light,D_search,small_light-D-binary-01,True
1788161637.6298294,D0,ganymede,0,975,675,975,675,success,True,0.6222042989684269,binary_feedback:small_light-D-binary-02,,small_light,D_search,small_light-D-binary-02,True
1788161638.5263581,D1,ganymede,1,975,675,975,675,success,True,0.5869945960002951,binary_feedback:small_light-D-binary-02,,small_light,D_search,small_light-D-binary-02,True
1788161755.3794057,D0,ganymede,0,675,525,675,525,success,True,0.6213037859997712,binary_feedback:small_light-D-binary-03,,small_light,D_search,small_light-D-binary-03,True
1788161756.3199503,D1,ganymede,1,675,525,675,525,success,True,0.58753511501709,binary_feedback:small_light-D-binary-03,,small_light,D_search,small_light-D-binary-03,True
1788161876.9669008,D0,ganymede,0,525,450,525,450,success,True,0.5855443620239384,binary_feedback:small_light-D-binary-04,,small_light,D_search,small_light-D-binary-04,True
1788161877.8323812,D1,ganymede,1,525,450,525,450,success,True,0.8997364249662496,binary_feedback:small_light-D-binary-04,,small_light,D_search,small_light-D-binary-04,True
1788162292.6204164,P0,uranus,0,900,2520,900,2520,success,True,1.2917769090272486,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788162294.1867144,P1,uranus,1,900,2520,900,2520,success,True,0.8653969260049053,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788162295.350659,D0,ganymede,0,450,1500,450,1500,success,True,0.7276046869810671,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788162296.3705072,D1,ganymede,1,450,1500,450,1500,success,True,0.641214850009419,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
