decision_id,phase,endpoint_id,target_mhz,command_readback_valid,independent_clock_match,first_independent_match_unix_s
global-high-warmup,warmup,P0,2520,True,False,
global-high-warmup,warmup,P1,2520,True,False,
global-high-warmup,warmup,D0,1500,True,False,
global-high-warmup,warmup,D1,1500,True,False,
small_light-P-binary-01,P_search,P0,1710,True,False,
small_light-P-binary-01,P_search,P1,1710,True,False,
small_light-P-binary-02,P_search,P0,1305,True,False,
small_light-P-binary-02,P_search,P1,1305,True,False,
small_light-P-binary-03,P_search,P0,1110,True,False,
small_light-P-binary-03,P_search,P1,1110,True,False,
small_light-P-binary-04,P_search,P0,1005,True,False,
small_light-P-binary-04,P_search,P1,1005,True,False,
small_light-P-binary-05,P_search,P0,900,True,False,
small_light-P-binary-05,P_search,P1,900,True,False,
small_light-D-binary-01,D_search,D0,975,True,False,
small_light-D-binary-01,D_search,D1,975,True,False,
small_light-D-binary-02,D_search,D0,675,True,False,
small_light-D-binary-02,D_search,D1,675,True,False,
small_light-D-binary-03,D_search,D0,525,True,False,
small_light-D-binary-03,D_search,D1,525,True,False,
small_light-D-binary-04,D_search,D0,450,True,False,
small_light-D-binary-04,D_search,D1,450,True,False,
prefill_heavy-baseline-high,baseline_high,P0,2520,True,False,
prefill_heavy-baseline-high,baseline_high,P1,2520,True,False,
prefill_heavy-baseline-high,baseline_high,D0,1500,True,False,
prefill_heavy-baseline-high,baseline_high,D1,1500,True,False,
prefill_heavy-P-binary-01,P_search,P0,1710,True,False,
prefill_heavy-P-binary-01,P_search,P1,1710,True,False,
prefill_heavy-P-binary-02,P_search,P0,2115,True,False,
prefill_heavy-P-binary-02,P_search,P1,2115,True,False,
prefill_heavy-P-binary-03,P_search,P0,2310,True,False,
prefill_heavy-P-binary-03,P_search,P1,2310,True,False,
prefill_heavy-P-binary-04,P_search,P0,2415,True,False,
prefill_heavy-P-binary-04,P_search,P1,2415,True,False,
prefill_heavy-D-binary-01,D_search,P0,2520,True,False,
prefill_heavy-D-binary-01,D_search,P1,2520,True,False,
prefill_heavy-D-binary-01,D_search,D0,975,True,False,
prefill_heavy-D-binary-01,D_search,D1,975,True,False,
prefill_heavy-D-binary-02,D_search,D0,1275,True,False,
prefill_heavy-D-binary-02,D_search,D1,1275,True,False,
prefill_heavy-D-binary-03,D_search,D0,1125,True,False,
prefill_heavy-D-binary-03,D_search,D1,1125,True,False,
prefill_heavy-D-binary-04,D_search,D0,1050,True,False,
prefill_heavy-D-binary-04,D_search,D1,1050,True,False,
decode_heavy-baseline-high,baseline_high,D0,1500,True,False,
decode_heavy-baseline-high,baseline_high,D1,1500,True,False,
decode_heavy-P-binary-01,P_search,P0,1710,True,False,
decode_heavy-P-binary-01,P_search,P1,1710,True,False,
decode_heavy-P-binary-02,P_search,P0,1305,True,False,
decode_heavy-P-binary-02,P_search,P1,1305,True,False,
decode_heavy-P-binary-03,P_search,P0,1110,True,False,
decode_heavy-P-binary-03,P_search,P1,1110,True,False,
decode_heavy-P-binary-04,P_search,P0,1005,True,False,
decode_heavy-P-binary-04,P_search,P1,1005,True,False,
decode_heavy-P-binary-05,P_search,P0,900,True,False,
decode_heavy-P-binary-05,P_search,P1,900,True,False,
decode_heavy-D-binary-01,D_search,D0,975,True,False,
decode_heavy-D-binary-01,D_search,D1,975,True,False,
decode_heavy-D-binary-02,D_search,D0,675,True,False,
decode_heavy-D-binary-02,D_search,D1,675,True,False,
decode_heavy-D-binary-03,D_search,D0,525,True,False,
decode_heavy-D-binary-03,D_search,D1,525,True,False,
decode_heavy-D-binary-04,D_search,D0,450,True,False,
decode_heavy-D-binary-04,D_search,D1,450,True,False,
both_heavy-baseline-high,baseline_high,P0,2520,True,False,
both_heavy-baseline-high,baseline_high,P1,2520,True,False,
both_heavy-baseline-high,baseline_high,D0,1500,True,False,
both_heavy-baseline-high,baseline_high,D1,1500,True,False,
both_heavy-P-binary-01,P_search,P0,1710,True,False,
both_heavy-P-binary-01,P_search,P1,1710,True,False,
both_heavy-P-binary-02,P_search,P0,1305,True,False,
both_heavy-P-binary-02,P_search,P1,1305,True,False,
both_heavy-P-binary-03,P_search,P0,1110,True,False,
both_heavy-P-binary-03,P_search,P1,1110,True,False,
both_heavy-P-binary-04,P_search,P0,1005,True,False,
both_heavy-P-binary-04,P_search,P1,1005,True,False,
both_heavy-P-binary-05,P_search,P0,900,True,False,
both_heavy-P-binary-05,P_search,P1,900,True,False,
both_heavy-D-binary-01,D_search,D0,975,True,False,
both_heavy-D-binary-01,D_search,D1,975,True,False,
both_heavy-D-binary-02,D_search,D0,675,True,False,
both_heavy-D-binary-02,D_search,D1,675,True,False,
both_heavy-D-binary-03,D_search,D0,525,True,False,
both_heavy-D-binary-03,D_search,D1,525,True,False,
both_heavy-D-binary-04,D_search,D0,450,True,False,
both_heavy-D-binary-04,D_search,D1,450,True,False,
final-safe-high-restore,restore,P0,2520,True,False,
final-safe-high-restore,restore,P1,2520,True,False,
final-safe-high-restore,restore,D0,1500,True,False,
final-safe-high-restore,restore,D1,1500,True,False,
