path	size_bytes	mtime_unix_s
job.log	3646499	1788179380.115359
preflight.json	1440	1788167993.765065
binary_dvfs/xpyd_binary_dvfs_255348/binary_dvfs_audit.json	883	1788179316.756363
binary_dvfs/xpyd_binary_dvfs_255348/binary_search_decisions.csv	13509	1788179316.747363
binary_dvfs/xpyd_binary_dvfs_255348/frequency_grids.json	681	1788168426.972904
binary_dvfs/xpyd_binary_dvfs_255348/selected_frequencies.json	2755	1788179316.754363
binary_dvfs/xpyd_binary_dvfs_255348/window_results.csv	105474	1788179316.743363
binary_dvfs/xpyd_binary_dvfs_255348/raw/actuator_actions.csv	16039	1788179316.752363
binary_dvfs/xpyd_binary_dvfs_255348/raw/capabilities.json	7805	1788168426.969904
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/audit.json	772	1788168482.859885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/endpoint_summary.csv	1149	1788168482.867884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/energy_summary.csv	559	1788168482.870884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/metadata.json	2208	1788168430.772903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/requests.csv	4062	1788168482.862885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/routes.csv	2647	1788168482.865885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/summary.json	10210	1788168482.856884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/summary.md	970	1788168482.871884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/capability.json	903	1788168431.041903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/monitor.log	0	1788168430.785903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/samples.jsonl	281672	1788168482.705884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/stop.requested	5	1788168482.672884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000001_before.prom	85854	1788168461.954892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000002_periodic.prom	85841	1788168462.177892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000003_periodic.prom	85854	1788168463.209891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000004_periodic.prom	85841	1788168464.209891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000005_periodic.prom	85841	1788168465.144891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000006_periodic.prom	85841	1788168466.230890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000007_periodic.prom	85841	1788168467.232890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000008_periodic.prom	85840	1788168468.201890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000009_periodic.prom	85841	1788168469.207889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000010_periodic.prom	85841	1788168470.203889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000011_periodic.prom	85841	1788168471.175889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000012_periodic.prom	85841	1788168472.193888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000013_periodic.prom	85841	1788168473.207888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000014_periodic.prom	85930	1788168474.193887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000015_periodic.prom	88023	1788168475.203887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000016_periodic.prom	88021	1788168476.192887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000017_periodic.prom	88036	1788168477.195886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000018_periodic.prom	88033	1788168478.121886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000019_periodic.prom	88026	1788168479.126886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000020_periodic.prom	88026	1788168480.120885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000021_periodic.prom	88066	1788168481.198885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000022_after.prom	88041	1788168482.646884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/capability.json	903	1788168431.043903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/monitor.log	0	1788168430.788903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/samples.jsonl	281772	1788168482.720885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/stop.requested	5	1788168482.674885
