request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_feedback_table_2p2d_255386-0000,P1,D1,1788283082.7114158,1788283083.2891133,1788283083.2891164,1788283083.2892234,1788283086.9404309,completed
phase3c-xpyd_feedback_table_2p2d_255386-0001,P1,D1,1788283105.80479,1788283106.051037,1788283106.0510397,1788283106.051139,1788283109.7248366,completed
phase3c-xpyd_feedback_table_2p2d_255386-0002,P1,D1,1788283130.8056343,1788283131.1975331,1788283131.1975355,1788283131.197637,1788283134.9483807,completed
phase3c-xpyd_feedback_table_2p2d_255386-0003,P1,D1,1788283155.8041053,1788283155.9136555,1788283155.9136593,1788283155.9138231,1788283163.096944,completed
phase3c-xpyd_feedback_table_2p2d_255386-0004,P1,D1,1788283180.8005953,1788283180.9047463,1788283180.9047484,1788283180.9048269,1788283195.2678905,completed
phase3c-xpyd_feedback_table_2p2d_255386-0005,P1,D1,1788283205.793902,1788283205.9261825,1788283205.9261851,1788283205.9262767,1788283213.166693,completed
phase3c-xpyd_feedback_table_2p2d_255386-0006,P1,D1,1788283230.801606,1788283231.178265,1788283231.1782677,1788283231.178367,1788283246.096386,completed
phase3c-xpyd_feedback_table_2p2d_255386-0007,P1,D1,1788283255.789082,1788283255.9104865,1788283255.9104888,1788283255.9105837,1788283259.5111847,completed
phase3c-xpyd_feedback_table_2p2d_255386-0008,P1,D1,1788283280.8014615,1788283281.0249107,1788283281.024913,1788283281.0250037,1788283284.696358,completed
phase3c-xpyd_feedback_table_2p2d_255386-0009,P1,D1,1788283305.8007593,1788283306.183234,1788283306.1832366,1788283306.1833262,1788283309.9311533,completed
phase3c-xpyd_feedback_table_2p2d_255386-0010,P1,D1,1788283330.8000894,1788283330.910134,1788283330.9101362,1788283330.910228,1788283338.0920796,completed
phase3c-xpyd_feedback_table_2p2d_255386-0011,P1,D1,1788283355.7972963,1788283355.908065,1788283355.9080675,1788283355.9081602,1788283370.2703557,completed
phase3c-xpyd_feedback_table_2p2d_255386-0012,P1,D1,1788283380.790031,1788283380.9198005,1788283380.9198031,1788283380.9198923,1788283388.1596787,completed
phase3c-xpyd_feedback_table_2p2d_255386-0013,P1,D1,1788283405.7985015,1788283406.1632416,1788283406.163244,1788283406.1633272,1788283421.0782645,completed
phase3c-xpyd_feedback_table_2p2d_255386-0014,P1,D1,1788283433.206902,1788283433.334776,1788283433.3347783,1788283433.3348637,1788283437.1145089,completed
phase3c-xpyd_feedback_table_2p2d_255386-0015,P1,D1,1788283459.192927,1788283459.4070075,1788283459.40701,1788283459.407096,1788283463.0777848,completed
phase3c-xpyd_feedback_table_2p2d_255386-0016,P1,D1,1788283480.7968597,1788283481.1713295,1788283481.1713324,1788283481.171429,1788283484.9202209,completed
phase3c-xpyd_feedback_table_2p2d_255386-0017,P1,D1,1788283505.8002665,1788283505.909768,1788283505.9097707,1788283505.9098668,1788283513.0905478,completed
phase3c-xpyd_feedback_table_2p2d_255386-0018,P1,D1,1788283530.7968,1788283530.9040413,1788283530.9040432,1788283530.9041307,1788283545.265462,completed
phase3c-xpyd_feedback_table_2p2d_255386-0019,P1,D1,1788283555.7895443,1788283555.9411714,1788283555.941174,1788283555.9412668,1788283563.1813421,completed
phase3c-xpyd_feedback_table_2p2d_255386-0020,P1,D1,1788283580.7975876,1788283581.1719446,1788283581.1719472,1788283581.1720405,1788283596.0906403,completed
phase3c-xpyd_feedback_table_2p2d_255386-0021,P1,D1,1788283608.2902033,1788283608.4069247,1788283608.406927,1788283608.4070184,1788283612.1874845,completed
phase3c-xpyd_feedback_table_2p2d_255386-0022,P1,D1,1788283630.789227,1788283631.095827,1788283631.0958297,1788283631.095922,1788283635.0936065,completed
phase3c-xpyd_feedback_table_2p2d_255386-0023,P1,D1,1788283658.319479,1788283658.6928353,1788283658.692838,1788283658.6929283,1788283662.440476,completed
phase3c-xpyd_feedback_table_2p2d_255386-0024,P1,D1,1788283680.7972398,1788283680.9042804,1788283680.9042826,1788283680.9043763,1788283688.085704,completed
phase3c-xpyd_feedback_table_2p2d_255386-0025,P1,D1,1788283705.7965024,1788283705.9074407,1788283705.9074433,1788283705.9075286,1788283720.2691338,completed
phase3c-xpyd_feedback_table_2p2d_255386-0026,P1,D1,1788283730.7915661,1788283730.926497,1788283730.9264994,1788283730.9265907,1788283738.1655204,completed
phase3c-xpyd_feedback_table_2p2d_255386-0027,P1,D1,1788283755.7967477,1788283756.1742566,1788283756.174259,1788283756.174354,1788283771.092121,completed
phase3c-xpyd_feedback_table_2p2d_255386-0028,P1,D1,1788283783.2814953,1788283783.4013913,1788283783.4013937,1788283783.4014819,1788283787.182749,completed
phase3c-xpyd_feedback_table_2p2d_255386-0029,P1,D1,1788283805.7978935,1788283806.1108725,1788283806.110875,1788283806.1109529,1788283810.1158042,completed
phase3c-xpyd_feedback_table_2p2d_255386-0030,P1,D1,1788283833.2902055,1788283833.6725438,1788283833.6725461,1788283833.6726387,1788283837.4206316,completed
phase3c-xpyd_feedback_table_2p2d_255386-0031,P1,D1,1788283855.797395,1788283855.9093325,1788283855.9093351,1788283855.9094317,1788283863.0914183,completed
phase3c-xpyd_feedback_table_2p2d_255386-0032,P1,D1,1788283880.797553,1788283880.9124424,1788283880.9124448,1788283880.9125419,1788283895.2744443,completed
phase3c-xpyd_feedback_table_2p2d_255386-0033,P1,D1,1788283905.7903595,1788283905.9207976,1788283905.9208007,1788283905.9208903,1788283913.1606479,completed
phase3c-xpyd_feedback_table_2p2d_255386-0034,P1,D1,1788283930.796786,1788283931.1770165,1788283931.1770194,1788283931.1771154,1788283946.0938156,completed
phase3c-xpyd_feedback_table_2p2d_255386-0035,P1,D1,1788283959.4794047,1788283959.599376,1788283959.5993779,1788283959.5994644,1788283963.3790574,completed
phase3c-xpyd_feedback_table_2p2d_255386-0036,P1,D1,1788283980.7970476,1788283981.1094303,1788283981.1094325,1788283981.1095254,1788283985.1157725,completed
phase3c-xpyd_feedback_table_2p2d_255386-0037,P1,D1,1788284005.8000538,1788284006.3365207,1788284006.3365235,1788284006.3366177,1788284010.5790222,completed
phase3c-xpyd_feedback_table_2p2d_255386-0038,P1,D1,1788284033.8608518,1788284033.9808877,1788284033.98089,1788284033.9809875,1788284041.1622286,completed
phase3c-xpyd_feedback_table_2p2d_255386-0039,P1,D1,1788284055.7942398,1788284055.9161975,1788284055.9162,1788284055.9162972,1788284070.2775166,completed
phase3c-xpyd_feedback_table_2p2d_255386-0040,P1,D1,1788284080.7893357,1788284080.927983,1788284080.9279857,1788284080.9280758,1788284088.1682055,completed
phase3c-xpyd_feedback_table_2p2d_255386-0041,P1,D1,1788284105.7970963,1788284106.1750145,1788284106.1750166,1788284106.1751046,1788284121.0900857,completed
phase3c-xpyd_feedback_table_2p2d_255386-0042,P1,D1,1788284133.28216,1788284133.401216,1788284133.4012184,1788284133.4013083,1788284137.1810386,completed
phase3c-xpyd_feedback_table_2p2d_255386-0043,P1,D1,1788284155.7981656,1788284156.1098688,1788284156.1098711,1788284156.109961,1788284160.1188443,completed
phase3c-xpyd_feedback_table_2p2d_255386-0044,P1,D1,1788284180.8002238,1788284181.333299,1788284181.3333018,1788284181.3333948,1788284185.5749648,completed
phase3c-xpyd_feedback_table_2p2d_255386-0045,P1,D1,1788284205.7996352,1788284205.920449,1788284205.9204514,1788284205.920542,1788284213.465297,completed
phase3c-xpyd_feedback_table_2p2d_255386-0046,P1,D1,1788284233.8075485,1788284233.919265,1788284233.9192677,1788284233.919354,1788284248.280505,completed
phase3c-xpyd_feedback_table_2p2d_255386-0047,P1,D1,1788284255.7864594,1788284255.9223456,1788284255.922348,1788284255.9224389,1788284263.1618555,completed
phase3c-xpyd_feedback_table_2p2d_255386-0048,P1,D1,1788284280.7971063,1788284281.1769133,1788284281.1769156,1788284281.177005,1788284296.0918345,completed
phase3c-xpyd_feedback_table_2p2d_255386-0049,P1,D1,1788284309.5623896,1788284309.687975,1788284309.6879776,1788284309.6880643,1788284313.4667504,completed
phase3c-xpyd_feedback_table_2p2d_255386-0050,P1,D1,1788284330.7967067,1788284331.1121173,1788284331.1121194,1788284331.1122103,1788284335.1184418,completed
phase3c-xpyd_feedback_table_2p2d_255386-0051,P1,D1,1788284355.800568,1788284356.329314,1788284356.3293169,1788284356.3294048,1788284360.5709498,completed
phase3c-xpyd_feedback_table_2p2d_255386-0052,P1,D1,1788284380.7993748,1788284380.9280193,1788284380.9280214,1788284380.928108,1788284388.4726555,completed
phase3c-xpyd_feedback_table_2p2d_255386-0053,P1,D1,1788284408.620026,1788284408.7415185,1788284408.7415211,1788284408.7416103,1788284423.1022666,completed
phase3c-xpyd_feedback_table_2p2d_255386-0054,P1,D1,1788284430.7875636,1788284430.9336312,1788284430.9336333,1788284430.9337518,1788284438.1731458,completed
phase3c-xpyd_feedback_table_2p2d_255386-0055,P1,D1,1788284455.7971692,1788284456.1721087,1788284456.1721113,1788284456.1722178,1788284471.0857265,completed
phase3c-xpyd_feedback_table_2p2d_255386-0056,P1,D1,1788284484.4874616,1788284484.6208463,1788284484.620849,1788284484.6209397,1788284488.4009252,completed
phase3c-xpyd_feedback_table_2p2d_255386-0057,P1,D1,1788284505.7936397,1788284506.1168654,1788284506.116868,1788284506.1169574,1788284510.1285539,completed
phase3c-xpyd_feedback_table_2p2d_255386-0058,P1,D1,1788284530.7996106,1788284531.328566,1788284531.3285682,1788284531.3286548,1788284535.570073,completed
phase3c-xpyd_feedback_table_2p2d_255386-0059,P1,D1,1788284555.7812757,1788284555.9124498,1788284555.9124527,1788284555.9125402,1788284563.4581056,completed
phase3c-xpyd_feedback_table_2p2d_255386-0060,P1,D1,1788284580.7884843,1788284580.9233098,1788284580.9233122,1788284580.923403,1788284596.0578287,completed
phase3c-xpyd_feedback_table_2p2d_255386-0061,P1,D1,1788284608.5366218,1788284608.6783817,1788284608.6783838,1788284608.678473,1788284615.9188564,completed
phase3c-xpyd_feedback_table_2p2d_255386-0062,P1,D1,1788284630.7942011,1788284631.1767542,1788284631.1767566,1788284631.1768627,1788284646.0955226,completed
phase3c-xpyd_feedback_table_2p2d_255386-0063,P1,D1,1788284658.5587208,1788284658.6924894,1788284658.692492,1788284658.6926174,1788284662.474775,completed
phase3c-xpyd_feedback_table_2p2d_255386-0064,P1,D1,1788284680.7987041,1788284681.1182833,1788284681.1182861,1788284681.1183932,1788284685.1324556,completed
phase3c-xpyd_feedback_table_2p2d_255386-0065,P1,D1,1788284705.8008409,1788284706.3346446,1788284706.3346467,1788284706.3347867,1788284710.5775173,completed
phase3c-xpyd_feedback_table_2p2d_255386-0066,P1,D1,1788284730.7990296,1788284730.9295018,1788284730.9295042,1788284730.9295907,1788284738.4766576,completed
phase3c-xpyd_feedback_table_2p2d_255386-0067,P1,D1,1788284755.785215,1788284755.918195,1788284755.9181972,1788284755.9182827,1788284771.05227,completed
phase3c-xpyd_feedback_table_2p2d_255386-0068,P1,D1,1788284783.2704363,1788284783.4151556,1788284783.415158,1788284783.4152489,1788284790.6558537,completed
phase3c-xpyd_feedback_table_2p2d_255386-0069,P1,D1,1788284805.7946923,1788284806.1752255,1788284806.1752284,1788284806.175318,1788284821.0924923,completed
phase3c-xpyd_feedback_table_2p2d_255386-0070,P1,D1,1788284833.242829,1788284833.3752446,1788284833.3752468,1788284833.375338,1788284837.1582258,completed
phase3c-xpyd_feedback_table_2p2d_255386-0071,P1,D1,1788284855.7982423,1788284856.1225479,1788284856.1225502,1788284856.1226404,1788284860.1324856,completed
phase3c-xpyd_feedback_table_2p2d_255386-0072,P1,D1,1788284880.7853458,1788284881.3175073,1788284881.3175097,1788284881.3175962,1788284885.5593438,completed
