request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0000,P1,D1,1788291764.2474809,1788291764.8240397,1788291764.824042,1788291764.8241413,1788291768.4909751,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0001,P1,D1,1788291777.2828572,1788291777.5193677,1788291777.5193703,1788291777.519467,1788291781.1908314,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0002,P1,D1,1788291802.2914927,1788291802.6767967,1788291802.6767995,1788291802.6769001,1788291806.4244623,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0003,P1,D1,1788291827.2918565,1788291827.3863556,1788291827.3863587,1788291827.3864515,1788291834.5577395,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0004,P1,D1,1788291852.2905216,1788291852.3999548,1788291852.3999581,1788291852.4000583,1788291866.7459805,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0005,P1,D1,1788291877.2808084,1788291877.4022586,1788291877.4022617,1788291877.402359,1788291884.6346228,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0006,P1,D1,1788291902.2818944,1788291902.655996,1788291902.6559987,1788291902.6560946,1788291917.5558486,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0007,P1,D1,1788291927.2763815,1788291927.3599713,1788291927.359974,1788291927.360067,1788291930.9573884,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0008,P1,D1,1788291952.2878606,1788291952.4941442,1788291952.494147,1788291952.4942453,1788291956.1610632,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0009,P1,D1,1788291977.2881806,1788291977.6674938,1788291977.6674962,1788291977.667592,1788291981.4115753,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0010,P1,D1,1788292002.2862601,1788292002.384406,1788292002.3844085,1788292002.384509,1788292009.5573356,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0011,P1,D1,1788292027.2840054,1788292027.3784466,1788292027.3784487,1788292027.378544,1788292041.7242532,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0012,P1,D1,1788292052.2766345,1788292052.3923132,1788292052.3923154,1788292052.3924007,1788292059.6247349,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0013,P1,D1,1788292077.286556,1788292077.6612697,1788292077.6612723,1788292077.6613665,1788292092.5613437,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0014,P1,D1,1788292115.912061,1788292116.0389848,1788292116.038987,1788292116.0390851,1788292119.810469,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0015,P1,D1,1788292140.1800735,1788292140.4094036,1788292140.4094064,1788292140.4095044,1788292144.079108,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0016,P1,D1,1788292152.2758694,1788292152.6522257,1788292152.652228,1788292152.6523304,1788292156.3983612,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0017,P1,D1,1788292177.2869034,1788292177.410998,1788292177.4110005,1788292177.411093,1788292184.585126,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0018,P1,D1,1788292202.2832847,1788292202.380542,1788292202.3805437,1788292202.3806186,1788292216.7263327,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0019,P1,D1,1788292227.2776563,1788292227.4042075,1788292227.4042103,1788292227.4043424,1788292234.6366613,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0020,P1,D1,1788292252.2840912,1788292252.6616447,1788292252.6616468,1788292252.6618192,1788292267.5632243,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0021,P1,D1,1788292289.7135954,1788292289.8145187,1788292289.8145208,1788292289.814619,1788292293.5838275,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0022,P1,D1,1788292314.9373903,1788292315.1442292,1788292315.1442313,1788292315.1443264,1788292318.8108652,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0023,P1,D1,1788292327.2724702,1788292327.644892,1788292327.644894,1788292327.6449893,1788292331.389471,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0024,P1,D1,1788292352.269247,1788292352.3638768,1788292352.3638794,1788292352.363983,1788292359.537005,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0025,P1,D1,1788292377.284398,1788292377.3836267,1788292377.3836298,1788292377.383782,1788292391.7282279,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0026,P1,D1,1788292402.2768338,1788292402.4001029,1788292402.4001055,1788292402.4002037,1788292409.6339786,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0027,P1,D1,1788292427.2837276,1788292427.658985,1788292427.6589873,1788292427.6590803,1788292442.5591805,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0028,P1,D1,1788292464.7199295,1788292464.8162346,1788292464.8162367,1788292464.8163393,1788292468.585931,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0029,P1,D1,1788292489.0226293,1788292489.3381772,1788292489.3381793,1788292489.3382668,1788292493.3251235,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0030,P1,D1,1788292514.72341,1788292515.0914927,1788292515.0914948,1788292515.091597,1788292518.8365598,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0031,P1,D1,1788292527.2736764,1788292527.3705313,1788292527.3705335,1788292527.3706253,1788292534.5435681,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0032,P1,D1,1788292552.2841237,1788292552.3844,1788292552.3844025,1788292552.384498,1788292566.730317,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0033,P1,D1,1788292577.2768486,1788292577.405377,1788292577.4053798,1788292577.4054773,1788292584.6392689,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0034,P1,D1,1788292602.2837996,1788292602.660738,1788292602.6607406,1788292602.6608381,1788292617.5628932,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0035,P1,D1,1788292639.6936255,1788292639.7943242,1788292639.7943265,1788292639.7944167,1788292643.5640404,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0036,P1,D1,1788292664.003085,1788292664.3111877,1788292664.3111894,1788292664.3112776,1788292668.2983418,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0037,P1,D1,1788292689.7130747,1788292690.0914829,1788292690.0914853,1788292690.0915797,1788292693.838189,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0038,P1,D1,1788292702.2744126,1788292702.367455,1788292702.367457,1788292702.3675516,1788292709.5408394,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0039,P1,D1,1788292727.2861466,1788292727.3861125,1788292727.3861146,1788292727.3862066,1788292741.7329626,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0040,P1,D1,1788292752.277393,1788292752.4019837,1788292752.4019861,1788292752.4020753,1788292759.6339846,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0041,P1,D1,1788292777.28463,1788292777.6646507,1788292777.6646528,1788292777.6647959,1788292792.5661693,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0042,P1,D1,1788292814.9344337,1788292815.0355434,1788292815.0355458,1788292815.035646,1788292818.804409,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0043,P1,D1,1788292838.1686087,1788292838.4751654,1788292838.4751678,1788292838.475264,1788292842.4621232,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0044,P1,D1,1788292864.6918452,1788292865.069871,1788292865.069873,1788292865.069978,1788292868.8147633,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0045,P1,D1,1788292877.2745848,1788292877.3730078,1788292877.3730102,1788292877.3731039,1788292884.5452101,completed
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0046,P1,D1,1788292902.2835147,1788292902.383244,1788292902.3832467,1788292902.3833458,1788292916.7291784,completed
