request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256655-0000,small_light,128,64,64,P1,D1,186.24343210831285,55.96255282464895,20091.649173060432,56.003981523053156,55.95764530164796,23619.90000901278,110.6008329661563,3601.0580910369754,True,True
phase3c-xpyd_power_compare_baseline_256655-0001,small_light,128,64,64,P1,D1,195.80794509965926,55.95229365049847,204.99838795512915,55.9547846039225,55.949652063039444,3730.1498180022463,119.69937896355987,3600.788541021757,True,True
phase3c-xpyd_power_compare_baseline_256655-0002,small_light,128,64,64,P1,D1,198.66967503912747,55.964525110857,206.4957399852574,55.972196475883564,55.96721219083678,3732.7441179659218,124.26887906622142,3599.898310028948,True,True
phase3c-xpyd_power_compare_baseline_256655-0003,small_light,128,64,64,P1,D1,199.6007360285148,55.95274166654914,208.38379999622703,55.95918746095978,55.953921349201764,3733.8126100366935,122.54648306407034,3601.801228011027,True,True
phase3c-xpyd_power_compare_baseline_256655-0004,small_light,128,64,64,P1,D1,194.92646004073322,56.0723169529367,203.13476293813437,56.07983863557733,56.074540382103315,3736.1645969795063,120.54899998474866,3606.656573014334,True,True
phase3c-xpyd_power_compare_baseline_256655-0005,small_light,128,64,64,P1,D1,194.39532700926065,55.94797925432287,202.2824859013781,55.95280741348804,55.94838536640127,3727.3093529511243,118.67624591104686,3600.197738967836,True,True
phase3c-xpyd_power_compare_baseline_256655-0006,small_light,128,64,64,P1,D1,194.67980903573334,55.95687815793864,202.1212700055912,55.97461479353822,55.961897857265456,3728.522001998499,119.13340305909514,3600.578667013906,True,True
phase3c-xpyd_power_compare_baseline_256655-0007,small_light,128,64,64,P1,D1,201.32196694612503,55.94317347646528,211.4490979583934,55.94481391987453,55.93958877707048,3735.9723749104887,122.20059905666858,3603.2222190406173,True,True
phase3c-xpyd_power_compare_baseline_256655-0008,small_light,128,64,64,P1,D1,194.1733380081132,55.94719920699145,202.65209209173918,55.954158285795344,55.94883944344012,3727.7640640968457,119.44160796701908,3599.1108340676874,True,True
phase3c-xpyd_power_compare_baseline_256655-0009,small_light,128,64,64,P1,D1,193.3725819690153,55.96558427039002,202.52984098624438,55.97092036438722,55.966224111173126,3728.697823942639,118.33476496394724,3600.5758510436863,True,True
