workload_id,scope,role,window_start_unix_s,window_end_unix_s,duration_s,gross_energy_j,mean_power_w,logical_requests,input_tokens,output_tokens,joules_per_request,joules_per_output_token,valid,prefill_frequency_mhz,decode_frequency_mhz,ttft_p90_ms,tpot_p90_ms
small_light,P1,prefill,1788353143.090381,1788354301.955369,1158.8649880886078,92173.532,80.96918657231647,48,6144,3072,1920.2819166666668,30.00440494791667,True,,,,
small_light,D1,decode,1788353143.090381,1788354301.955369,1158.8649880886078,34531.788,29.996471095771433,48,6144,3072,719.41225,11.24081640625,True,,,,
small_light,service_PD_pair,all,1788353143.090381,1788354301.955369,1158.8649880886078,126705.32,109.33570459228682,48,6144,3072,2639.6941666666667,41.24522135416667,True,2520,1500,212.23396402783692,55.96368457782009
prefill_medium,P1,prefill,1788354323.2161899,1788355502.125203,1178.9090130329132,94651.75,81.55344868532613,48,49152,3072,1971.9114583333333,30.811116536458332,True,,,,
prefill_medium,D1,decode,1788354323.2161899,1788355502.125203,1178.9090130329132,35127.792,29.987004750592998,48,49152,3072,731.8290000000001,11.434828125000001,True,,,,
prefill_medium,service_PD_pair,all,1788354323.2161899,1788355502.125203,1178.9090130329132,129779.542,110.08444295978656,48,49152,3072,2703.740458333333,42.24594466145833,True,2520,1500,309.20304897008464,56.975281996549
prefill_heavy,P1,prefill,1788355523.21684,1788356702.33732,1179.1204800605774,95869.126,82.26513636363688,48,98304,3072,1997.2734583333333,31.207397786458333,True,,,,
prefill_heavy,D1,decode,1788355523.21684,1788356702.33732,1179.1204800605774,35336.006,30.160380322306942,48,98304,3072,736.1667916666667,11.502606119791666,True,,,,
prefill_heavy,service_PD_pair,all,1788355523.21684,1788356702.33732,1179.1204800605774,131205.132,111.27372835832632,48,98304,3072,2733.44025,42.71000390625,True,2520,1500,476.18668123614043,58.08538833525889
decode_medium,P1,prefill,1788356723.2047656,1788357905.4960847,1182.2913191318512,94143.117,81.1646595060895,48,6144,6144,1961.3149375,15.32277294921875,True,,,,
decode_medium,D1,decode,1788356723.2047656,1788357905.4960847,1182.2913191318512,43323.95,36.74978633056892,48,6144,6144,902.5822916666666,7.051424153645833,True,,,,
decode_medium,service_PD_pair,all,1788356723.2047656,1788357905.4960847,1182.2913191318512,137467.06699999998,116.27173842479124,48,6144,6144,2863.8972291666664,22.37419710286458,True,2520,1500,195.5656485632062,55.958124713084885
decode_heavy,P1,prefill,1788357923.2123928,1788359112.6745625,1189.4621696472168,94662.788,81.2006736718237,48,6144,12288,1972.1414166666666,7.703677408854166,True,,,,
decode_heavy,D1,decode,1788357923.2123928,1788359112.6745625,1189.4621696472168,60042.512,50.63484681351984,48,6144,12288,1250.8856666666668,4.886272135416667,True,,,,
decode_heavy,service_PD_pair,all,1788357923.2123928,1788359112.6745625,1189.4621696472168,154705.3,130.0632369383249,48,6144,12288,3223.027083333333,12.589949544270832,True,2520,1500,194.3799528060481,56.02878579929215
balanced_medium,P1,prefill,1788359123.2040718,1788360305.6035154,1182.3994436264038,94381.119,81.4786503721233,48,24576,6144,1966.2733125000002,15.361510253906252,True,,,,
balanced_medium,D1,decode,1788359123.2040718,1788360305.6035154,1182.3994436264038,43642.73,37.07079685385646,48,24576,6144,909.2235416666667,7.103308919270834,True,,,,
balanced_medium,service_PD_pair,all,1788359123.2040718,1788360305.6035154,1182.3994436264038,138023.84900000002,116.73199758677377,48,24576,6144,2875.496854166667,22.464819173177087,True,2520,1500,224.35071519576013,56.4020343941607
