workload_id,scope,role,window_start_unix_s,window_end_unix_s,duration_s,gross_energy_j,mean_power_w,logical_requests,input_tokens,output_tokens,joules_per_request,joules_per_output_token,valid,prefill_frequency_mhz,decode_frequency_mhz,ttft_p90_ms,tpot_p90_ms
small_light,P1,prefill,1788366133.8327403,1788367292.651447,1158.8187067508698,91250.454,79.8774502934047,48,6144,3072,1901.051125,29.703923828125,True,,,,
small_light,D1,decode,1788366133.8327403,1788367292.651447,1158.8187067508698,34434.295,29.806338108386832,48,6144,3072,717.3811458333333,11.209080403645833,True,,,,
small_light,service_PD_pair,all,1788366133.8327403,1788367292.651447,1158.8187067508698,125684.749,108.4593718308178,48,6144,3072,2618.4322708333334,40.913004231770834,True,2520,1500,212.17963639646769,55.892836499316175
prefill_medium,P1,prefill,1788367313.9344087,1788368492.826146,1178.8917372226715,93843.708,81.02823125211948,48,49152,3072,1955.07725,30.54808203125,True,,,,
prefill_medium,D1,decode,1788367313.9344087,1788368492.826146,1178.8917372226715,35074.697,29.857694435017635,48,49152,3072,730.7228541666667,11.417544596354167,True,,,,
prefill_medium,service_PD_pair,all,1788367313.9344087,1788368492.826146,1178.8917372226715,128918.405,109.35559299424425,48,49152,3072,2685.8001041666666,41.965626627604166,True,2520,1500,303.84434496518224,56.894298420391145
prefill_heavy,P1,prefill,1788368513.9348629,1788369693.0632231,1179.1283602714539,95549.543,81.9481312977091,48,98304,3072,1990.6154791666668,31.10336686197917,True,,,,
prefill_heavy,D1,decode,1788368513.9348629,1788369693.0632231,1179.1283602714539,35241.703,30.014384902458783,48,98304,3072,734.2021458333334,11.471908528645834,True,,,,
prefill_heavy,service_PD_pair,all,1788368513.9348629,1788369693.0632231,1179.1283602714539,130791.24600000001,110.9219745761096,48,98304,3072,2724.817625,42.575275390625,True,2520,1500,474.429779604543,58.0132443348818
decode_medium,P1,prefill,1788369713.935569,1788370896.210703,1182.2751338481903,93884.227,80.5259971240053,48,6144,6144,1955.9213958333332,15.280635904947916,True,,,,
decode_medium,D1,decode,1788369713.935569,1788370896.210703,1182.2751338481903,43261.951,36.68261106411687,48,6144,6144,901.2906458333333,7.0413331705729165,True,,,,
decode_medium,service_PD_pair,all,1788369713.935569,1788370896.210703,1182.2751338481903,137146.178,116.00191366082663,48,6144,6144,2857.212041666667,22.321969075520837,True,2520,1500,199.89332505501807,55.886577066734404
decode_heavy,P1,prefill,1788370913.9315012,1788372103.366838,1189.4353368282318,94447.015,80.67493559777917,48,6144,12288,1967.6461458333333,7.686117757161458,True,,,,
decode_heavy,D1,decode,1788370913.9315012,1788372103.366838,1189.4353368282318,59977.856,50.58140003363052,48,6144,12288,1249.5386666666666,4.881010416666666,True,,,,
decode_heavy,service_PD_pair,all,1788370913.9315012,1788372103.366838,1189.4353368282318,154424.87099999998,129.83040457818575,48,6144,12288,3217.1848124999997,12.567128173828124,True,2520,1500,198.98404778214172,55.96209432318003
balanced_medium,P1,prefill,1788372113.9213488,1788373296.3085067,1182.3871579170227,94212.694,81.06004026391389,48,24576,6144,1962.7644583333333,15.334097330729167,True,,,,
balanced_medium,D1,decode,1788372113.9213488,1788373296.3085067,1182.3871579170227,43569.481,36.93074323409952,48,24576,6144,907.6975208333333,7.091386881510417,True,,,,
balanced_medium,service_PD_pair,all,1788372113.9213488,1788373296.3085067,1182.3871579170227,137782.175,116.52881552158166,48,24576,6144,2870.4619791666664,22.42548421223958,True,2520,1500,216.91105731297284,56.33478397265165
