request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_optimized_256656-0000,small_light,128,64,64,P1,D1,226.40913096256554,57.15498731782039,21914.87733006943,57.179844618538425,57.1469287129326,25517.20754103735,148.21342600043863,3678.719299961813,True,True
phase3c-xpyd_power_compare_optimized_256656-0001,small_light,128,64,64,P1,D1,228.42325002420694,57.15234003155418,246.73996400088072,57.15627442779286,57.15023176116307,3847.5852529518306,149.64297995902598,3679.071099963039,True,True
phase3c-xpyd_power_compare_optimized_256656-0002,small_light,128,64,64,P1,D1,198.68790602777153,57.15542358701073,209.49066302273422,57.15794444438957,57.153428492638916,3810.441163019277,120.62378705013543,3678.3708130242303,True,True
phase3c-xpyd_power_compare_optimized_256656-0003,small_light,128,64,64,P1,D1,195.3501870157197,57.15660923825843,204.3389679165557,57.15602331809581,57.15443396807781,3805.168436956592,117.4010660033673,3678.543146001175,True,True
phase3c-xpyd_power_compare_optimized_256656-0004,small_light,128,64,64,P1,D1,207.4897630373016,57.15401377713692,215.51982301753014,57.158881443597025,57.15484445958975,3816.5293539641425,130.94711501616985,3676.977911964059,True,True
phase3c-xpyd_power_compare_optimized_256656-0005,small_light,128,64,64,P1,D1,209.14785808417946,57.15868353939778,216.8290769914165,57.16474698523858,57.16018652402988,3818.208137061447,132.94497202150524,3676.949984044768,True,True
phase3c-xpyd_power_compare_optimized_256656-0006,small_light,128,64,64,P1,D1,206.01572701707482,57.1602417455454,214.70760903321207,57.16621826979376,57.16185854001355,3816.179360030219,129.68442996498197,3677.143833017908,True,True
phase3c-xpyd_power_compare_optimized_256656-0007,small_light,128,64,64,P1,D1,206.99614903423935,57.164277079411676,215.61493701301515,57.17087063443152,57.16657477785789,3817.379786982201,131.01001700852066,3677.08302102983,True,True
phase3c-xpyd_power_compare_optimized_256656-0008,small_light,128,64,64,P1,D1,205.56420099455863,57.15870750801904,213.14617292955518,57.16166539775533,57.15740296900982,3814.331092988141,129.4583820272237,3676.8328530015424,True,True
phase3c-xpyd_power_compare_optimized_256656-0009,small_light,128,64,64,P1,D1,207.23669603466988,57.16452574623482,215.17857909202576,57.170989490779384,57.166620538318675,3816.950917011127,129.12309600505978,3679.1967489989474,True,True
