adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,duration_s,early_stop_reason,end,energy_statistic,event,grid_index,latency_statistic,mean_power_w,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_duration_sum_s,request_energy_sum_j,sample_count,search_stage,slo_met,start,tpot_ms,ttft_ms,workload_id
True,1,P,production-00001-attempt-1-binary-slo-P-8,13.132790803909302,1631.2849567942321,1500,11.38997220993042,stable_with_slo_headroom,1788695547.3843234,mean_request_energy_j,probe_candidate_aggregated,8,p95,130.45252255195268,483.4642138021688,130.45200807615882,1710,production-00001-attempt-1-binary-slo-P-8,,11.118164777755737,1450.3926414065063,3,binary-slo,True,1788695535.9943511,55.951841346668225,181.10747707542032,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-3,13.097995042800903,1609.607625335455,1500,11.390737295150757,stable_with_slo_headroom,1788695560.8660088,mean_request_energy_j,probe_candidate_aggregated,3,p95,129.1410533552584,478.5812270765503,129.14097715380623,1200,production-00001-attempt-1-binary-slo-P-3,,11.117639541625977,1435.743681229651,3,binary-slo,True,1788695549.4752715,55.947328250788686,179.3194205733016,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-1,13.127501726150513,1594.4068320542574,1500,11.304769039154053,stable_with_slo_headroom,1788695574.321906,mean_request_energy_j,probe_candidate_aggregated,1,p95,127.74599066940229,474.1430323831737,127.74586719684754,1005,production-00001-attempt-1-binary-slo-P-1,,11.1348237991333,1422.429097149521,3,binary-slo,True,1788695563.017137,55.94731786598762,185.03358650486916,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-0,13.111396789550781,1603.0054482370615,1500,11.361601829528809,stable_with_slo_headroom,1788695587.7634563,mean_request_energy_j,probe_candidate_aggregated,0,p95,128.53087142651222,477.3234292107324,128.53092218853135,900,production-00001-attempt-1-binary-slo-P-0,,11.141061067581177,1431.9702876321971,3,binary-slo,True,1788695576.4018545,55.94824687910399,185.5192011105828,small_light
True,1,P,production-00001-attempt-1-energy-refine-P-2,13.113836526870728,1612.4630898833275,1500,11.356328964233398,stable_with_slo_headroom,1788695601.206191,mean_request_energy_j,probe_candidate_aggregated,2,p95,129.5730674386917,480.9459880677362,129.5734479632341,1110,production-00001-attempt-1-energy-refine-P-2,,11.13532304763794,1442.8379642032087,3,energy-refine,True,1788695589.849862,55.9548068239117,185.24274717783555,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-7,15.127241134643555,1673.7807739265263,975,11.395035743713379,stable_with_slo_headroom,1788695616.5672848,mean_request_energy_j,probe_candidate_aggregated,7,p95,119.83555338455358,450.35558755944174,119.83609773984762,1005,production-00001-attempt-1-binary-slo-D-7,,11.2743399143219,1351.0667626783252,3,binary-slo,True,1788695605.172249,56.65724694651241,186.73695254838094,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-3,12.895729303359985,1483.888595085591,675,11.734357595443726,stable_with_slo_headroom,1788695629.8505692,mean_request_energy_j,probe_candidate_aggregated,3,p95,119.13559678439023,454.8544725415607,119.13586551674335,1005,production-00001-attempt-1-binary-slo-D-3,,11.45386815071106,1364.5634176246822,3,binary-slo,True,1788695618.1162117,57.42676339836584,203.8861759356223,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-1,13.105083465576172,1499.4666906297207,525,11.914944887161255,,1788695643.3892314,mean_request_energy_j,probe_candidate_aggregated,1,p95,118.75864865551281,458.92278497790295,118.75927190597929,1005,production-00001-attempt-1-binary-slo-D-1,,11.592994451522827,1376.768354933709,3,binary-slo,True,1788695631.4742866,58.16397406936933,214.36243745265529,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-0,13.12318730354309,1492.9479024671018,450,11.901397466659546,stable_with_slo_headroom,1788695656.8933468,mean_request_energy_j,probe_candidate_aggregated,0,p95,117.67511213403004,458.19827588275075,117.67504678528273,1005,production-00001-attempt-1-binary-slo-D-0,,11.681270599365234,1374.5948276482522,3,binary-slo,True,1788695644.9919493,58.769940157672245,187.7983738668263,small_light
True,1,D,production-00001-attempt-1-energy-refine-D-6,12.759368896484375,1479.4237674176693,900,11.636868000030518,stable_with_slo_headroom,1788695670.0863004,mean_request_energy_j,probe_candidate_aggregated,6,p95,120.35676726961265,453.8509533194204,120.35841058321932,1005,production-00001-attempt-1-energy-refine-D-6,,11.31264066696167,1361.5528599582613,3,energy-refine,True,1788695658.4494324,56.83550348316896,192.21233753487468,small_light
