canary_active_at_end,canary_active_at_start,control_inclusive_ttft_ms,d_mhz,duration_s,end,endpoints,energy_j,frequency_changed,frequency_source,inference,mean_power_w,observed_output_tokens,p_mhz,phase,request_id,service_sequence,settle_wait_s,start,table_hit,table_revision,tpot_ms,ttft_ms,window_index,window_request_index,workload_id
small_light,,221.2510108947754,1500,3.7482781410217285,1788695531.054808,"{""P1"": {""energy_j"": 306.7992653846741, ""clock_match_fraction"": null, ""mean_power_w"": 81.85072020857152, ""samples"": 36}, ""D1"": {""energy_j"": 240.28106168285012, ""clock_match_fraction"": null, ""mean_power_w"": 64.1043841045779, ""samples"": 34}}",547.0803270675242,False,safe_high,"{""start"": 1788695527.313625, ""end"": 1788695531.054808, ""duration_s"": 3.741182804107666, ""energy_j"": 545.8505676910281, ""mean_power_w"": 145.903206625377, ""endpoints"": {""P1"": {""energy_j"": 305.72646951675415, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.71920099201755, ""samples"": 36}, ""D1"": {""energy_j"": 240.12409817427397, ""clock_match_fraction"": 1.0, ""mean_power_w"": 64.18400563335946, ""samples"": 34}}}",145.95510431314943,64,2520,production,production-00001,1,0.0,1788695527.3065298,False,0,55.92062306361243,214.14906403515488,1,1,small_light
small_light,small_light,180.82332611083984,1500,3.709768056869507,1788695539.8199959,"{""P1"": {""energy_j"": 300.7240455150604, ""clock_match_fraction"": null, ""mean_power_w"": 81.0627621201814, ""samples"": 36}, ""D1"": {""energy_j"": 240.01566709578037, ""clock_match_fraction"": null, ""mean_power_w"": 64.6982947225865, ""samples"": 33}}",540.7397126108408,False,safe_high,"{""start"": 1788695536.1144688, ""end"": 1788695539.8199959, ""duration_s"": 3.7055270671844482, ""energy_j"": 540.3049112744629, ""mean_power_w"": 145.8105423272485, ""endpoints"": {""P1"": {""energy_j"": 300.3749680519104, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.06133421935648, ""samples"": 36}, ""D1"": {""energy_j"": 239.92994322255254, ""clock_match_fraction"": 1.0, ""mean_power_w"": 64.749208107892, ""samples"": 33}}}",145.76105684276789,64,2520,production,production-00002,2,0.0,1788695536.1102278,False,0,55.947779919878236,176.58061103429645,1,2,small_light
small_light,small_light,172.55854606628418,1500,3.701817750930786,1788695548.6761103,"{""P1"": {""energy_j"": 299.27868098020554, ""clock_match_fraction"": null, ""mean_power_w"": 80.84641144339287, ""samples"": 35}, ""D1"": {""energy_j"": 241.6329238563776, ""clock_match_fraction"": null, ""mean_power_w"": 65.27412750009677, ""samples"": 33}}",540.9116048365831,False,safe_high,"{""start"": 1788695544.976713, ""end"": 1788695548.6761103, ""duration_s"": 3.699397325515747, ""energy_j"": 540.5958694070578, ""mean_power_w"": 146.13079424543596, ""endpoints"": {""P1"": {""energy_j"": 299.01475089788437, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.82796320241097, ""samples"": 35}, ""D1"": {""energy_j"": 241.5811185091734, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.302831043025, ""samples"": 33}}}",146.12053894348963,64,2520,production,production-00003,3,0.0,1788695544.9742925,False,0,55.95441028616199,170.13668396975845,1,3,small_light
small_light,small_light,176.9394874572754,1500,3.7058825492858887,1788695557.4861083,"{""P1"": {""energy_j"": 303.6514285206795, ""clock_match_fraction"": null, ""mean_power_w"": 81.93768271992109, ""samples"": 36}, ""D1"": {""energy_j"": 239.9008989147842, ""clock_match_fraction"": null, ""mean_power_w"": 64.7351597694353, ""samples"": 33}}",543.5523274354637,False,safe_high,"{""start"": 1788695553.7840762, ""end"": 1788695557.4861083, ""duration_s"": 3.7020320892333984, ""energy_j"": 543.192383300513, ""mean_power_w"": 146.72816718155326, ""endpoints"": {""P1"": {""energy_j"": 303.36988604068756, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.9468547890162, ""samples"": 36}, ""D1"": {""energy_j"": 239.82249725982547, ""clock_match_fraction"": 1.0, ""mean_power_w"": 64.78131239253707, ""samples"": 33}}}",146.67284248935638,64,2520,production,production-00004,4,0.0,1788695553.7802258,False,0,55.94249560298132,173.0887679150328,1,4,small_light
small_light,small_light,171.28801345825195,1500,3.7004714012145996,1788695566.3432536,"{""P1"": {""energy_j"": 299.6849232316017, ""clock_match_fraction"": null, ""mean_power_w"": 80.98560716703192, ""samples"": 36}, ""D1"": {""energy_j"": 241.79979826509953, ""clock_match_fraction"": null, ""mean_power_w"": 65.34297175914776, ""samples"": 33}}",541.4847214967012,False,safe_high,"{""start"": 1788695562.6462185, ""end"": 1788695566.3432536, ""duration_s"": 3.697035074234009, ""energy_j"": 541.1629402004182, ""mean_power_w"": 146.37755101972954, ""endpoints"": {""P1"": {""energy_j"": 299.4375074505806, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.99395906126783, ""samples"": 36}, ""D1"": {""energy_j"": 241.72543274983764, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.38359195846171, ""samples"": 33}}}",146.3285789261797,64,2520,production,production-00005,5,0.0,1788695562.6427822,False,0,55.94901701561101,167.84703393932432,1,5,small_light
small_light,small_light,171.70071601867676,1500,3.7006237506866455,1788695575.148867,"{""P1"": {""energy_j"": 299.58222395181656, ""clock_match_fraction"": null, ""mean_power_w"": 80.95452121989692, ""samples"": 36}, ""D1"": {""energy_j"": 239.86636414378881, ""clock_match_fraction"": null, ""mean_power_w"": 64.81781999569179, ""samples"": 33}}",539.4485880956054,False,safe_high,"{""start"": 1788695571.4515781, ""end"": 1788695575.148867, ""duration_s"": 3.697288751602173, ""energy_j"": 539.1488987617195, ""mean_power_w"": 145.82277311397067, ""endpoints"": {""P1"": {""energy_j"": 299.34894347190857, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.96444816277591, ""samples"": 36}, ""D1"": {""energy_j"": 239.7999552898109, ""clock_match_fraction"": 1.0, ""mean_power_w"": 64.85832495119475, ""samples"": 33}}}",145.7723412155887,64,2520,production,production-00006,6,0.0,1788695571.4482431,False,0,55.95037025502987,168.36143203545362,1,6,small_light
small_light,small_light,175.59075355529785,1500,3.7037315368652344,1788695583.9586492,"{""P1"": {""energy_j"": 299.39895898103714, ""clock_match_fraction"": null, ""mean_power_w"": 80.83711143773733, ""samples"": 35}, ""D1"": {""energy_j"": 243.866346988827, ""clock_match_fraction"": null, ""mean_power_w"": 65.84341887674469, ""samples"": 33}}",543.2653059698641,False,safe_high,"{""start"": 1788695580.257612, ""end"": 1788695583.9586492, ""duration_s"": 3.7010371685028076, ""energy_j"": 542.8938472680748, ""mean_power_w"": 146.68694815828974, ""endpoints"": {""P1"": {""energy_j"": 299.08558586239815, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.81128944278834, ""samples"": 35}, ""D1"": {""energy_j"": 243.8082614056766, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.8756587155014, ""samples"": 33}}}",146.68053031448204,64,2520,production,production-00007,7,0.0,1788695580.2549176,False,0,55.942686729221826,172.89187700953335,1,7,small_light
small_light,small_light,177.7670383453369,1500,3.7060251235961914,1788695592.821886,"{""P1"": {""energy_j"": 307.46986624598503, ""clock_match_fraction"": null, ""mean_power_w"": 82.96486288998157, ""samples"": 35}, ""D1"": {""energy_j"": 241.69411755353212, ""clock_match_fraction"": null, ""mean_power_w"": 65.21653509974077, ""samples"": 33}}",549.1639837995172,False,safe_high,"{""start"": 1788695589.1199677, ""end"": 1788695592.821886, ""duration_s"": 3.701918363571167, ""energy_j"": 548.7816812470555, ""mean_power_w"": 148.24251302982725, ""endpoints"": {""P1"": {""energy_j"": 307.1761140525341, ""clock_match_fraction"": 1.0, ""mean_power_w"": 82.97754944444735, ""samples"": 35}, ""D1"": {""energy_j"": 241.60556719452143, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.26496358537992, ""samples"": 33}}}",148.18139798972234,64,2520,production,production-00008,8,0.0,1788695589.115861,False,0,55.94342134870766,173.6539420671761,1,8,small_light
small_light,small_light,175.00972747802734,1500,3.7041454315185547,1788695601.5805125,"{""P1"": {""energy_j"": 300.4233832657337, ""clock_match_fraction"": null, ""mean_power_w"": 81.1046404143403, ""samples"": 36}, ""D1"": {""energy_j"": 241.37924557551742, ""clock_match_fraction"": null, ""mean_power_w"": 65.1646243480676, ""samples"": 33}}",541.8026288412511,False,safe_high,"{""start"": 1788695597.8801432, ""end"": 1788695601.5805125, ""duration_s"": 3.700369358062744, ""energy_j"": 541.453241892159, ""mean_power_w"": 146.32410700093632, ""endpoints"": {""P1"": {""energy_j"": 300.1508345603943, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.11374987645351, ""samples"": 36}, ""D1"": {""energy_j"": 241.3024073317647, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.2103571244828, ""samples"": 33}}}",146.2692647624079,64,2520,production,production-00009,9,0.0,1788695597.876367,False,0,55.952171142774795,171.23004200402647,1,9,small_light
small_light,small_light,182.4476718902588,1500,3.711272716522217,1788695610.3972096,"{""P1"": {""energy_j"": 298.7407879829407, ""clock_match_fraction"": null, ""mean_power_w"": 80.49550943884464, ""samples"": 36}, ""D1"": {""energy_j"": 244.22875751554966, ""clock_match_fraction"": null, ""mean_power_w"": 65.80727857272993, ""samples"": 32}}",542.9695454984903,False,safe_high,"{""start"": 1788695606.6928115, ""end"": 1788695610.3972096, ""duration_s"": 3.7043981552124023, ""energy_j"": 542.290830720216, ""mean_power_w"": 146.39107568854791, ""endpoints"": {""P1"": {""energy_j"": 298.2018669247627, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.4994102767186, ""samples"": 36}, ""D1"": {""energy_j"": 244.0889637954533, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.8916654118293, ""samples"": 32}}}",146.30278801157456,64,2520,production,production-00010,10,0.0,1788695606.685937,False,0,55.94930093779805,175.56924896780401,1,10,small_light
