unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789198722,P0,76.161,2520,3
1789198723,P0,76.24335294117647,2520,17
1789198724,P0,77.26570588235293,2520,17
1789198725,P0,78.1834705882353,2520,17
1789198726,P0,77.5310588235294,2520,17
1789198727,P0,77.05758823529412,2520,17
1789198728,P0,78.701,2520,17
1789198729,P0,77.99612499999999,2520,16
1789198730,P0,76.60877777777777,2520,18
1789198731,P0,76.36535294117647,2520,17
1789198732,P0,76.383,2520,17
1789198733,P0,76.20017647058823,2520,17
1789198734,P0,78.842,2520,16
1789198735,P0,86.4779411764706,2520,17
1789198736,P0,84.34888235294117,2520,17
1789198737,P0,76.58600000000001,2520,17
1789198738,P0,76.38229411764706,2520,17
1789198739,P0,73.82841176470588,2281.764705882353,17
1789198740,P0,70.10523529411765,1710,17
1789198741,P0,67.54975,1710,16
1789198742,P0,64.36770588235294,1710,17
1789198743,P0,73.58594117647058,1710,17
1789198744,P0,65.817,1710,17
1789198745,P0,64.375,1710,17
1789198746,P0,65.02012500000001,1710,16
1789198747,P0,72.92005882352942,1710,17
1789198748,P0,70.45670588235295,1710,17
1789198749,P0,65.04529411764706,1710,17
1789198750,P0,64.21264705882353,1710,17
1789198751,P0,63.608823529411765,1710,17
1789198752,P0,63.46047058823529,1650,17
1789198753,P0,65.5903125,1200,16
1789198754,P0,66.57276470588235,1200,17
1789198755,P0,63.14817647058823,1200,17
1789198756,P0,75.11988235294118,1200,17
1789198757,P0,77.87158823529413,1200,17
1789198758,P0,66.71429411764706,1200,17
1789198759,P0,62.308470588235295,1200,17
1789198760,P0,64.6968125,1200,16
1789198761,P0,66.81329411764706,1200,17
1789198762,P0,64.0460588235294,1200,17
1789198763,P0,62.567764705882354,1200,17
1789198764,P0,61.95676470588236,1200,17
1789198765,P0,61.71970588235294,1200,17
1789198766,P0,63.88005882352941,1050.8823529411766,17
1789198767,P0,67.00823529411765,1005,17
1789198768,P0,64.4971875,1005,16
1789198769,P0,66.16458823529412,1005,17
1789198770,P0,69.29711764705883,1005,17
1789198771,P0,64.44482352941176,1005,17
1789198772,P0,61.33405882352941,1005,17
1789198773,P0,66.038375,1005,16
1789198774,P0,64.97647058823529,1005,17
1789198775,P0,61.9515294117647,1005,17
1789198776,P0,61.11911764705882,1005,17
1789198777,P0,61.08,1005,17
1789198778,P0,61.16611764705882,1005,17
1789198779,P0,63.54994117647059,930.8823529411765,17
1789198780,P0,65.58694117647059,900,17
1789198781,P0,61.23564705882353,900,17
1789198782,P0,66.7388125,900,16
1789198783,P0,67.56464705882354,900,17
1789198784,P0,62.299,900,17
1789198785,P0,60.61170588235294,900,17
1789198786,P0,66.8365294117647,900,17
1789198787,P0,65.1774375,900,16
1789198788,P0,61.762882352941176,900,17
1789198789,P0,60.756058823529415,900,17
1789198790,P0,60.634058823529415,900,17
1789198791,P0,60.66994117647059,900,17
1789198792,P0,68.45970588235294,900,17
1789198793,P0,65.46564705882352,900,17
1789198794,P0,61.66882352941176,900,17
1789198795,P0,68.734625,900,16
1789198796,P0,63.790588235294116,900,17
1789198797,P0,61.76829411764706,900,17
1789198798,P0,61.1375294117647,900,17
1789198799,P0,72.44170588235295,900,17
1789198800,P0,64.564,900,16
1789198801,P0,61.05905882352941,900,17
1789198802,P0,60.72329411764706,900,17
1789198803,P0,60.71317647058824,900,17
1789198804,P0,61.206823529411764,900,17
1789198805,P0,71.31429411764705,900,17
1789198806,P0,63.463,900,17
1789198807,P0,60.835,900,17
1789198808,P0,72.9145625,900,16
1789198809,P0,63.36147058823529,900,17
1789198810,P0,60.97941176470588,900,17
1789198811,P0,61.386529411764705,900,17
1789198812,P0,71.51276470588235,900,17
1789198813,P0,66.94494117647059,900,17
1789198814,P0,61.205999999999996,900,17
1789198815,P0,60.95211764705882,900,17
1789198816,P0,60.958,900,16
1789198817,P0,60.958,900,17
1789198818,P0,64.62794117647059,900,17
1789198819,P0,66.45941176470589,900,17
1789198820,P0,61.74411764705882,900,17
1789198821,P0,69.3280588235294,900,17
1789198822,P0,64.00605882352941,900,17
1789198823,P0,60.99076470588235,900,17
1789198824,P0,60.8364375,900,16
1789198825,P0,71.13035294117647,900,17
1789198826,P0,68.896,900,17
1789198827,P0,60.951,900,17
1789198828,P0,60.716,900,17
1789198829,P0,60.591,900,17
1789198830,P0,60.591,900,17
1789198831,P0,63.262,900,16
1789198832,P0,65.41888235294117,900,17
1789198833,P0,61.533470588235296,900,17
1789198834,P0,70.1514705882353,900,17
1789198835,P0,69.01688235294118,900,17
1789198836,P0,62.534588235294116,900,17
1789198837,P0,60.893235294117645,900,17
1789198838,P0,64.2959375,900,16
1789198839,P0,66.54435294117647,900,17
1789198840,P0,63.23894117647058,900,17
1789198841,P0,60.84376470588235,900,17
1789198842,P0,60.914941176470585,900,17
1789198843,P0,61.036941176470584,900,17
1789198844,P0,63.75658823529412,900,17
1789198845,P0,63.55705882352941,900,17
1789198846,P0,61.132999999999996,900,16
1789198847,P0,67.58347058823529,900,17
1789198848,P0,67.66694117647059,900,17
1789198849,P0,62.211882352941174,900,17
1789198850,P0,60.60005882352941,900,17
1789198851,P0,62.043470588235294,900,17
1789198852,P0,62.97925,900,16
1789198853,P0,61.740529411764705,900,17
1789198854,P0,61.08858823529412,900,17
1789198855,P0,61.33941176470588,900,17
1789198856,P0,61.36705882352941,900,17
1789198857,P0,63.610470588235295,900,17
1789198858,P0,65.59406249999999,900,16
1789198859,P0,63.99676470588235,900,17
1789198860,P0,68.61364705882353,900,17
1789198861,P0,68.1224705882353,900,17
1789198862,P0,62.87417647058824,900,17
1789198863,P0,60.67770588235294,900,17
1789198864,P0,68.4404375,900,16
1789198865,P0,65.28164705882352,900,17
1789198866,P0,61.69664705882353,900,17
1789198867,P0,61.07982352941176,900,17
1789198868,P0,61.280941176470584,900,17
1789198869,P0,61.00017647058824,900,17
1789198870,P0,70.4271875,900,16
1789198871,P0,64.80376470588236,900,17
1789198872,P0,61.55582352941177,900,17
1789198873,P0,68.85782352941176,900,17
1789198874,P0,64.88623529411764,900,17
1789198875,P0,61.22694117647059,900,17
1789198876,P0,60.595125,900,16
1789198877,P0,70.71547058823529,900,17
1789198878,P0,64.258,900,17
1789198879,P0,61.16717647058823,900,17
1789198880,P0,60.837294117647055,900,17
1789198881,P0,60.950823529411764,900,17
1789198882,P0,61.072823529411764,900,17
1789198883,P0,64.658875,900,16
1789198884,P0,66.0475294117647,900,17
1789198885,P0,62.17988235294118,900,17
1789198886,P0,71.66541176470588,900,17
1789198887,P0,64.61082352941176,900,17
1789198888,P0,61.20223529411764,900,17
1789198889,P0,61.909588235294116,900,17
1789198890,P0,72.28176470588235,900,17
1789198891,P0,64.412,900,16
1789198892,P0,60.94094117647059,900,17
1789198893,P0,60.591,900,17
1789198894,P0,60.591,900,17
1789198895,P0,60.591,900,17
1789198896,P0,61.934,1710,17
1789198897,P0,63.4,1710,17
1789198898,P0,66.501,1710,17
1789198899,P0,69.3035,1710,16
1789198900,P0,65.15617647058824,1710,17
1789198901,P0,63.74135294117647,1710,17
1789198902,P0,64.2915294117647,1710,17
1789198903,P0,66.92964705882353,1710,17
1789198904,P0,79.88223529411765,1710,17
1789198905,P0,71.97958823529412,1710,17
1789198906,P0,63.502647058823534,1710,17
1789198907,P0,63.401,1710,16
1789198908,P0,63.45394117647059,1710,17
1789198909,P0,63.70811764705882,1710,17
1789198910,P0,64.03264705882353,1710,17
1789198911,P0,69.10676470588236,1710,17
1789198912,P0,75.23635294117646,1710,17
1789198913,P0,68.71235294117648,1710,17
1789198914,P0,64.42982352941176,1710,17
1789198915,P0,63.56325,1710,16
1789198916,P0,63.31417647058824,1710,17
1789198917,P0,63.37517647058824,1710,17
1789198918,P0,63.393,1710,17
1789198919,P0,63.47176470588235,1710,17
1789198920,P0,63.51141176470588,1710,17
1789198921,P0,64.74635294117647,1410,17
1789198922,P0,67.6509411764706,1200,17
1789198923,P0,64.87225000000001,1200,16
1789198924,P0,61.750058823529415,1200,17
1789198925,P0,61.867588235294114,1200,17
1789198926,P0,62.145875,1200,16
1789198927,P0,68.37570588235295,1200,17
1789198928,P0,70.83482352941176,1200,17
1789198929,P0,64.81305882352942,1200,17
1789198930,P0,62.38364705882353,1200,17
