actuation_duration_ms,applied_policy,client_first_token_mono_ns,client_first_token_wall_ns,client_last_chunk_wall_ns,client_stream_chunk_count,control_inclusive,d_mhz,duration_s,endpoints,energy_j,frequency_changed,frequency_source,idle_energy_excluded,input_len,intervals,mean_power_w,observed_output_tokens,output_len,p_mhz,pair_id,phase,proxy_timestamps_monotonic_s,proxy_timestamps_wall_s,request_active_boundary,request_complete_mono_ns,request_complete_wall_ns,request_id,request_send_mono_ns,request_send_wall_ns,settle_wait_s,table_hit,table_revision,tpot_ms,ttft_ms,workload_id
4.841281,safe_high,1377091895157993,1789198732365817855,1789198736790203027,80,"{""duration_s"": 4.608468532562256, ""end"": 1789198736.7928164, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 306.9231708161533, ""mean_power_w"": 66.59981914762203, ""samples"": 70}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 388.59555005282164, ""mean_power_w"": 84.32205781749516, ""samples"": 80}}, ""energy_j"": 695.5187208689749, ""mean_power_w"": 150.92187696511718, ""start"": 1789198732.1843479}",1500,4.603612661361694,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 4.603612661361694, ""energy_j"": 306.9231708161533, ""interval_count"": 1, ""intervals"": [[1789198732.1892037, 1789198736.7928164]], ""mean_power_w"": 66.67006835570068, ""samples"": 70}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 4.603612661361694, ""energy_j"": 387.92242808640003, ""interval_count"": 1, ""intervals"": [[1789198732.1892037, 1789198736.7928164]], ""mean_power_w"": 84.26478433823256, ""samples"": 80}}",694.8455989025533,False,safe_high,True,200,"[[1789198732.1892037, 1789198736.7928164]]",150.93485269393324,80,80,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377091.895148291, ""decode_first_real_chunk_received"": 1377091.895138371, ""decode_last_chunk_received"": 1377096.319528401, ""decode_request_started"": 1377091.819115302, ""decode_response_headers_received"": 1377091.828862578, ""kv_handoff_completed"": 1377091.818995151, ""prefill_completed"": 1377091.818989138, ""prefill_started"": 1377091.718711136, ""request_received"": 1377091.718582925, ""response_completed"": 1377096.319690645, ""route_selected"": 1377091.71860023}","{""decode_first_real_chunk_forwarded"": 1789198732.3658109, ""decode_first_real_chunk_received"": 1789198732.3658085, ""decode_last_chunk_received"": 1789198736.7901976, ""decode_request_started"": 1789198732.2897782, ""decode_response_headers_received"": 1789198732.2995267, ""kv_handoff_completed"": 1789198732.2896583, ""prefill_completed"": 1789198732.289655, ""prefill_started"": 1789198732.189375, ""request_received"": 1789198732.1892478, ""response_completed"": 1789198736.7903538, ""route_selected"": 1789198732.1892643}",client_send_to_completed_stream,1377096322155415,1789198736792816424,online-production-00001,1377091718542462,1789198732189203721,0.0,False,0,56.0049370868438,176.55544611625373,small_light
0.710064,safe_high,1377097570850604,1789198738041511657,1789198740671747018,48,"{""duration_s"": 2.8093862533569336, ""end"": 1789198740.6748018, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 180.65300000086427, ""mean_power_w"": 64.30336867527636, ""samples"": 44}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 236.66449911147356, ""mean_power_w"": 84.24064111109084, ""samples"": 49}}, ""energy_j"": 417.3174991123378, ""mean_power_w"": 148.5440097863672, ""start"": 1789198737.8654156}",1500,2.8086535930633545,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 2.8086535930633545, ""energy_j"": 180.65300000086427, ""interval_count"": 1, ""intervals"": [[1789198737.8661482, 1789198740.6748018]], ""mean_power_w"": 64.32014273566178, ""samples"": 44}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 2.8086535930633545, ""energy_j"": 236.5595726147294, ""interval_count"": 1, ""intervals"": [[1789198737.8661482, 1789198740.6748018]], ""mean_power_w"": 84.22525768181956, ""samples"": 49}}",417.2125726155937,False,safe_high,True,128,"[[1789198737.8661482, 1789198740.6748018]]",148.54540041748135,48,48,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377097.570842877, ""decode_first_real_chunk_received"": 1377097.570833564, ""decode_last_chunk_received"": 1377100.201072132, ""decode_request_started"": 1377097.496644006, ""decode_response_headers_received"": 1377097.505627965, ""kv_handoff_completed"": 1377097.496542563, ""prefill_completed"": 1377097.49653955, ""prefill_started"": 1377097.395735429, ""request_received"": 1377097.395551372, ""response_completed"": 1377100.201213753, ""route_selected"": 1377097.395576627}","{""decode_first_real_chunk_forwarded"": 1789198738.0415058, ""decode_first_real_chunk_received"": 1789198738.041503, ""decode_last_chunk_received"": 1789198740.6717417, ""decode_request_started"": 1789198737.9673073, ""decode_response_headers_received"": 1789198737.9762917, ""kv_handoff_completed"": 1789198737.967205, ""prefill_completed"": 1789198737.9672031, ""prefill_started"": 1789198737.8663988, ""request_received"": 1789198737.8662174, ""response_completed"": 1789198740.6718771, ""route_selected"": 1789198737.8662412}",client_send_to_completed_stream,1377100204140860,1789198740674801959,online-production-00002,1377097395487486,1789198737866148472,0.0,False,0,55.96252272222588,175.28219195082784,small_light
0.50788,safe_high,1377101563175310,1789198742033836179,1789198751027575517,160,"{""duration_s"": 9.230821132659912, ""end"": 1789198751.031272, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 614.8936694338918, ""mean_power_w"": 66.6131063095041, ""samples"": 132}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 766.3859698921442, ""mean_power_w"": 83.02467991504737, ""samples"": 157}}, ""energy_j"": 1381.279639326036, ""mean_power_w"": 149.63778622455146, ""start"": 1789198741.8004508}",1500,9.230298519134521,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 9.230298519134521, ""energy_j"": 614.8750393725932, ""interval_count"": 1, ""intervals"": [[1789198741.8009734, 1789198751.031272]], ""mean_power_w"": 66.61485954088589, ""samples"": 132}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 9.230298519134521, ""energy_j"": 766.3178052008152, ""interval_count"": 1, ""intervals"": [[1789198741.8009734, 1789198751.031272]], ""mean_power_w"": 83.02199583385402, ""samples"": 157}}",1381.1928445734084,False,safe_high,True,640,"[[1789198741.8009734, 1789198751.031272]]",149.63685537473992,160,160,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377101.563167189, ""decode_first_real_chunk_received"": 1377101.563157969, ""decode_last_chunk_received"": 1377110.556900426, ""decode_request_started"": 1377101.485375917, ""decode_response_headers_received"": 1377101.497021567, ""kv_handoff_completed"": 1377101.485292638, ""prefill_completed"": 1377101.485289186, ""prefill_started"": 1377101.330469737, ""request_received"": 1377101.330349883, ""response_completed"": 1377110.557057543, ""route_selected"": 1377101.330369052}","{""decode_first_real_chunk_forwarded"": 1789198742.0338302, ""decode_first_real_chunk_received"": 1789198742.0338275, ""decode_last_chunk_received"": 1789198751.0275702, ""decode_request_started"": 1789198741.956039, ""decode_response_headers_received"": 1789198741.9676855, ""kv_handoff_completed"": 1789198741.9559553, ""prefill_completed"": 1789198741.9559534, ""prefill_started"": 1789198741.8011324, ""request_received"": 1789198741.8010156, ""response_completed"": 1789198751.027721, ""route_selected"": 1789198741.801033}",client_send_to_completed_stream,1377110560610785,1789198751031271811,online-production-00003,1377101330312142,1789198741800973361,0.0,False,0,56.56441796934173,232.80808585695922,balanced_medium
1.00817,safe_high,1377112106494136,1789198752577154028,1789198766864022498,256,"{""duration_s"": 14.47608995437622, ""end"": 1789198766.867243, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 976.888315372169, ""mean_power_w"": 67.4828851196002, ""samples"": 210}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 1176.9154925495386, ""mean_power_w"": 81.30064791382075, ""samples"": 247}}, ""energy_j"": 2153.8038079217076, ""mean_power_w"": 148.78353303342095, ""start"": 1789198752.391153}",1500,14.47506594657898,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 14.47506594657898, ""energy_j"": 976.8468253314495, ""interval_count"": 1, ""intervals"": [[1789198752.392177, 1789198766.867243]], ""mean_power_w"": 67.48479274198515, ""samples"": 210}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 14.47506594657898, ""energy_j"": 1176.855123989284, ""interval_count"": 1, ""intervals"": [[1789198752.392177, 1789198766.867243]], ""mean_power_w"": 81.30222883491737, ""samples"": 246}}",2153.7019493207335,False,safe_high,True,128,"[[1789198752.392177, 1789198766.867243]]",148.78702157690253,256,256,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377112.106484106, ""decode_first_real_chunk_received"": 1377112.106473735, ""decode_last_chunk_received"": 1377126.393352305, ""decode_request_started"": 1377112.029792596, ""decode_response_headers_received"": 1377112.040986283, ""kv_handoff_completed"": 1377112.029694682, ""prefill_completed"": 1377112.029689092, ""prefill_started"": 1377111.921704185, ""request_received"": 1377111.921555948, ""response_completed"": 1377126.39346098, ""route_selected"": 1377111.921588092}","{""decode_first_real_chunk_forwarded"": 1789198752.5771468, ""decode_first_real_chunk_received"": 1789198752.5771441, ""decode_last_chunk_received"": 1789198766.8640194, ""decode_request_started"": 1789198752.5004556, ""decode_response_headers_received"": 1789198752.5116503, ""kv_handoff_completed"": 1789198752.5003574, ""prefill_completed"": 1789198752.5003548, ""prefill_started"": 1789198752.3923674, ""request_received"": 1789198752.3922212, ""response_completed"": 1789198766.8641243, ""route_selected"": 1789198752.3922522}",client_send_to_completed_stream,1377126396582032,1789198766867243106,online-production-00004,1377111921515956,1789198752392177160,0.0,False,0,56.026974784246846,184.9177870899439,decode_heavy
0.47608,safe_high,1377127503292175,1789198767973953377,1789198773318179510,96,"{""duration_s"": 5.546515941619873, ""end"": 1789198773.3216822, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 369.6009408123791, ""mean_power_w"": 66.63659578420616, ""samples"": 80}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 465.0335265919566, ""mean_power_w"": 83.8424574069001, ""samples"": 95}}, ""energy_j"": 834.6344674043357, ""mean_power_w"": 150.47905319110626, ""start"": 1789198767.7751663}",1500,5.546024799346924,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.546024799346924, ""energy_j"": 369.58293848484755, ""interval_count"": 1, ""intervals"": [[1789198767.7756574, 1789198773.3216822]], ""mean_power_w"": 66.63925096915688, ""samples"": 80}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.546024799346924, ""energy_j"": 464.96629121899605, ""interval_count"": 1, ""intervals"": [[1789198767.7756574, 1789198773.3216822]], ""mean_power_w"": 83.83775912320992, ""samples"": 95}}",834.5492297038436,False,safe_high,True,384,"[[1789198767.7756574, 1789198773.3216822]]",150.47701009236678,96,96,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377127.503287145, ""decode_first_real_chunk_received"": 1377127.503280158, ""decode_last_chunk_received"": 1377132.847504731, ""decode_request_started"": 1377127.42634882, ""decode_response_headers_received"": 1377127.437841621, ""kv_handoff_completed"": 1377127.42626326, ""prefill_completed"": 1377127.42625918, ""prefill_started"": 1377127.3051808, ""request_received"": 1377127.305052118, ""response_completed"": 1377132.847647935, ""route_selected"": 1377127.305085382}","{""decode_first_real_chunk_forwarded"": 1789198767.97395, ""decode_first_real_chunk_received"": 1789198767.9739478, ""decode_last_chunk_received"": 1789198773.3181741, ""decode_request_started"": 1789198767.897012, ""decode_response_headers_received"": 1789198767.9085057, ""kv_handoff_completed"": 1789198767.8969257, ""prefill_completed"": 1789198767.8969235, ""prefill_started"": 1789198767.775844, ""request_received"": 1789198767.7757168, ""response_completed"": 1789198773.3183115, ""route_selected"": 1789198767.7757494}",client_send_to_completed_stream,1377132851021200,1789198773321682268,online-production-00005,1377127304996247,1789198767775657376,0.0,False,0,56.254995506452886,198.22804001159966,balanced_medium
0.499286,safe_high,1377134145953442,1789198774616614431,1789198792527520477,320,"{""duration_s"": 18.10464119911194, ""end"": 1789198792.531216, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 1230.664223831147, ""mean_power_w"": 67.9750683980146, ""samples"": 261}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 1476.302853628993, ""mean_power_w"": 81.54278438290221, ""samples"": 307}}, ""energy_j"": 2706.96707746014, ""mean_power_w"": 149.5178527809168, ""start"": 1789198774.4265747}",1500,18.104126691818237,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 18.104126691818237, ""energy_j"": 1230.644940726459, ""interval_count"": 1, ""intervals"": [[1789198774.4270892, 1789198792.531216]], ""mean_power_w"": 67.97593508239324, ""samples"": 261}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 18.104126691818237, ""energy_j"": 1476.2178523987532, ""interval_count"": 1, ""intervals"": [[1789198774.4270892, 1789198792.531216]], ""mean_power_w"": 81.54040664474014, ""samples"": 307}}",2706.862793125212,False,safe_high,True,200,"[[1789198774.4270892, 1789198792.531216]]",149.51634172713338,320,320,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377134.145945655, ""decode_first_real_chunk_received"": 1377134.145936618, ""decode_last_chunk_received"": 1377152.056850641, ""decode_request_started"": 1377134.071985035, ""decode_response_headers_received"": 1377134.081214956, ""kv_handoff_completed"": 1377134.071898478, ""prefill_completed"": 1377134.071894434, ""prefill_started"": 1377133.956588625, ""request_received"": 1377133.956466024, ""response_completed"": 1377152.056962236, ""route_selected"": 1377133.956491121}","{""decode_first_real_chunk_forwarded"": 1789198774.6166086, ""decode_first_real_chunk_received"": 1789198774.616606, ""decode_last_chunk_received"": 1789198792.527518, ""decode_request_started"": 1789198774.542648, ""decode_response_headers_received"": 1789198774.551879, ""kv_handoff_completed"": 1789198774.5425613, ""prefill_completed"": 1789198774.542559, ""prefill_started"": 1789198774.427252, ""request_received"": 1789198774.4271305, ""response_completed"": 1789198792.5276258, ""route_selected"": 1789198774.4271553}",client_send_to_completed_stream,1377152060554847,1789198792531215902,online-production-00006,1377133956427864,1789198774427089036,0.0,False,0,56.14706590263681,189.4705940503627,decode_heavy
0.520369,safe_high,1377153438796230,1789198793909457149,1789198802902575341,160,"{""duration_s"": 9.23028826713562, ""end"": 1789198802.9064262, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 623.6020037122071, ""mean_power_w"": 67.56040392937, ""samples"": 129}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 764.0099323019385, ""mean_power_w"": 82.77205545380319, ""samples"": 158}}, ""energy_j"": 1387.6119360141456, ""mean_power_w"": 150.3324593831732, ""start"": 1789198793.676138}",1500,9.229737043380737,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 9.229737043380737, ""energy_j"": 623.5819459408522, ""interval_count"": 1, ""intervals"": [[1789198793.6766891, 1789198802.9064262]], ""mean_power_w"": 67.56226564310026, ""samples"": 129}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 9.229737043380737, ""energy_j"": 763.9358690455556, ""interval_count"": 1, ""intervals"": [[1789198793.6766891, 1789198802.9064262]], ""mean_power_w"": 82.76897439818453, ""samples"": 158}}",1387.5178149864078,False,safe_high,True,640,"[[1789198793.6766891, 1789198802.9064262]]",150.3312400412848,160,160,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377153.438788614, ""decode_first_real_chunk_received"": 1377153.43877939, ""decode_last_chunk_received"": 1377162.431904942, ""decode_request_started"": 1377153.35911121, ""decode_response_headers_received"": 1377153.3722033, ""kv_handoff_completed"": 1377153.359026368, ""prefill_completed"": 1377153.359022957, ""prefill_started"": 1377153.206188712, ""request_received"": 1377153.206067151, ""response_completed"": 1377162.432040416, ""route_selected"": 1377153.206089891}","{""decode_first_real_chunk_forwarded"": 1789198793.9094515, ""decode_first_real_chunk_received"": 1789198793.9094486, ""decode_last_chunk_received"": 1789198802.902572, ""decode_request_started"": 1789198793.8297744, ""decode_response_headers_received"": 1789198793.8428671, ""kv_handoff_completed"": 1789198793.8296888, ""prefill_completed"": 1789198793.8296869, ""prefill_started"": 1789198793.6768517, ""request_received"": 1789198793.6767323, ""response_completed"": 1789198802.9027035, ""route_selected"": 1789198793.676754}",client_send_to_completed_stream,1377162435765145,1789198802906426134,online-production-00007,1377153206027839,1789198793676689125,0.0,False,0,56.56053806338811,232.71223902702332,balanced_medium
0.774114,safe_high,1377163896823853,1789198804367483412,1789198823018066951,320,"{""duration_s"": 19.21828818321228, ""end"": 1789198823.0221446, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 1298.0537502542138, ""mean_power_w"": 67.5426311583828, ""samples"": 269}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 1611.5349999964237, ""mean_power_w"": 83.85424261689161, ""samples"": 326}}, ""energy_j"": 2909.5887502506375, ""mean_power_w"": 151.39687377527443, ""start"": 1789198803.8038564}",1500,19.217490911483765,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 19.217490911483765, ""energy_j"": 1298.02096568048, ""interval_count"": 1, ""intervals"": [[1789198803.8046536, 1789198823.0221446]], ""mean_power_w"": 67.54372730858552, ""samples"": 269}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 19.217490911483765, ""energy_j"": 1611.5349999964237, ""interval_count"": 1, ""intervals"": [[1789198803.8046536, 1789198823.0221446]], ""mean_power_w"": 83.85772145901844, ""samples"": 326}}",2909.5559656769037,False,safe_high,True,2304,"[[1789198803.8046536, 1789198823.0221446]]",151.40144876760394,320,320,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377163.89681422, ""decode_first_real_chunk_received"": 1377163.896805133, ""decode_last_chunk_received"": 1377182.547392208, ""decode_request_started"": 1377163.805302001, ""decode_response_headers_received"": 1377163.826555609, ""kv_handoff_completed"": 1377163.80518097, ""prefill_completed"": 1377163.805174157, ""prefill_started"": 1377163.334266215, ""request_received"": 1377163.334082203, ""response_completed"": 1377182.547534811, ""route_selected"": 1377163.334109165}","{""decode_first_real_chunk_forwarded"": 1789198804.367477, ""decode_first_real_chunk_received"": 1789198804.3674743, ""decode_last_chunk_received"": 1789198823.0180616, ""decode_request_started"": 1789198804.2759655, ""decode_response_headers_received"": 1789198804.2972212, ""kv_handoff_completed"": 1789198804.2758434, ""prefill_completed"": 1789198804.2758405, ""prefill_started"": 1789198803.8049295, ""request_received"": 1789198803.8047495, ""response_completed"": 1789198823.018198, ""route_selected"": 1789198803.8047736}",client_send_to_completed_stream,1377182551483644,1789198823022144611,online-production-00008,1377163333992464,1789198803804653540,0.0,False,0,58.46579020352433,562.7229299861938,both_heavy
0.666666,safe_high,1377184092215918,1789198824562876824,1789198829874854207,96,"{""duration_s"": 5.497902154922485, ""end"": 1789198829.8819447, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 371.221307978034, ""mean_power_w"": 67.52053738272973, ""samples"": 78}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 455.39977560937405, ""mean_power_w"": 82.83155334105699, ""samples"": 95}}, ""energy_j"": 826.6210835874081, ""mean_power_w"": 150.35209072378672, ""start"": 1789198824.3840425}",1500,5.497220993041992,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.497220993041992, ""energy_j"": 371.19521271809936, ""interval_count"": 1, ""intervals"": [[1789198824.3847237, 1789198829.8819447]], ""mean_power_w"": 67.52415687634407, ""samples"": 78}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.497220993041992, ""energy_j"": 455.3091853186488, ""interval_count"": 1, ""intervals"": [[1789198824.3847237, 1789198829.8819447]], ""mean_power_w"": 82.82533772881756, ""samples"": 95}}",826.5043980367482,False,safe_high,True,96,"[[1789198824.3847237, 1789198829.8819447]]",150.34949460516162,96,96,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377184.092208441, ""decode_first_real_chunk_received"": 1377184.092199221, ""decode_last_chunk_received"": 1377189.404180857, ""decode_request_started"": 1377184.016688794, ""decode_response_headers_received"": 1377184.027684666, ""kv_handoff_completed"": 1377184.016603371, ""prefill_completed"": 1377184.016599505, ""prefill_started"": 1377183.914228644, ""request_received"": 1377183.914097308, ""response_completed"": 1377189.404314309, ""route_selected"": 1377183.914134197}","{""decode_first_real_chunk_forwarded"": 1789198824.562871, ""decode_first_real_chunk_received"": 1789198824.5628686, ""decode_last_chunk_received"": 1789198829.8748496, ""decode_request_started"": 1789198824.487352, ""decode_response_headers_received"": 1789198824.4983487, ""kv_handoff_completed"": 1789198824.4872663, ""prefill_completed"": 1789198824.4872637, ""prefill_started"": 1789198824.384892, ""request_received"": 1789198824.3847623, ""response_completed"": 1789198829.8749778, ""route_selected"": 1789198824.384798}",client_send_to_completed_stream,1377189411286315,1789198829881944568,online-production-00009,1377183914062394,1789198824384723716,0.0,False,0,55.91559616701775,178.10191307216883,decode_medium
0.989225,safe_high,1377190638926921,1789198831109587616,1789198843590596711,224,"{""duration_s"": 12.673568725585938, ""end"": 1789198843.593651, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 868.6420794278383, ""mean_power_w"": 68.53965905232256, ""samples"": 179}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 1036.4130000025034, ""mean_power_w"": 81.77751842779287, ""samples"": 216}}, ""energy_j"": 1905.0550794303417, ""mean_power_w"": 150.31717748011542, ""start"": 1789198830.9200823}",1500,12.672514915466309,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 12.672514915466309, ""energy_j"": 868.6420794278383, ""interval_count"": 1, ""intervals"": [[1789198830.9211361, 1789198843.593651]], ""mean_power_w"": 68.54535861446844, ""samples"": 179}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 12.672514915466309, ""energy_j"": 1036.4130000025034, ""interval_count"": 1, ""intervals"": [[1789198830.9211361, 1789198843.593651]], ""mean_power_w"": 81.7843188124878, ""samples"": 216}}",1905.0550794303417,False,safe_high,True,96,"[[1789198830.9211361, 1789198843.593651]]",150.32967742695624,224,224,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377190.638918284, ""decode_first_real_chunk_received"": 1377190.638909105, ""decode_last_chunk_received"": 1377203.119926929, ""decode_request_started"": 1377190.564895347, ""decode_response_headers_received"": 1377190.573956175, ""kv_handoff_completed"": 1377190.564782275, ""prefill_completed"": 1377190.564776735, ""prefill_started"": 1377190.451788498, ""request_received"": 1377190.450615791, ""response_completed"": 1377203.120059782, ""route_selected"": 1377190.450671816}","{""decode_first_real_chunk_forwarded"": 1789198831.1095812, ""decode_first_real_chunk_received"": 1789198831.1095781, ""decode_last_chunk_received"": 1789198843.5905936, ""decode_request_started"": 1789198831.035559, ""decode_response_headers_received"": 1789198831.0446205, ""kv_handoff_completed"": 1789198831.035445, ""prefill_completed"": 1789198831.0354424, ""prefill_started"": 1789198830.9224524, ""request_received"": 1789198830.921295, ""response_completed"": 1789198843.590723, ""route_selected"": 1789198830.9213364}",client_send_to_completed_stream,1377203122989782,1789198843593650853,online-production-00010,1377190450475586,1789198830921136025,0.0,False,0,55.96868979385449,188.2933140732348,decode_heavy
0.761893,safe_high,1377204365513051,1789198844836174424,1789198850146805314,96,"{""duration_s"": 5.506187677383423, ""end"": 1789198850.1503644, ""endpoints"": {""D1"": {""clock_match_fraction"": null, ""energy_j"": 374.8082302324474, ""mean_power_w"": 68.07036959019145, ""samples"": 78}, ""P1"": {""clock_match_fraction"": null, ""energy_j"": 457.79750476777554, ""mean_power_w"": 83.1423721076874, ""samples"": 94}}, ""energy_j"": 832.6057350002229, ""mean_power_w"": 151.21274169787884, ""start"": 1789198844.6441767}",1500,5.505382537841797,"{""D1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.505382537841797, ""energy_j"": 374.8082302324474, ""interval_count"": 1, ""intervals"": [[1789198844.6449819, 1789198850.1503644]], ""mean_power_w"": 68.08032460163587, ""samples"": 78}, ""P1"": {""clock_match_fraction"": 1.0, ""duration_s"": 5.505382537841797, ""energy_j"": 457.69317422807217, ""interval_count"": 1, ""intervals"": [[1789198844.6449819, 1789198850.1503644]], ""mean_power_w"": 83.13558069436091, ""samples"": 94}}",832.5014044605196,False,safe_high,True,96,"[[1789198844.6449819, 1789198850.1503644]]",151.21590529599678,96,96,2520,,production_online_feedback,"{""decode_first_real_chunk_forwarded"": 1377204.365508193, ""decode_first_real_chunk_received"": 1377204.365501706, ""decode_last_chunk_received"": 1377209.676135127, ""decode_request_started"": 1377204.292477247, ""decode_response_headers_received"": 1377204.301504253, ""kv_handoff_completed"": 1377204.292393671, ""prefill_completed"": 1377204.292389988, ""prefill_started"": 1377204.174585921, ""request_received"": 1377204.174367624, ""response_completed"": 1377209.676259705, ""route_selected"": 1377204.174488502}","{""decode_first_real_chunk_forwarded"": 1789198844.836171, ""decode_first_real_chunk_received"": 1789198844.8361688, ""decode_last_chunk_received"": 1789198850.1468024, ""decode_request_started"": 1789198844.7631404, ""decode_response_headers_received"": 1789198844.772168, ""kv_handoff_completed"": 1789198844.763056, ""prefill_completed"": 1789198844.7630544, ""prefill_started"": 1789198844.6452487, ""request_received"": 1789198844.645034, ""response_completed"": 1789198850.146923, ""route_selected"": 1789198844.6451533}",client_send_to_completed_stream,1377209679703378,1789198850150364463,online-production-00011,1377204174320587,1789198844644981856,0.0,False,0,55.901404430991725,191.13408192060888,decode_medium
