unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789215191,P0,75.917,2520,5
1789215192,P0,75.95229411764706,2520,17
1789215193,P0,76.10311764705882,2520,17
1789215194,P0,76.261,2520,17
1789215195,P0,76.22482352941176,2520,17
1789215196,P0,76.18105882352941,2520,17
1789215197,P0,76.30341176470588,2520,17
1789215198,P0,76.383,2520,17
1789215199,P0,76.34711764705882,2520,17
1789215200,P0,76.261,2520,17
1789215201,P0,76.4506875,2520,16
1789215202,P0,80.71000000000001,2520,17
1789215203,P0,79.83729411764706,2520,17
1789215204,P0,78.54476470588234,2520,17
1789215205,P0,78.7045294117647,2520,17
1789215206,P0,78.70029411764706,2520,17
1789215207,P0,72.94864705882352,1995.8823529411766,17
1789215208,P0,71.435625,1710,16
1789215209,P0,68.50270588235294,1710,17
1789215210,P0,64.084,1710,17
1789215211,P0,66.31194117647058,1710,17
1789215212,P0,66.85070588235294,1710,17
1789215213,P0,64.00864705882353,1710,17
1789215214,P0,67.65164705882353,1710,17
1789215215,P0,71.649,1710,17
1789215216,P0,66.49052941176471,1710,17
1789215217,P0,63.863749999999996,1710,16
1789215218,P0,64.01805882352942,1710,17
1789215219,P0,63.98747058823529,1710,17
1789215220,P0,63.378882352941176,1560,17
1789215221,P0,68.259,1200,16
1789215222,P0,67.53611764705883,1200,17
1789215223,P0,63.17888235294117,1200,17
1789215224,P0,63.90405882352941,1200,17
1789215225,P0,65.05223529411765,1200,17
1789215226,P0,62.55270588235294,1200,17
1789215227,P0,62.2225625,1200,16
1789215228,P0,71.73670588235295,1200,17
1789215229,P0,66.321,1200,17
1789215230,P0,61.835,1200,17
1789215231,P0,61.691,1200,17
1789215232,P0,61.69,1200,17
1789215233,P0,61.813,1200,17
1789215234,P0,63.920235294117646,1005,17
1789215235,P0,68.008125,1005,16
1789215236,P0,64.02388235294119,1005,17
1789215237,P0,62.19052941176471,1005,17
1789215238,P0,63.86752941176471,1005,17
1789215239,P0,63.36070588235294,1005,17
1789215240,P0,61.38717647058823,1005,17
1789215241,P0,66.9350625,1005,16
1789215242,P0,67.44000000000001,1005,17
1789215243,P0,63.03441176470589,1005,17
1789215244,P0,61.71705882352941,1005,17
1789215245,P0,61.81264705882353,1005,17
1789215246,P0,61.494875,1005,16
1789215247,P0,61.306588235294114,949.4117647058823,17
1789215248,P0,68.64717647058824,900,17
1789215249,P0,65.01329411764705,900,17
1789215250,P0,60.95547058823529,900,17
1789215251,P0,63.310647058823534,900,17
1789215252,P0,64.241,900,16
1789215253,P0,60.48,900,17
1789215254,P0,62.53935294117647,900,17
1789215255,P0,70.808625,900,16
1789215256,P0,63.379411764705885,900,17
1789215257,P0,60.835764705882355,900,17
1789215258,P0,60.89264705882353,900,17
1789215259,P0,61.02235294117647,900,17
1789215260,P0,60.835,924.7058823529412,17
1789215261,P0,65.49370588235294,1110,17
1789215262,P0,66.9965294117647,1110,17
1789215263,P0,62.859,1110,16
1789215264,P0,62.984941176470585,1110,17
1789215265,P0,64.81882352941176,1110,17
1789215266,P0,63.209352941176476,1110,17
1789215267,P0,61.78111764705883,1110,17
1789215268,P0,69.86188235294118,1110,17
1789215269,P0,66.18700000000001,1110,17
1789215270,P0,62.241058823529414,1110,17
1789215271,P0,61.5525,1110,16
1789215272,P0,61.73758823529412,1110,17
1789215273,P0,62.061882352941176,1110,17
1789215274,P0,62.06370588235294,1035.8823529411766,17
1789215275,P0,61.47923529411765,1005,17
1789215276,P0,64.9569411764706,1005,17
1789215277,P0,66.32223529411765,1005,17
1789215278,P0,63.3695,1005,16
1789215279,P0,69.19482352941176,1005,17
1789215280,P0,66.69923529411764,1005,17
1789215281,P0,62.41458823529412,1005,17
1789215282,P0,61.66917647058823,1005,17
1789215283,P0,70.536875,1005,16
1789215284,P0,66.11811764705882,1005,17
1789215285,P0,62.06017647058824,1005,17
1789215286,P0,61.01282352941176,1005,17
1789215287,P0,60.958,1005,17
1789215288,P0,60.957235294117645,1005,17
1789215289,P0,70.84,1005,17
1789215290,P0,66.88794117647059,1005,17
