actuation_duration_ms,attempt,axis,candidate_id,client_first_token_mono_ns,client_first_token_wall_ns,client_last_chunk_wall_ns,client_stream_chunk_count,clock_compliant,control_inclusive,d_mhz,duration_s,endpoints,energy_j,frequency_changed,grid_index,idle_energy_excluded,input_len,intervals,mean_power_w,observed_output_tokens,output_len,p_mhz,phase,proxy_timestamps_monotonic_s,proxy_timestamps_wall_s,repeat_index,request_active_boundary,request_complete_mono_ns,request_complete_wall_ns,request_id,request_send_mono_ns,request_send_wall_ns,search_stage,settle_wait_s,slo_met,tpot_ms,ttft_ms,workload_id
2011.249895,1,,production-trigger-small_light-attempt-1-warmup-1,1539109422423434,1789360749893084561,1789360753418078152,64,True,"{""duration_s"": 6.333233833312988, ""end"": 1789360753.4215262, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 305.10836120694876, ""mean_power_w"": 48.175761267817116, ""samples"": 82}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 489.597004301846, ""mean_power_w"": 77.30600467119214, ""samples"": 103}}, ""energy_j"": 794.7053655087948, ""mean_power_w"": 125.48176593900926, ""start"": 1789360747.0882924}",1500,4.171395540237427,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.171395540237427, ""energy_j"": 253.59358909726143, ""interval_count"": 1, ""intervals"": [[1789360749.2501307, 1789360753.4215262]], ""mean_power_w"": 60.793465076876274, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 52}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.171395540237427, ""energy_j"": 329.1783552840352, ""interval_count"": 1, ""intervals"": [[1789360749.2501307, 1789360753.4215262]], ""mean_power_w"": 78.91324428689855, ""observed_clock_max_mhz"": 2520, ""observed_clock_min_mhz"": 2520, ""samples"": 69}}",582.7719443812966,True,,True,160,"[[1789360749.2501307, 1789360753.4215262]]",139.70670936377482,64,64,2520,canary,"{""decode_first_real_chunk_forwarded"": 1539109.422416362, ""decode_first_real_chunk_received"": 1539109.422407382, ""decode_last_chunk_received"": 1539112.94740104, ""decode_request_started"": 1539109.303935497, ""decode_response_headers_received"": 1539109.353683531, ""kv_handoff_completed"": 1539109.303850413, ""prefill_completed"": 1539109.303845903, ""prefill_started"": 1539108.779662979, ""request_received"": 1539108.779520692, ""response_completed"": 1539112.947592121, ""route_selected"": 1539108.779556582}","{""decode_first_real_chunk_forwarded"": 1789360749.8930793, ""decode_first_real_chunk_received"": 1789360749.8930767, ""decode_last_chunk_received"": 1789360753.418072, ""decode_request_started"": 1789360749.7745986, ""decode_response_headers_received"": 1789360749.8243468, ""kv_handoff_completed"": 1789360749.774513, ""prefill_completed"": 1789360749.7745106, ""prefill_started"": 1789360749.250326, ""request_received"": 1789360749.2501857, ""response_completed"": 1789360753.418256, ""route_selected"": 1789360749.2502205}",,client_send_to_completed_stream,1539112950865365,1789360753421526277,production-trigger-small_light-attempt-1-warmup-1,1539108779470010,1789360749250130744,warmup,0.15,False,55.952280286758665,642.886689864099,small_light
1528.097374,1,P,production-trigger-small_light-attempt-1-binary-slo-P-8,1539114938361309,1789360755409021350,1789360758038882848,48,True,"{""duration_s"": 4.5115978717803955, ""end"": 1789360758.047312, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 224.0069345086813, ""mean_power_w"": 49.65135210959798, ""samples"": 61}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 302.7866461277008, ""mean_power_w"": 67.11295082870788, ""samples"": 73}}, ""energy_j"": 526.7935806363821, ""mean_power_w"": 116.76430293830586, ""start"": 1789360753.5357141}",1500,2.8324248790740967,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8324248790740967, ""energy_j"": 182.30433422327042, ""interval_count"": 1, ""intervals"": [[1789360755.2148871, 1789360758.047312]], ""mean_power_w"": 64.36334307403226, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 38}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8324248790740967, ""energy_j"": 186.86164612323046, ""interval_count"": 1, ""intervals"": [[1789360755.2148871, 1789360758.047312]], ""mean_power_w"": 65.97232198592835, ""observed_clock_max_mhz"": 1710, ""observed_clock_min_mhz"": 1710, ""samples"": 46}}",369.1659803465009,True,8,True,128,"[[1789360755.2148871, 1789360758.047312]]",130.3356650599606,48,48,1710,canary,"{""decode_first_real_chunk_forwarded"": 1539114.938352351, ""decode_first_real_chunk_received"": 1539114.938341827, ""decode_last_chunk_received"": 1539117.568206934, ""decode_request_started"": 1539114.861410859, ""decode_response_headers_received"": 1539114.873213695, ""kv_handoff_completed"": 1539114.861322267, ""prefill_completed"": 1539114.86131833, ""prefill_started"": 1539114.744465332, ""request_received"": 1539114.744295634, ""response_completed"": 1539117.568400668, ""route_selected"": 1539114.744335249}","{""decode_first_real_chunk_forwarded"": 1789360755.4090152, ""decode_first_real_chunk_received"": 1789360755.4090123, ""decode_last_chunk_received"": 1789360758.038877, ""decode_request_started"": 1789360755.3320737, ""decode_response_headers_received"": 1789360755.343879, ""kv_handoff_completed"": 1789360755.331985, ""prefill_completed"": 1789360755.3319829, ""prefill_started"": 1789360755.2151284, ""request_received"": 1789360755.214978, ""response_completed"": 1789360758.0390644, ""route_selected"": 1789360755.215}",1,client_send_to_completed_stream,1539117576650923,1789360758047312032,production-trigger-small_light-attempt-1-binary-slo-P-8-sample-1,1539114744227860,1789360755214887167,binary-slo,0.15,True,55.95457674737306,194.0461928024888,small_light
1.685433,1,P,production-trigger-small_light-attempt-1-binary-slo-P-8,1539117879687337,1789360758350348649,1789360761875825756,64,True,"{""duration_s"": 3.719182014465332, ""end"": 1789360761.8797095, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 243.53435017168522, ""mean_power_w"": 65.48062160563433, ""samples"": 49}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 244.53906861692667, ""mean_power_w"": 65.75076661099672, ""samples"": 61}}, ""energy_j"": 488.0734187886119, ""mean_power_w"": 131.23138821663105, ""start"": 1789360758.1605275}",1500,3.7174794673919678,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.7174794673919678, ""energy_j"": 243.45745887607336, ""interval_count"": 1, ""intervals"": [[1789360758.16223, 1789360761.8797095]], ""mean_power_w"": 65.48992698186258, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 49}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.7174794673919678, ""energy_j"": 244.36972222477198, ""interval_count"": 1, ""intervals"": [[1789360758.16223, 1789360761.8797095]], ""mean_power_w"": 65.7353253375766, ""observed_clock_max_mhz"": 1710, ""observed_clock_min_mhz"": 1710, ""samples"": 61}}",487.82718110084534,False,8,True,160,"[[1789360758.16223, 1789360761.8797095]]",131.22525231943916,64,64,1710,canary,"{""decode_first_real_chunk_forwarded"": 1539117.87968107, ""decode_first_real_chunk_received"": 1539117.879673857, ""decode_last_chunk_received"": 1539121.405146964, ""decode_request_started"": 1539117.806210999, ""decode_response_headers_received"": 1539117.815508324, ""kv_handoff_completed"": 1539117.806125876, ""prefill_completed"": 1539117.806121973, ""prefill_started"": 1539117.691885637, ""request_received"": 1539117.691628171, ""response_completed"": 1539121.405368679, ""route_selected"": 1539117.69164449}","{""decode_first_real_chunk_forwarded"": 1789360758.3503442, ""decode_first_real_chunk_received"": 1789360758.3503413, ""decode_last_chunk_received"": 1789360761.8758187, ""decode_request_started"": 1789360758.2768743, ""decode_response_headers_received"": 1789360758.2861726, ""kv_handoff_completed"": 1789360758.2767882, ""prefill_completed"": 1789360758.276786, ""prefill_started"": 1789360758.162549, ""request_received"": 1789360758.1622925, ""response_completed"": 1789360761.876033, ""route_selected"": 1789360758.162308}",2,client_send_to_completed_stream,1539121409048521,1789360761879709390,production-trigger-small_light-attempt-1-binary-slo-P-8-sample-2,1539117691568480,1789360758162230037,binary-slo,0.0,True,55.95989058548141,188.04568611085415,small_light
0.483395,1,P,production-trigger-small_light-attempt-1-binary-slo-P-8,1539121695288719,1789360762165949675,1789360766590080980,80,True,"{""duration_s"": 4.600757122039795, ""end"": 1789360766.5933506, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 304.07423746585846, ""mean_power_w"": 66.09221686778456, ""samples"": 58}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 298.60097777843475, ""mean_power_w"": 64.90257361076405, ""samples"": 75}}, ""energy_j"": 602.6752152442932, ""mean_power_w"": 130.9947904785486, ""start"": 1789360761.9925935}",1500,4.60025954246521,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.60025954246521, ""energy_j"": 304.05830985307693, ""interval_count"": 1, ""intervals"": [[1789360761.993091, 1789360766.5933506]], ""mean_power_w"": 66.09590329552073, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 58}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.60025954246521, ""energy_j"": 298.55460000038147, ""interval_count"": 1, ""intervals"": [[1789360761.993091, 1789360766.5933506]], ""mean_power_w"": 64.8995121350024, ""observed_clock_max_mhz"": 1710, ""observed_clock_min_mhz"": 1710, ""samples"": 75}}",602.6129098534584,False,8,True,200,"[[1789360761.993091, 1789360766.5933506]]",130.9954154305231,80,80,1710,canary,"{""decode_first_real_chunk_forwarded"": 1539121.695281266, ""decode_first_real_chunk_received"": 1539121.695272137, ""decode_last_chunk_received"": 1539126.119402431, ""decode_request_started"": 1539121.621678142, ""decode_response_headers_received"": 1539121.630824781, ""kv_handoff_completed"": 1539121.621592097, ""prefill_completed"": 1539121.621588417, ""prefill_started"": 1539121.522583775, ""request_received"": 1539121.522474251, ""response_completed"": 1539126.119622513, ""route_selected"": 1539121.522489506}","{""decode_first_real_chunk_forwarded"": 1789360762.165944, ""decode_first_real_chunk_received"": 1789360762.1659412, ""decode_last_chunk_received"": 1789360766.5900743, ""decode_request_started"": 1789360762.0923412, ""decode_response_headers_received"": 1789360762.101489, ""kv_handoff_completed"": 1789360762.0922546, ""prefill_completed"": 1789360762.0922525, ""prefill_started"": 1789360761.993247, ""request_received"": 1789360761.9931388, ""response_completed"": 1789360766.5902865, ""route_selected"": 1789360761.9931536}",3,client_send_to_completed_stream,1539126122689862,1789360766593350726,production-trigger-small_light-attempt-1-binary-slo-P-8-sample-3,1539121522429894,1789360761993091069,binary-slo,0.0,True,56.001649291219216,172.79788595624268,small_light
1573.851212,1,P,production-trigger-small_light-attempt-1-binary-slo-P-3,1539128142278602,1789360768612940174,1789360771242697284,48,True,"{""duration_s"": 4.536409854888916, ""end"": 1789360771.2467566, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 224.95816203951836, ""mean_power_w"": 49.58947035993223, ""samples"": 62}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 287.1739762574434, ""mean_power_w"": 63.30423957349319, ""samples"": 72}}, ""energy_j"": 512.1321382969618, ""mean_power_w"": 112.89370993342541, ""start"": 1789360766.7103467}",1500,2.8111863136291504,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8111863136291504, ""energy_j"": 182.99995166808367, ""interval_count"": 1, ""intervals"": [[1789360768.4355702, 1789360771.2467566]], ""mean_power_w"": 65.09705556720525, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 38}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8111863136291504, ""energy_j"": 182.52330830693245, ""interval_count"": 1, ""intervals"": [[1789360768.4355702, 1789360771.2467566]], ""mean_power_w"": 64.92750317615938, ""observed_clock_max_mhz"": 1200, ""observed_clock_min_mhz"": 1200, ""samples"": 46}}",365.5232599750161,True,3,True,128,"[[1789360768.4355702, 1789360771.2467566]]",130.02455874336462,48,48,1200,canary,"{""decode_first_real_chunk_forwarded"": 1539128.142273741, ""decode_first_real_chunk_received"": 1539128.142269295, ""decode_last_chunk_received"": 1539130.771990875, ""decode_request_started"": 1539128.069118816, ""decode_response_headers_received"": 1539128.077923211, ""kv_handoff_completed"": 1539128.06902917, ""prefill_completed"": 1539128.069024575, ""prefill_started"": 1539127.965113738, ""request_received"": 1539127.964961902, ""response_completed"": 1539130.772167609, ""route_selected"": 1539127.964994669}","{""decode_first_real_chunk_forwarded"": 1789360768.6129367, ""decode_first_real_chunk_received"": 1789360768.6129346, ""decode_last_chunk_received"": 1789360771.2426608, ""decode_request_started"": 1789360768.5397818, ""decode_response_headers_received"": 1789360768.548587, ""kv_handoff_completed"": 1789360768.5396917, ""prefill_completed"": 1789360768.5396893, ""prefill_started"": 1789360768.435777, ""request_received"": 1789360768.4356275, ""response_completed"": 1789360771.2428308, ""route_selected"": 1789360768.435659}",1,client_send_to_completed_stream,1539130776095396,1789360771246756489,production-trigger-small_light-attempt-1-binary-slo-P-3-sample-1,1539127964909445,1789360768435570136,binary-slo,0.15,True,55.951522980281645,177.3073929361999,small_light
0.543367,1,P,production-trigger-small_light-attempt-1-binary-slo-P-3,1539131064858119,1789360771535519641,1789360775060510988,64,True,"{""duration_s"": 3.703627109527588, ""end"": 1789360775.0636263, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 243.1072012782097, ""mean_power_w"": 65.64030181462273, ""samples"": 49}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 233.53740902990103, ""mean_power_w"": 63.05640447147759, ""samples"": 60}}, ""energy_j"": 476.6446103081107, ""mean_power_w"": 128.69670628610032, ""start"": 1789360771.3599992}",1500,3.7030692100524902,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.7030692100524902, ""energy_j"": 243.1072012782097, ""interval_count"": 1, ""intervals"": [[1789360771.360557, 1789360775.0636263]], ""mean_power_w"": 65.65019109506832, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 49}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.7030692100524902, ""energy_j"": 233.48494455963373, ""interval_count"": 1, ""intervals"": [[1789360771.360557, 1789360775.0636263]], ""mean_power_w"": 63.05173663128055, ""observed_clock_max_mhz"": 1200, ""observed_clock_min_mhz"": 1200, ""samples"": 60}}",476.5921458378434,False,3,True,160,"[[1789360771.360557, 1789360775.0636263]]",128.70192772634888,64,64,1200,canary,"{""decode_first_real_chunk_forwarded"": 1539131.064852597, ""decode_first_real_chunk_received"": 1539131.064847795, ""decode_last_chunk_received"": 1539134.58984255, ""decode_request_started"": 1539130.992172203, ""decode_response_headers_received"": 1539131.000647039, ""kv_handoff_completed"": 1539130.992086744, ""prefill_completed"": 1539130.992083071, ""prefill_started"": 1539130.890120284, ""request_received"": 1539130.889973758, ""response_completed"": 1539134.589944331, ""route_selected"": 1539130.890024261}","{""decode_first_real_chunk_forwarded"": 1789360771.5355155, ""decode_first_real_chunk_received"": 1789360771.5355136, ""decode_last_chunk_received"": 1789360775.0605087, ""decode_request_started"": 1789360771.4628353, ""decode_response_headers_received"": 1789360771.4713104, ""kv_handoff_completed"": 1789360771.4627492, ""prefill_completed"": 1789360771.462747, ""prefill_started"": 1789360771.3607833, ""request_received"": 1789360771.3606484, ""response_completed"": 1789360775.0606077, ""route_selected"": 1789360771.3606882}",2,client_send_to_completed_stream,1539134592964949,1789360775063626302,production-trigger-small_light-attempt-1-binary-slo-P-3-sample-2,1539130889895705,1789360771360556998,binary-slo,0.0,True,55.952297697316794,174.87403703853488,small_light
1.23805,1,P,production-trigger-small_light-attempt-1-binary-slo-P-3,1539134879420447,1789360775350081872,1789360779774899583,80,True,"{""duration_s"": 4.607396602630615, ""end"": 1789360779.782998, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 304.0613352134824, ""mean_power_w"": 65.99417446283593, ""samples"": 58}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 288.62435545772314, ""mean_power_w"": 62.64369672298922, ""samples"": 74}}, ""energy_j"": 592.6856906712055, ""mean_power_w"": 128.63787118582516, ""start"": 1789360775.1756015}",1500,4.606144666671753,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.606144666671753, ""energy_j"": 304.0613352134824, ""interval_count"": 1, ""intervals"": [[1789360775.1768534, 1789360779.782998]], ""mean_power_w"": 66.0121114765566, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 58}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.606144666671753, ""energy_j"": 288.62435545772314, ""interval_count"": 1, ""intervals"": [[1789360775.1768534, 1789360779.782998]], ""mean_power_w"": 62.6607230871612, ""observed_clock_max_mhz"": 1200, ""observed_clock_min_mhz"": 1200, ""samples"": 74}}",592.6856906712055,False,3,True,200,"[[1789360775.1768534, 1789360779.782998]]",128.6728345637178,80,80,1200,canary,"{""decode_first_real_chunk_forwarded"": 1539134.879415076, ""decode_first_real_chunk_received"": 1539134.879410288, ""decode_last_chunk_received"": 1539139.304224268, ""decode_request_started"": 1539134.806745324, ""decode_response_headers_received"": 1539134.815401022, ""kv_handoff_completed"": 1539134.806665075, ""prefill_completed"": 1539134.806661512, ""prefill_started"": 1539134.706345991, ""request_received"": 1539134.706237742, ""response_completed"": 1539139.304387652, ""route_selected"": 1539134.706254019}","{""decode_first_real_chunk_forwarded"": 1789360775.350078, ""decode_first_real_chunk_received"": 1789360775.350076, ""decode_last_chunk_received"": 1789360779.7748938, ""decode_request_started"": 1789360775.2774088, ""decode_response_headers_received"": 1789360775.2860644, ""kv_handoff_completed"": 1789360775.2773278, ""prefill_completed"": 1789360775.2773254, ""prefill_started"": 1789360775.177009, ""request_received"": 1789360775.1769028, ""response_completed"": 1789360779.7750506, ""route_selected"": 1789360775.1769176}",3,client_send_to_completed_stream,1539139312336831,1789360779782998004,production-trigger-small_light-attempt-1-binary-slo-P-3-sample-3,1539134706192118,1789360775176853604,binary-slo,0.0,True,56.01030354435214,173.17254608497024,small_light
1770.503633,1,P,production-trigger-small_light-attempt-1-binary-slo-P-1,1539141533037100,1789360782003698440,1789360784633147476,48,True,"{""duration_s"": 4.738316774368286, ""end"": 1789360784.6365364, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 226.84413969516754, ""mean_power_w"": 47.87441416375343, ""samples"": 65}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 296.8493603095412, ""mean_power_w"": 62.64869455654266, ""samples"": 77}}, ""energy_j"": 523.6935000047088, ""mean_power_w"": 110.5231087202961, ""start"": 1789360779.8982196}",1500,2.8168818950653076,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8168818950653076, ""energy_j"": 180.99619507044554, ""interval_count"": 1, ""intervals"": [[1789360781.8196545, 1789360784.6365364]], ""mean_power_w"": 64.25409435429995, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 40}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 2.8168818950653076, ""energy_j"": 177.77724492549896, ""interval_count"": 1, ""intervals"": [[1789360781.8196545, 1789360784.6365364]], ""mean_power_w"": 63.11135913682931, ""observed_clock_max_mhz"": 1005, ""observed_clock_min_mhz"": 1005, ""samples"": 46}}",358.7734399959445,True,1,True,128,"[[1789360781.8196545, 1789360784.6365364]]",127.36545349112926,48,48,1005,canary,"{""decode_first_real_chunk_forwarded"": 1539141.533031511, ""decode_first_real_chunk_received"": 1539141.533024427, ""decode_last_chunk_received"": 1539144.16247654, ""decode_request_started"": 1539141.45980138, ""decode_response_headers_received"": 1539141.468425305, ""kv_handoff_completed"": 1539141.459714331, ""prefill_completed"": 1539141.459711194, ""prefill_started"": 1539141.349201874, ""request_received"": 1539141.349067669, ""response_completed"": 1539144.162605044, ""route_selected"": 1539141.349086806}","{""decode_first_real_chunk_forwarded"": 1789360782.0036943, ""decode_first_real_chunk_received"": 1789360782.0036922, ""decode_last_chunk_received"": 1789360784.6331444, ""decode_request_started"": 1789360781.9304643, ""decode_response_headers_received"": 1789360781.9390888, ""kv_handoff_completed"": 1789360781.9303768, ""prefill_completed"": 1789360781.9303749, ""prefill_started"": 1789360781.8198647, ""request_received"": 1789360781.8197331, ""response_completed"": 1789360784.6332686, ""route_selected"": 1789360781.819751}",1,client_send_to_completed_stream,1539144165875858,1789360784636536277,production-trigger-small_light-attempt-1-binary-slo-P-1-sample-1,1539141348993634,1789360781819654361,binary-slo,0.15,True,55.945789639620074,183.9567581191659,small_light
0.490663,1,P,production-trigger-small_light-attempt-1-binary-slo-P-1,1539144467409738,1789360784938070746,1789360788463134144,64,True,"{""duration_s"": 3.719137191772461, ""end"": 1789360788.4672782, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 245.9473699554801, ""mean_power_w"": 66.13022248804617, ""samples"": 51}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 233.61509535461664, ""mean_power_w"": 62.81432582573828, ""samples"": 60}}, ""energy_j"": 479.56246531009674, ""mean_power_w"": 128.94454831378445, ""start"": 1789360784.748141}",1500,3.718632459640503,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.718632459640503, ""energy_j"": 245.92954194545746, ""interval_count"": 1, ""intervals"": [[1789360784.7486458, 1789360788.4672782]], ""mean_power_w"": 66.13440414308452, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 51}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 3.718632459640503, ""energy_j"": 233.56271336227655, ""interval_count"": 1, ""intervals"": [[1789360784.7486458, 1789360788.4672782]], ""mean_power_w"": 62.80876529132866, ""observed_clock_max_mhz"": 1005, ""observed_clock_min_mhz"": 1005, ""samples"": 60}}",479.492255307734,False,1,True,160,"[[1789360784.7486458, 1789360788.4672782]]",128.9431694344132,64,64,1005,canary,"{""decode_first_real_chunk_forwarded"": 1539144.467401938, ""decode_first_real_chunk_received"": 1539144.467392981, ""decode_last_chunk_received"": 1539147.992457178, ""decode_request_started"": 1539144.389050568, ""decode_response_headers_received"": 1539144.402870638, ""kv_handoff_completed"": 1539144.388737891, ""prefill_completed"": 1539144.388731211, ""prefill_started"": 1539144.278149104, ""request_received"": 1539144.278038985, ""response_completed"": 1539147.992634923, ""route_selected"": 1539144.278054971}","{""decode_first_real_chunk_forwarded"": 1789360784.9380648, ""decode_first_real_chunk_received"": 1789360784.9380622, ""decode_last_chunk_received"": 1789360788.4631279, ""decode_request_started"": 1789360784.859714, ""decode_response_headers_received"": 1789360784.8735344, ""kv_handoff_completed"": 1789360784.8594005, ""prefill_completed"": 1789360784.8593981, ""prefill_started"": 1789360784.7488122, ""request_received"": 1789360784.7487032, ""response_completed"": 1789360788.4632983, ""route_selected"": 1789360784.7487187}",2,client_send_to_completed_stream,1539147996617421,1789360788467278431,production-trigger-small_light-attempt-1-binary-slo-P-1-sample-2,1539144277984664,1789360784748645955,binary-slo,0.0,True,55.95339995084537,189.3539959564805,small_light
0.67895,1,P,production-trigger-small_light-attempt-1-binary-slo-P-1,1539148294733086,1789360788765394522,1789360793189427022,80,True,"{""duration_s"": 4.611489534378052, ""end"": 1789360793.1927302, ""endpoints"": {""D0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 305.5267761647701, ""mean_power_w"": 66.25338166488461, ""samples"": 60}, ""P0"": {""clock_match_fraction"": null, ""clock_target_met"": null, ""energy_j"": 289.405187651515, ""mean_power_w"": 62.757420459059304, ""samples"": 74}}, ""energy_j"": 594.9319638162851, ""mean_power_w"": 129.01080212394393, ""start"": 1789360788.5812407}",1500,4.610795497894287,"{""D0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.610795497894287, ""energy_j"": 305.5018983334303, ""interval_count"": 1, ""intervals"": [[1789360788.5819347, 1789360793.1927302]], ""mean_power_w"": 66.25795884309997, ""observed_clock_max_mhz"": 1500, ""observed_clock_min_mhz"": 1500, ""samples"": 60}, ""P0"": {""clock_match_fraction"": 1.0, ""clock_target_met"": true, ""duration_s"": 4.610795497894287, ""energy_j"": 289.33853129297495, ""interval_count"": 1, ""intervals"": [[1789360788.5819347, 1789360793.1927302]], ""mean_power_w"": 62.75241038669217, ""observed_clock_max_mhz"": 1005, ""observed_clock_min_mhz"": 1005, ""samples"": 74}}",594.8404296264052,False,1,True,200,"[[1789360788.5819347, 1789360793.1927302]]",129.01036922979213,80,80,1005,canary,"{""decode_first_real_chunk_forwarded"": 1539148.294727372, ""decode_first_real_chunk_received"": 1539148.294720901, ""decode_last_chunk_received"": 1539152.71874997, ""decode_request_started"": 1539148.22074417, ""decode_response_headers_received"": 1539148.230305165, ""kv_handoff_completed"": 1539148.220657021, ""prefill_completed"": 1539148.220652594, ""prefill_started"": 1539148.111448716, ""request_received"": 1539148.111327069, ""response_completed"": 1539152.718952695, ""route_selected"": 1539148.111344488}","{""decode_first_real_chunk_forwarded"": 1789360788.7653906, ""decode_first_real_chunk_received"": 1789360788.7653878, ""decode_last_chunk_received"": 1789360793.189421, ""decode_request_started"": 1789360788.6914072, ""decode_response_headers_received"": 1789360788.700969, ""kv_handoff_completed"": 1789360788.6913195, ""prefill_completed"": 1789360788.691317, ""prefill_started"": 1789360788.5821118, ""request_received"": 1789360788.581992, ""response_completed"": 1789360793.1896164, ""route_selected"": 1789360788.5820084}",3,client_send_to_completed_stream,1539152722068899,1789360793192730031,production-trigger-small_light-attempt-1-binary-slo-P-1-sample-3,1539148111273475,1789360788581934674,binary-slo,0.0,True,56.0003679622955,183.39383183047175,small_light
