unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789360731,P0,75.651,2520,1
1789360732,P0,75.68353333333333,2520,15
1789360733,P0,75.8035,2520,16
1789360734,P0,75.86449999999999,2520,16
1789360735,P0,75.74249999999999,2520,16
1789360736,P0,75.651,2520,16
1789360737,P0,75.651,2520,16
1789360738,P0,75.651,2520,16
1789360739,P0,75.6815,2520,16
1789360740,P0,75.8035,2520,16
1789360741,P0,75.895,2520,16
1789360742,P0,75.86449999999999,2520,16
1789360743,P0,75.8035,2520,16
1789360744,P0,76.0475,2520,16
1789360745,P0,76.6575,2520,16
1789360746,P0,77.14525,2520,16
1789360747,P0,77.6075625,2520,16
1789360748,P0,77.9759375,2520,16
1789360749,P0,77.51906666666667,2520,15
1789360750,P0,80.786,2520,16
1789360751,P0,80.295,2520,16
1789360752,P0,78.598,2520,16
1789360753,P0,78.457,2520,16
1789360754,P0,74.9495,2317.5,16
1789360755,P0,65.18573333333333,1710,15
1789360756,P0,66.4689375,1710,16
1789360757,P0,64.74166666666666,1710,15
1789360758,P0,77.347625,1710,16
1789360759,P0,78.750875,1710,16
1789360760,P0,68.301,1710,16
1789360761,P0,64.21186666666667,1710,15
1789360762,P0,68.3081875,1710,16
1789360763,P0,69.6981875,1710,16
1789360764,P0,63.9230625,1710,16
1789360765,P0,63.832875,1710,16
1789360766,P0,64.42326666666666,1710,15
1789360767,P0,64.0048,1710,15
1789360768,P0,64.1284375,1263.75,16
1789360769,P0,64.73506666666667,1200,15
1789360770,P0,62.577,1200,16
1789360771,P0,72.3268125,1200,16
1789360772,P0,77.0023125,1200,16
1789360773,P0,67.45660000000001,1200,15
1789360774,P0,61.60175,1200,16
1789360775,P0,65.8234,1200,15
1789360776,P0,63.73475,1200,16
1789360777,P0,61.8275,1200,16
1789360778,P0,61.5835,1200,16
1789360779,P0,61.6231875,1200,16
1789360780,P0,61.7515625,1200,16
1789360781,P0,61.952933333333334,1070,15
1789360782,P0,66.9404375,1005,16
1789360783,P0,62.9918125,1005,16
1789360784,P0,62.860375,1005,16
1789360785,P0,72.98206666666667,1005,15
1789360786,P0,68.6100625,1005,16
1789360787,P0,60.873374999999996,1005,16
1789360788,P0,62.122,1005,15
1789360789,P0,66.508375,1005,16
1789360790,P0,64.90225,1005,16
1789360791,P0,60.6584,1005,15
1789360792,P0,60.718875,1005,16
1789360793,P0,60.856125,1005,16
1789360794,P0,60.8485,978.75,16
1789360795,P0,65.96393333333333,900,15
1789360796,P0,63.550374999999995,900,16
1789360797,P0,61.4983125,900,16
1789360798,P0,74.0362,900,15
1789360799,P0,70.674,900,16
1789360800,P0,60.458687499999996,900,16
1789360801,P0,60.78706666666667,900,15
1789360802,P0,62.8411875,900,16
1789360803,P0,62.5722,900,15
1789360804,P0,60.940625,900,16
1789360805,P0,60.6330625,900,16
1789360806,P0,60.4341875,900,16
1789360807,P0,63.8014375,900,16
1789360808,P0,69.21113333333334,900,15
1789360809,P0,62.47725,900,16
1789360810,P0,66.3436875,900,16
1789360811,P0,72.0344375,900,16
1789360812,P0,63.507600000000004,900,15
1789360813,P0,60.418,900,16
1789360814,P0,67.134125,900,16
1789360815,P0,69.20762500000001,900,16
1789360816,P0,60.83975,900,16
1789360817,P0,60.581,900,15
1789360818,P0,60.451375,900,16
1789360819,P0,60.497749999999996,900,16
1789360820,P0,67.951375,900,16
1789360821,P0,72.44366666666667,900,15
1789360822,P0,63.816750000000006,900,16
1789360823,P0,67.4642,900,15
1789360824,P0,69.1964375,900,16
1789360825,P0,62.967375000000004,900,16
1789360826,P0,60.871875,900,16
1789360827,P0,67.1288,900,15
1789360828,P0,66.4468125,900,16
1789360829,P0,61.84506666666667,900,15
1789360830,P0,60.996,900,16
1789360831,P0,60.469,900,16
1789360832,P0,60.277,900,16
1789360833,P0,62.6915,900,16
1789360834,P0,65.3282,900,15
1789360835,P0,64.0401875,900,16
1789360836,P0,61.61725,900,16
1789360837,P0,62.9020625,900,16
1789360838,P0,61.7396,900,15
1789360839,P0,60.372125,900,16
1789360840,P0,62.813937499999994,900,16
1789360841,P0,65.39225,900,16
1789360842,P0,63.491600000000005,900,15
1789360843,P0,60.3725,900,16
1789360844,P0,60.48075,900,16
1789360845,P0,60.694250000000004,900,16
1789360846,P0,61.7559375,900,16
1789360847,P0,62.605266666666665,900,15
1789360848,P0,61.2625,900,16
1789360849,P0,61.39373333333333,900,15
1789360850,P0,66.292875,900,16
1789360851,P0,66.496,900,16
1789360852,P0,61.06275,900,16
1789360853,P0,63.4124,900,15
1789360854,P0,67.9655,900,16
1789360855,P0,63.1175,900,16
1789360856,P0,60.897,900,16
1789360857,P0,60.94533333333333,900,15
1789360858,P0,60.51375,900,16
1789360859,P0,60.390249999999995,900,16
1789360860,P0,65.21533333333333,900,15
1789360861,P0,66.047625,900,16
1789360862,P0,61.047,900,15
1789360863,P0,63.1483125,900,16
1789360864,P0,62.3585625,900,16
1789360865,P0,60.613,900,15
1789360866,P0,61.110125000000004,900,16
1789360867,P0,67.525625,900,16
1789360868,P0,62.305375,900,16
1789360869,P0,60.37566666666667,900,15
1789360870,P0,60.4995,900,16
1789360871,P0,60.758875,900,16
1789360872,P0,61.771375,900,16
1789360873,P0,67.910125,900,16
1789360874,P0,62.51606666666667,900,15
1789360875,P0,61.960625,900,16
1789360876,P0,69.24806666666666,900,15
1789360877,P0,62.220125,900,16
1789360878,P0,60.610625000000006,900,16
1789360879,P0,65.248,900,16
1789360880,P0,70.79913333333333,900,15
1789360881,P0,64.3348125,900,16
1789360882,P0,60.5370625,900,16
1789360883,P0,60.4686875,900,16
1789360884,P0,60.544562500000005,900,16
1789360885,P0,65.81773333333334,900,15
1789360886,P0,68.89275,900,16
1789360887,P0,62.021812499999996,900,16
1789360888,P0,65.31953333333334,900,15
1789360889,P0,67.555125,900,16
1789360890,P0,62.126875,900,16
1789360891,P0,60.326750000000004,900,16
1789360892,P0,67.03473333333334,900,15
1789360893,P0,66.7753125,900,16
1789360894,P0,61.48173333333333,900,15
1789360895,P0,60.1664375,900,16
1789360896,P0,60.4920625,900,16
1789360897,P0,60.647933333333334,900,15
1789360898,P0,61.132000000000005,1254.375,16
1789360899,P0,62.397000000000006,1710,16
1789360900,P0,67.456875,1710,16
1789360901,P0,72.53025,1710,16
1789360902,P0,70.3386,1710,15
1789360903,P0,63.374624999999995,1710,16
1789360904,P0,63.726375,1710,16
1789360905,P0,63.950599999999994,1710,15
1789360906,P0,73.49575,1710,16
1789360907,P0,73.6506875,1710,16
1789360908,P0,65.57025,1710,16
1789360909,P0,63.153533333333336,1710,15
1789360910,P0,63.204875,1710,16
1789360911,P0,63.41075,1710,16
1789360912,P0,63.822500000000005,1710,16
1789360913,P0,68.2565,1710,16
1789360914,P0,79.54353333333333,1710,15
1789360915,P0,71.904375,1710,16
1789360916,P0,63.638312500000005,1710,16
1789360917,P0,63.334199999999996,1710,15
1789360918,P0,63.308375,1710,16
1789360919,P0,63.700500000000005,1710,16
1789360920,P0,64.15825,1710,16
1789360921,P0,64.4945,1710,16
1789360922,P0,63.548375,1710,16
1789360923,P0,62.648266666666665,1642,15
1789360924,P0,71.2351875,1200,16
1789360925,P0,68.1100625,1200,16
1789360926,P0,62.411375,1200,16
1789360927,P0,61.5638,1200,15
1789360928,P0,61.317499999999995,1200,16
1789360929,P0,63.7564375,1200,16
1789360930,P0,73.4778,1200,15
1789360931,P0,68.7256,1200,15
1789360932,P0,61.404333333333334,1200,15
1789360933,P0,62.391000000000005,1200,16
1789360934,P0,61.8975625,1200,16
1789360935,P0,61.88373333333333,1200,15
1789360936,P0,61.70175,1200,16
1789360937,P0,69.42275000000001,1200,16
1789360938,P0,72.768875,1200,16
1789360939,P0,65.3686,1200,15
1789360940,P0,61.719,1200,16
1789360941,P0,61.3985,1200,16
1789360942,P0,61.448875,1200,16
1789360943,P0,61.76275,1200,16
1789360944,P0,61.9732,1200,15
1789360945,P0,61.727625,1200,16
1789360946,P0,61.3985,1200,16
1789360947,P0,61.8784375,1090.3125,16
1789360948,P0,74.6036,1005,15
1789360949,P0,66.61825,1005,16
1789360950,P0,61.233125,1005,16
1789360951,P0,60.70675,1005,16
1789360952,P0,60.8114375,1005,16
1789360953,P0,64.91033333333333,1005,15
1789360954,P0,79.0876875,1005,16
1789360955,P0,68.32468750000001,1005,16
1789360956,P0,60.6040625,1005,16
1789360957,P0,60.629125,1005,16
1789360958,P0,60.7458,1005,15
1789360959,P0,60.89675,1005,16
1789360960,P0,61.1665,1005,16
1789360961,P0,65.6659375,1005,16
1789360962,P0,69.537875,1005,16
1789360963,P0,64.30033333333333,1005,15
1789360964,P0,61.2165,1005,16
1789360965,P0,60.768,1005,15
1789360966,P0,60.7345625,1005,16
1789360967,P0,60.71,1005,15
1789360968,P0,60.61225,1005,16
1789360969,P0,60.6571875,1005,16
1789360970,P0,60.947312499999995,1005,16
