phase,request_id,p_mhz,d_mhz,input_len,output_len,burst_size,rank,rep,background_target,background_active,status,error,ttft_ms,tpot_ms,client_first_chunk_ms,client_done_ms,chunks,t_request_received_ms,t_route_selected_ms,t_prefill_started_ms,t_prefill_completed_ms,t_kv_handoff_completed_ms,t_decode_request_started_ms,t_decode_response_headers_received_ms,t_decode_first_real_chunk_received_ms,t_decode_first_real_chunk_forwarded_ms,t_decode_last_chunk_received_ms,t_response_completed_ms
smoke,k1-smoke-000001,2520,1500,128,16,,,,,,ok,,1521.04098116979,55.91888974110285,1521.11150091514,2362.88268212229,16,0.053402967751026154,0.08228886872529984,0.2651042304933071,1158.8339488953352,1158.8375088758767,1158.9089641347528,1338.7223752215505,1521.094384137541,1521.10432414338,2359.877730254084,2359.9070659838617
bursts_reference,k1-bursts_reference-000003,2520,1500,128,16,8,1,0,,,ok,,644.0225150436163,59.69450594857335,644.0697563812137,1542.0488230884075,16,0.03523798659443855,0.051085371524095535,0.13652723282575607,553.9159141480923,553.9201130159199,554.0388422086835,574.0008703432977,644.0577530302107,644.0640310756862,1539.475342258811,1539.4914750941098
bursts_reference,k1-bursts_reference-000006,2520,1500,128,16,8,4,0,,,ok,,700.63366740942,59.65780206024647,700.6870349869132,1599.065974354744,16,0.0449339859187603,0.0639110803604126,0.18477300181984901,555.6561890989542,555.6592051871121,555.718504358083,573.0070909485221,700.6786013953388,700.6829553283751,1595.5456322990358,1595.5647621303797
bursts_reference,k1-bursts_reference-000005,2520,1500,128,16,8,3,0,,,ok,,704.1133111342788,59.65930912643671,704.145384952426,1605.0000987015665,16,0.026258639991283417,0.03654882311820984,0.10868161916732788,559.514831751585,559.516737703234,559.5648619346321,582.1234998293221,704.1395697742701,704.1428466327488,1599.0292066708207,1599.0384998731315
bursts_reference,k1-bursts_reference-000008,2520,1500,128,16,8,6,0,,,ok,,699.4783570989966,59.66103418419758,699.5136807672679,1603.1059818342328,16,0.029294751584529877,0.04165200516581535,0.1050187274813652,553.8048497401178,553.8077796809375,553.8726015947759,571.9432337209582,699.5076518505812,699.5109366253018,1594.423164613545,1594.4308578036726
bursts_reference,k1-bursts_reference-000002,2520,1500,128,16,8,0,0,,,ok,,706.3482911325991,59.65554633488258,706.4035022631288,1612.4358279630542,16,0.04914402961730957,0.06955582648515701,0.1916009932756424,555.7411410845816,555.743464268744,555.8139230124652,574.6968318708241,706.3974351622164,706.4007711596787,1601.230630185455,1601.2389562092721
bursts_reference,k1-bursts_reference-000007,2520,1500,128,16,8,5,0,,,ok,,700.1799689605832,59.69010305901369,700.2244926989079,1608.2694958895445,16,0.038838014006614685,0.052588991820812225,0.12595392763614655,553.6754815839231,553.6789456382394,553.7725379690528,572.5859296508133,700.2188069745898,700.2217397093773,1595.570352859795,1595.5846598371863
bursts_reference,k1-bursts_reference-000004,2520,1500,128,16,8,2,0,,,ok,,764.5247387699783,59.39536727964878,764.5616382360458,1658.3193503320217,16,0.03095623105764389,0.04317332059144974,0.1148981973528862,560.4362562298775,560.438095126301,560.483196284622,582.5944719836116,764.5556950010359,764.5588689483702,1655.4862041957676,1655.509127303958
bursts_reference,k1-bursts_reference-000009,2520,1500,128,16,8,7,0,,,ok,,759.0262163430452,59.4046083278954,759.0537602081895,1655.231918208301,16,0.021222978830337524,0.029921066015958786,0.07757218554615974,555.0698069855571,555.071912240237,555.1140219904482,576.7067633569241,759.0474393218756,759.051080327481,1650.1165642403066,1650.1343343406916
bursts_reference,k1-bursts_reference-000010,2520,1500,1024,16,1,0,4,,,ok,,294.1741729155183,56.957454017053045,294.23561599105597,1151.0710632428527,16,0.049312133342027664,0.06661610677838326,0.17875200137495995,213.52342516183853,213.5267723351717,213.64428009837866,227.54120035097003,294.2234850488603,294.22985622659326,1148.585295304656,1148.6327503807843
