phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,1024,1,3,1867810.066818101,ok,,85.98764287307858,,1,86.06692496687174,0,14.844,86.30932308733463
bursts_k1,2520,128,8,4,1867810.668981554,ok,,47.324412036687136,,1,47.39889805205166,0,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.669728627,ok,,113.69339912198484,,1,113.7214859481901,1,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.670425365,ok,,112.6891109161079,,1,112.75650304742157,2,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.67081716,ok,,112.5312668737024,,1,112.56121401675045,3,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.671152999,ok,,112.73249401710927,,1,112.76642908342183,4,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.671450055,ok,,111.81038292124867,,1,111.8479201104492,5,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.671749887,ok,,112.03992902301252,,1,112.08339896984398,6,11.526,115.22267200052738
bursts_k1,2520,128,8,4,1867810.67204993,ok,,111.46776587702334,,1,111.4986150059849,7,11.526,115.22267200052738
bursts_k1,2520,128,1,1,1867811.30974498,ok,,35.72018095292151,,1,35.76407302170992,0,0.0,35.90554604306817
bursts_k1,2520,128,4,1,1867811.857774864,ok,,41.2838701158762,,1,41.35561012662947,0,14.167,74.49781778268516
bursts_k1,2520,128,4,1,1867811.858297154,ok,,73.4419368673116,,1,73.50858091376722,1,14.167,74.49781778268516
bursts_k1,2520,128,4,1,1867811.858629871,ok,,73.25467001646757,,1,73.2912530656904,2,14.167,74.49781778268516
bursts_k1,2520,128,4,1,1867811.858906289,ok,,73.06788698770106,,1,73.11633392237127,3,14.167,74.49781778268516
bursts_k1,2520,2048,8,3,1867812.464073993,ok,,323.3526130206883,,1,323.39350786060095,0,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.464476447,ok,,322.7963198442012,,1,322.8655830025673,1,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.46473811,ok,,624.7460409067571,,1,624.7848030179739,2,435.416,1250.5910631734878
bursts_k1,2520,2048,8,3,1867812.464979838,ok,,624.3570977821946,,1,624.4246319402009,3,435.416,1250.5910631734878
