mono_s,power_w,sm_mhz,energy_mj
2505583.245,24.00,1500,56340431569
2505583.356,24.00,1500,56340434004
2505583.460,24.00,1500,56340436424
2505583.565,24.00,1500,56340439060
2505583.670,24.00,1500,56340441318
2505583.786,70.30,1500,56340451659
2505583.900,67.94,1500,56340458424
2505584.005,67.90,1500,56340461626
2505584.115,54.69,1500,56340464038
2505584.219,47.49,1500,56340466436
2505584.323,43.02,1500,56340468832
2505584.428,39.99,1500,56340471226
2505584.533,37.80,1500,56340473617
2505584.638,36.14,1500,56340476006
2505584.742,34.84,1500,56340478401
2505584.847,33.79,1500,56340480792
2505584.953,32.07,1500,56340483183
2505585.058,28.14,1500,56340485576
2505585.162,28.14,1500,56340487981
2505585.278,26.48,1410,56340501264
2505585.388,33.81,1500,56340508041
2505585.499,37.72,1500,56340514844
2505585.610,41.73,1500,56340521649
2505585.721,45.75,1500,56340528442
2505585.832,49.76,1500,56340535248
2505585.942,53.77,1500,56340542052
2505586.057,57.73,1500,56340548858
2505586.168,61.76,1500,56340555675
2505586.279,62.33,1500,56340569272
2505586.388,68.14,1500,56340576091
2505586.499,68.12,1500,56340582900
2505586.610,68.23,1500,56340589721
2505586.721,68.26,1500,56340596526
2505586.831,68.25,1500,56340603334
2505586.942,68.20,1500,56340610161
2505587.057,68.22,1500,56340616986
2505587.168,68.30,1500,56340623799
2505587.279,68.31,1500,56340637426
2505587.390,68.25,1500,56340644253
2505587.501,68.35,1500,56340651078
2505587.617,68.33,1500,56340657893
2505587.728,68.30,1500,56340664709
2505587.838,68.28,1500,56340671540
2505587.949,68.38,1500,56340678365
2505588.060,68.42,1500,56340685204
2505588.171,68.44,1500,56340692031
2505588.281,68.40,1500,56340705624
2505588.397,68.33,1500,56340712412
2505588.507,68.34,1500,56340719200
2505588.618,68.30,1500,56340725986
2505588.729,68.19,1500,56340732771
2505588.839,68.21,1500,56340739567
2505588.950,68.23,1500,56340746366
2505589.061,68.19,1500,56340753153
2505589.176,68.16,1500,56340766751
2505589.286,68.09,1500,56340773668
2505589.400,68.11,1500,56340780342
2505589.510,68.10,1500,56340787128
2505589.621,68.04,1500,56340793929
2505589.736,68.03,1500,56340800738
2505589.846,68.13,1500,56340807535
2505589.957,68.12,1500,56340814339
2505590.067,68.12,1500,56340821141
2505590.178,68.10,1500,56340834739
2505590.288,68.10,1500,56340841537
2505590.399,68.12,1500,56340848337
2505590.509,68.11,1500,56340855150
2505590.619,68.03,1500,56340861960
2505590.730,68.11,1500,56340868783
2505590.840,68.15,1500,56340875595
2505590.956,68.15,1500,56340882415
2505591.066,68.12,1500,56340889227
2505591.177,68.13,1500,56340902849
2505591.288,68.19,1500,56340909667
2505591.398,68.19,1500,56340916475
2505591.508,68.19,1500,56340923268
2505591.619,68.14,1500,56340930098
2505591.729,68.27,1500,56340936905
2505591.839,68.27,1500,56340943712
2505591.950,68.24,1500,56340950523
2505592.061,68.23,1500,56340957402
2505592.175,68.30,1500,56340970972
2505592.285,68.30,1500,56340977773
2505592.396,68.30,1500,56340984599
2505592.506,68.24,1500,56340991412
2505592.617,68.21,1500,56340998226
2505592.727,68.30,1500,56341005040
2505592.837,68.26,1500,56341011847
2505592.948,68.19,1500,56341018652
