freq_mhz,concurrency,window_s,energy_j,tokens,j_per_token,tokens_per_s,avg_power_w,kv_p50,kv_max,running_p50,running_max,waiting_p50,waiting_max,preemptions
1050,32,30.288667150773108,1963.896,9568,0.2052566889632107,315.89372858078303,64.83930079273469,0.6220281416787967,0.745269286754003,32.0,32.0,0.0,0.0,0.0
1050,48,30.343495186883956,1982.62,12127,0.16348808443968005,399.6573211263389,65.33920986323922,0.9442018437651626,0.9995147986414362,48.0,48.0,0.0,2.0,5.0
1050,64,30.416478942148387,2036.77,10130,0.20106317867719645,333.0431513544708,66.96271464800054,0.9878699660359049,0.9995147986414362,48.0,58.0,14.0,20.0,15.0
1050,96,30.310190382413566,2024.87,10970,0.18458249772105742,361.92448353491574,66.80492515727846,0.9888403687530325,1.0,51.0,61.0,45.0,53.0,18.0
1050,128,30.334813847206533,2016.304,11251,0.17921109234734692,370.893985262945,66.46831624403316,0.9883551673944687,1.0,50.0,60.0,78.0,83.0,16.0
1500,32,30.318906666710973,2177.065,10016,0.21735872603833867,330.35492044959506,71.80552464942069,0.6365841824357108,0.745269286754003,32.0,32.0,0.0,0.0,0.0
1500,48,30.39285913296044,2184.001,11892,0.18365295997309117,391.2761200904382,71.85901762139567,0.9422610383309074,0.9980591945657448,48.0,48.0,0.0,3.0,5.0
1500,64,30.35443199519068,2184.009,10713,0.20386530383646037,352.930339849461,71.9502509665156,0.9888403687530325,0.9995147986414362,48.0,58.0,12.0,19.0,17.0
1500,96,30.35436590993777,2183.715,11710,0.18648292058070026,385.77646572304917,71.94072201933461,0.9878699660359049,1.0,49.0,61.0,43.0,52.0,18.0
1500,128,30.39972662786022,2191.179,11407,0.19209073375997196,375.23363744810484,72.07890474882976,0.9878699660359049,1.0,47.0,58.0,78.0,85.0,17.0
