mono_s,power_w,sm_mhz,energy_mj
2510544.746,24.85,1500,56465676206
2510544.856,24.85,1500,56465678709
2510544.962,24.85,1500,56465682868
2510545.076,24.85,1500,56465683322
2510545.181,24.85,1500,56465687794
2510545.287,24.85,1500,56465690003
2510545.394,24.85,1500,56465692231
2510545.499,24.85,1500,56465694443
2510545.604,24.85,1500,56465696673
2510545.711,22.33,1500,56465698903
2510545.817,22.33,1050,56465701136
2510545.932,35.26,1050,56465706734
2510546.043,46.82,1050,56465712745
2510546.148,42.13,1050,56465717142
2510546.257,38.87,1050,56465719393
2510546.362,36.53,1050,56465721634
2510546.467,34.79,1050,56465723877
2510546.575,33.44,1050,56465726110
2510546.681,32.37,1050,56465730586
2510546.787,31.48,1050,56465732812
2510546.895,30.73,1050,56465735042
2510547.001,29.03,1050,56465737271
2510547.106,25.99,1050,56465739500
2510547.211,25.99,1050,56465741723
2510547.317,25.99,1050,56465743951
2510547.422,25.99,1050,56465746183
2510547.527,25.99,1050,56465748414
2510547.633,25.99,1050,56465750644
2510547.738,25.99,1050,56465752882
2510547.844,25.99,1050,56465755216
2510547.948,25.99,1050,56465757705
2510548.053,24.71,1500,56465760223
2510548.157,24.71,1500,56465762696
2510548.262,24.71,1500,56465765192
2510548.366,24.71,1500,56465767680
2510548.470,24.71,1500,56465770164
2510548.575,24.71,1500,56465772665
2510548.679,24.71,1500,56465775160
2510548.785,24.71,1500,56465779643
2510548.891,24.71,1500,56465781868
2510548.997,24.71,1500,56465784092
2510549.102,23.64,1050,56465786336
2510549.208,23.64,1050,56465788558
2510549.313,23.64,1050,56465790781
2510549.418,23.64,1050,56465793006
2510549.523,23.64,1050,56465795233
2510549.629,23.64,1050,56465797464
2510549.734,23.64,1050,56465799932
2510549.838,23.64,1050,56465802421
2510549.943,23.64,1050,56465804897
2510550.047,23.49,1500,56465807370
2510550.151,23.49,1500,56465809830
2510550.256,23.49,1500,56465812305
2510550.360,23.49,1500,56465814773
2510550.464,23.49,1500,56465817244
2510550.568,23.49,1500,56465819725
2510550.673,23.49,1500,56465822208
2510550.778,23.49,1500,56465824450
2510550.884,23.49,1500,56465828895
2510550.989,23.49,1500,56465831110
2510551.094,23.44,1050,56465833316
2510551.200,23.44,1050,56465835530
2510551.305,23.44,1050,56465837744
2510551.410,23.44,1050,56465839961
2510551.515,23.44,1050,56465842179
2510551.620,23.44,1050,56465844392
2510551.725,23.44,1050,56465846828
2510551.829,23.44,1050,56465849290
2510551.933,23.44,1050,56465851748
2510552.037,23.44,1500,56465854218
2510552.141,23.44,1500,56465856666
2510552.245,23.44,1500,56465859126
2510552.349,23.44,1500,56465861595
2510552.453,23.44,1500,56465864062
2510552.558,23.44,1500,56465866530
2510552.662,23.44,1500,56465869001
2510552.767,23.44,1500,56465871252
2510552.873,23.44,1500,56465873483
2510552.978,23.44,1500,56465877943
2510553.084,22.54,1050,56465880148
2510553.191,22.54,1050,56465882363
2510553.296,22.54,1050,56465884573
2510553.401,22.54,1050,56465886790
2510553.507,22.54,1050,56465888997
2510553.612,22.54,1050,56465891209
2510553.722,22.54,1050,56465893627
2510553.826,22.54,1050,56465896073
2510553.930,22.54,1050,56465898526
2510554.034,22.54,1050,56465900986
2510554.139,23.55,1500,56465903434
2510554.243,23.55,1500,56465905905
2510554.347,23.55,1500,56465908370
2510554.452,23.55,1500,56465910828
2510554.556,23.55,1500,56465913297
2510554.660,23.55,1500,56465915768
2510554.765,23.55,1500,56465918008
2510554.871,23.55,1500,56465920240
2510554.976,23.55,1500,56465922469
2510555.081,23.54,1050,56465926907
2510555.186,23.54,1050,56465929111
2510555.292,23.54,1050,56465931312
2510555.397,23.54,1050,56465933518
2510555.502,23.54,1050,56465935727
2510555.608,23.54,1050,56465937935
2510555.713,23.54,1050,56465940321
2510555.817,23.54,1050,56465942761
2510555.921,23.54,1050,56465945213
2510556.025,23.54,1050,56465947675
2510556.132,23.59,1500,56465950125
2510556.236,23.59,1500,56465952590
2510556.340,23.59,1500,56465955059
2510556.444,23.59,1500,56465957531
2510556.549,23.59,1500,56465959992
2510556.653,23.59,1500,56465962466
2510556.758,23.59,1500,56465964719
2510556.864,23.59,1500,56465966947
2510556.969,23.59,1500,56465969169
2510557.074,23.55,1050,56465971399
2510557.179,23.55,1050,56465975821
2510557.284,23.55,1050,56465978020
2510557.390,23.55,1050,56465980224
2510557.495,23.55,1050,56465982428
2510557.600,23.55,1050,56465984636
2510557.705,23.55,1050,56465987030
2510557.810,23.55,1050,56465989477
2510557.914,23.55,1050,56465991928
2510558.018,23.55,1050,56465994381
2510558.122,23.50,1500,56465996851
2510558.226,23.50,1500,56465999328
2510558.331,23.50,1500,56466001807
2510558.435,23.50,1500,56466004287
2510558.539,23.50,1500,56466006772
2510558.644,23.50,1500,56466009264
2510558.749,23.50,1500,56466011529
2510558.855,23.50,1500,56466013765
2510558.960,23.50,1500,56466016012
2510559.065,23.49,1050,56466018252
2510559.171,23.49,1050,56466020469
2510559.276,23.49,1050,56466024904
2510559.382,23.49,1050,56466027108
2510559.488,23.49,1050,56466029311
2510559.593,23.49,1050,56466031518
2510559.701,22.61,1035,56466037997
2510559.812,25.23,915,56466045101
2510559.919,27.66,1050,56466052132
2510560.026,29.90,1050,56466059169
2510560.133,31.93,1050,56466066178
2510560.240,44.00,1050,56466073231
2510560.348,46.20,1050,56466080289
2510560.454,49.72,1050,56466087357
2510560.562,51.10,1050,56466094390
2510560.672,52.29,1050,56466101427
2510560.780,70.54,1050,56466115587
2510560.886,70.31,1050,56466122638
2510560.993,70.31,1050,56466129649
2510561.100,70.37,1050,56466136692
2510561.207,70.39,1050,56466143767
2510561.314,70.48,1050,56466150798
2510561.420,70.52,1050,56466157843
2510561.532,70.51,1050,56466164940
2510561.638,70.54,1050,56466171982
2510561.745,70.62,1050,56466179048
2510561.854,70.74,1005,56466186431
2510561.965,70.47,1050,56466193546
2510562.081,69.73,1050,56466205644
2510562.196,68.79,1050,56466211686
2510562.311,67.87,1050,56466217729
2510562.427,66.95,1050,56466223783
2510562.542,66.02,1050,56466229821
2510562.657,65.04,1050,56466235857
2510562.776,63.14,1050,56466247952
2510562.897,62.14,1050,56466254009
2510563.017,60.80,1050,56466260057
2510563.136,60.58,1050,56466266117
2510563.256,60.56,1050,56466272161
2510563.371,60.57,1050,56466284277
2510563.486,60.56,1050,56466290325
2510563.601,60.57,1050,56466296376
